ID,Path,Component,Lines of code,Duplication percentage,Start line,End line
463bcc63-6822-4980-a46f-84edf0ae12f9,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/FormElements.tsx,HomePage,18,36,20,37
463bcc63-6822-4980-a46f-84edf0ae12f9,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/FormInputs.tsx,HomePage,18,46.153847,20,37
463bcc63-6822-4980-a46f-84edf0ae12f9,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/index.tsx,HomePage,18,69.23077,18,35
f2b60189-ff35-4f78-a642-2dc8b3a37091,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx,HomePage,10,21.276596,42,51
f2b60189-ff35-4f78-a642-2dc8b3a37091,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/Buttons.tsx,HomePage,10,16.666666,55,64
f2b60189-ff35-4f78-a642-2dc8b3a37091,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx,HomePage,10,10.3092785,87,96
f2b60189-ff35-4f78-a642-2dc8b3a37091,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx,HomePage,10,18.867924,89,98
930eba63-52e2-48fe-ad18-2c3c7d60773e,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx,HomePage,9,15,17,25
930eba63-52e2-48fe-ad18-2c3c7d60773e,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/Buttons.tsx,HomePage,9,15,23,31
930eba63-52e2-48fe-ad18-2c3c7d60773e,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx,HomePage,9,19.148935,24,32
930eba63-52e2-48fe-ad18-2c3c7d60773e,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Buttons.tsx,HomePage,9,11.3924055,29,37
930eba63-52e2-48fe-ad18-2c3c7d60773e,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx,HomePage,9,9.278351,43,51
930eba63-52e2-48fe-ad18-2c3c7d60773e,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Buttons.tsx,HomePage,9,11.3924055,59,67
930eba63-52e2-48fe-ad18-2c3c7d60773e,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Form.tsx,HomePage,9,19.148935,34,42
71b540a3-65d6-4ab7-8153-64d7407d9fcd,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/index.tsx,HomePage,13,18.055555,72,87
71b540a3-65d6-4ab7-8153-64d7407d9fcd,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx,HomePage,13,5.098039,192,207
71b540a3-65d6-4ab7-8153-64d7407d9fcd,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/StepContent.tsx,HomePage,13,12.380953,120,135
3190400e-616c-4cf9-ba4f-474bb100f5dd,src/Components/HomePage/Body/Bottom/PointsView/index.tsx,HomePage,12,14.457831,84,95
3190400e-616c-4cf9-ba4f-474bb100f5dd,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts,HomePage,12,17.142857,27,38
3190400e-616c-4cf9-ba4f-474bb100f5dd,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts,HomePage,12,17.142857,88,99
7395268e-42ef-496e-a3bc-725dcc8b6e06,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/index.tsx,HomePage,12,30.76923,39,50
7395268e-42ef-496e-a3bc-725dcc8b6e06,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step1.tsx,HomePage,12,20.689655,51,62
7395268e-42ef-496e-a3bc-725dcc8b6e06,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step1.tsx,HomePage,12,20.689655,80,91
1b6277aa-33c8-41ea-85ed-c3e1abeed11c,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/helpers/usePlanDuplicateState.ts,HomePage,23,31.944445,68,98
1b6277aa-33c8-41ea-85ed-c3e1abeed11c,src/hooks/zustand/voorbereiding/useViewPlanState.ts,hooks,23,25.274725,93,123
230974d8-6378-440e-bb39-d51645b0dbf7,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx,HomePage,22,20.754717,144,177
230974d8-6378-440e-bb39-d51645b0dbf7,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/GroupFunctions.tsx,HomePage,22,12.290503,209,242
43a01af0-e061-45e5-aefe-2e96dd2ba080,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Form.tsx,HomePage,11,39.285713,21,31
43a01af0-e061-45e5-aefe-2e96dd2ba080,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/FormElements.tsx,HomePage,11,22,20,30
43a01af0-e061-45e5-aefe-2e96dd2ba080,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/FormInputs.tsx,HomePage,11,28.205128,20,30
6930a501-1ba2-4b1d-89d9-a657f6d6bf69,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx,HomePage,11,23.404255,41,51
