Description,Severity,Status,First Seen,Issue age,File,Technology,Lines of code
Interface module with 32 lines of code,HIGH,RAW,2026-07-14,3,src/api-hooks/flightPlans/useRegionalFlightPlanQueries.ts,TypeScript,32
Interface module with 27 lines of code,HIGH,RAW,2026-07-14,3,src/api-hooks/finishedPlans/useFinishedPlanQueries.ts,TypeScript,27
Interface module with 25 lines of code,HIGH,RAW,2026-06-04,43,src/hooks/features/useRenderLocalGeometries.ts,TypeScript,25
Interface module with 24 lines of code,HIGH,RAW,2026-07-13,4,src/hooks/hover-click-handlers/useGeometryEditHighlight.ts,TypeScript,24
Interface module with 22 lines of code,HIGH,RAW,2026-07-14,3,src/api-hooks/templateFlights/useTemplateFlights.ts,TypeScript,22
Interface module with 22 lines of code,HIGH,RAW,2026-07-14,3,src/api-hooks/points/usePointLookupQueries.ts,TypeScript,22
Interface module with 21 lines of code,HIGH,RAW,2026-06-04,43,src/hooks/useLogAction.ts,TypeScript,21
Interface module with 19 lines of code,HIGH,RAW,2026-07-14,3,src/api-hooks/flightPlans/useFlightPlanLookupQueries.ts,TypeScript,19
Interface module with 17 lines of code,HIGH,RAW,2026-07-04,13,src/hooks/consts/useConstSelectOptions.ts,TypeScript,17
Interface module with 15 lines of code,HIGH,RAW,2026-07-14,3,src/api-hooks/finishedPlans/usePlanPointAttachments.ts,TypeScript,15
Interface module with 14 lines of code,HIGH,RAW,2026-06-04,43,src/hooks/useGetFlightTimesDistance.ts,TypeScript,14
Interface module with 13 lines of code,HIGH,RAW,2026-07-04,13,src/api-hooks/consts/useLookupQuery.ts,TypeScript,13
Interface module with 11 lines of code,HIGH,RAW,2026-06-04,43,src/helpers/refreshToken.ts,TypeScript,11
Interface module with 10 lines of code,HIGH,RAW,2026-07-14,3,src/api-hooks/emails/useEmailsList.ts,TypeScript,10
Interface module with 93 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/ArcGISHelpers/centerAndZoomMath.ts,TypeScript,93
Interface module with 78 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/ArcGISHelpers/geometryMapGraphicFactories.ts,TypeScript,78
Interface module with 74 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/ArcGISHelpers/pointMapGraphicActions.ts,TypeScript,74
Interface module with 67 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/ArcGISHelpers/geometryMapGraphicActions.ts,TypeScript,67
