Description,Severity,Status,First Seen,Issue age,File,Technology,Lines of code,Fan-in
Fan-in of 98 for module with 21 lines of code,HIGH,RAW,2026-06-04,43,src/hooks/useLogAction.ts,TypeScript,21,98
Fan-in of 123 for module with 5 lines of code,HIGH,RAW,2026-06-04,43,src/hooks/useContent.ts,TypeScript,5,123
Fan-in of 34 for module with 72 lines of code,MEDIUM,RAW,2026-07-04,13,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerBuilders.ts,TypeScript,72,34
Fan-in of 24 for module with 69 lines of code,MEDIUM,RAW,2026-07-04,13,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerIcons.tsx,TypeScript,69,24
Fan-in of 27 for module with 49 lines of code,MEDIUM,RAW,2026-07-17,0,src/api-hooks/mutations/useUpdateData.ts,TypeScript,49,27
Fan-in of 26 for module with 47 lines of code,MEDIUM,RAW,2026-07-13,4,backend/src/routes/auth2/authSecurityLog.ts,TypeScript,47,26
Fan-in of 33 for module with 41 lines of code,MEDIUM,RAW,2026-07-04,13,src/hooks/wizard/useWizardButtons.ts,TypeScript,41,33
Fan-in of 26 for module with 41 lines of code,MEDIUM,RAW,2026-07-01,16,backend/src/helpers/http/routeResponses.ts,TypeScript,41,26
Fan-in of 28 for module with 17 lines of code,MEDIUM,RAW,2026-07-04,13,src/hooks/consts/useConstSelectOptions.ts,TypeScript,17,28
Fan-in of 23 for module with 11 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/features/useResetFeatures.ts,TypeScript,11,23
Fan-in of 24 for module with 9 lines of code,MEDIUM,RAW,2026-06-04,43,src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/coords.ts,TypeScript,9,24
Fan-in of 24 for module with 7 lines of code,MEDIUM,RAW,2026-06-04,43,src/helpers/ArcGISHelpers/validateMapView.ts,TypeScript,7,24
Fan-in of 24 for module with 3 lines of code,MEDIUM,RAW,2026-06-04,43,src/helpers/classNames.ts,TypeScript,3,24
Fan-in of 11 for module with 195 lines of code,LOW,RAW,2026-06-30,17,backend/src/helpers/queries/finished-plans/buildFinishedPlanQuery.ts,TypeScript,195,11
Fan-in of 14 for module with 131 lines of code,LOW,RAW,2026-06-29,18,backend/src/routes/keycloak/management/users/keycloakAdminClient.ts,TypeScript,131,14
Fan-in of 16 for module with 57 lines of code,LOW,RAW,2026-07-01,16,backend/src/helpers/queries/shared/resolveRegioFilter.ts,TypeScript,57,16
Fan-in of 13 for module with 55 lines of code,LOW,RAW,2026-07-17,0,src/api-hooks/mutations/useCreateData.ts,TypeScript,55,13
Fan-in of 12 for module with 51 lines of code,LOW,RAW,2026-07-13,4,src/hooks/zustand/shared/planWizardCore.ts,TypeScript,51,12
Fan-in of 14 for module with 31 lines of code,LOW,RAW,2026-06-10,37,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/drawingToolMapCleanup.ts,TypeScript,31,14
Fan-in of 19 for module with 27 lines of code,LOW,RAW,2026-06-04,43,src/helpers/ArcGISHelpers/getTransformedCoordinates.ts,TypeScript,27,19
Fan-in of 12 for module with 20 lines of code,LOW,RAW,2026-07-01,16,backend/src/helpers/http/validateBody.ts,TypeScript,20,12
Fan-in of 11 for module with 13 lines of code,LOW,RAW,2026-07-17,0,src/helpers/arcgis/attachmentDisplayUrl.ts,TypeScript,13,11
Fan-in of 11 for module with 12 lines of code,LOW,RAW,2026-06-04,43,src/hooks/handleCancel/useHandleCancel.ts,TypeScript,12,11
Fan-in of 13 for module with 8 lines of code,LOW,RAW,2026-06-04,43,src/api/fetchApi.ts,TypeScript,8,13
Fan-in of 11 for module with 7 lines of code,LOW,RAW,2026-07-04,13,src/hooks/wizard/useWizardCleanup.ts,TypeScript,7,11
