Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
McCabe complexity of 13 for unit EditPointCoordinateValues.useEditPointCoordinateInputs(FinishedPointType|null),MEDIUM,RAW,2026-07-04,13,EditPointCoordinateValues.useEditPointCoordinateInputs(FinishedPointType|null),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/useEditPointCoordinateInputs.ts#L15:87,TypeScript,60,13,1
McCabe complexity of 12 for unit arcgisTokenConfig.ts.resolveArcgisTokenConfig(ArcgisTokenConfig),MEDIUM,RAW,2026-06-30,17,arcgisTokenConfig.ts.resolveArcgisTokenConfig(ArcgisTokenConfig),backend/src/services/arcgisTokenConfig.ts#L7:71,TypeScript,58,12,1
"McCabe complexity of 11 for unit attachments.ts.safeFetchPointAttachments(string,FinishedPointType)",MEDIUM,RAW,2026-06-04,43,"attachments.ts.safeFetchPointAttachments(string,FinishedPointType)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/attachments.ts#L51:121,TypeScript,57,11,2
McCabe complexity of 11 for unit setupClickListener.ts.setupClickListener(SetupClickListenerInput),MEDIUM,RAW,2026-07-04,13,setupClickListener.ts.setupClickListener(SetupClickListenerInput),src/hooks/popUpModal/setupClickListener.ts#L15:81,TypeScript,56,11,1
McCabe complexity of 16 for unit index.tsx.TimesliderItemDetailPage(),MEDIUM,RAW,2026-06-04,43,index.tsx.TimesliderItemDetailPage(),src/Components/TimesliderItemDetailPage/index.tsx#L12:108,TypeScript,52,16,0
McCabe complexity of 15 for unit useRenderPlanGeometries.ts.useRenderPlanGeometries(),MEDIUM,RAW,2026-06-04,43,useRenderPlanGeometries.ts.useRenderPlanGeometries(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/hooks/useRenderPlanGeometries.ts#L15:62,TypeScript,40,15,0
McCabe complexity of 13 for unit buildTimesliderPageView.ts.buildTimesliderPageView(BuildTimesliderPageViewInput),MEDIUM,RAW,2026-07-04,13,buildTimesliderPageView.ts.buildTimesliderPageView(BuildTimesliderPageViewInput),src/Components/TimesliderItemDetailPage/buildTimesliderPageView.ts#L31:71,TypeScript,38,13,1
McCabe complexity of 11 for unit useDeletePointMapClick.ts.useDeletePointMapClick(any),MEDIUM,RAW,2026-07-04,13,useDeletePointMapClick.ts.useDeletePointMapClick(any),src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/useDeletePointMapClick.ts#L18:67,TypeScript,37,11,1
"McCabe complexity of 13 for unit filterGeometries(boolean,void)",MEDIUM,RAW,2026-06-04,43,"filterGeometries(boolean,void)",src/hooks/filters/useFilterGeometries.ts#L10:58,TypeScript,34,13,2
McCabe complexity of 11 for unit uploadZip(),MEDIUM,RAW,2026-06-04,43,uploadZip(),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step3/hooks/useUploadZip.ts#L21:61,TypeScript,34,11,0
"McCabe complexity of 11 for unit grantHelpers.ts.classifyStep2OtpLoginFailure(unknown,ClassifyStep2DebugContext)",MEDIUM,RAW,2026-07-13,4,"grantHelpers.ts.classifyStep2OtpLoginFailure(unknown,ClassifyStep2DebugContext)",backend/src/routes/auth2/grantHelpers.ts#L145:185,TypeScript,33,11,2
McCabe complexity of 11 for unit patchCoords(any),MEDIUM,RAW,2026-06-10,37,patchCoords(any),src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/Step2Sub2.tsx#L42:76,TypeScript,33,11,1
McCabe complexity of 13 for unit validateSpoedReportRequest.ts.validateSpoedReportRequest(any),MEDIUM,RAW,2026-07-13,4,validateSpoedReportRequest.ts.validateSpoedReportRequest(any),backend/src/routes/emails/validateSpoedReportRequest.ts#L13:49,TypeScript,29,13,1
McCabe complexity of 13 for unit LegendSection.tsx.LegendSection(LegendSectionProps),MEDIUM,RAW,2026-06-10,37,LegendSection.tsx.LegendSection(LegendSectionProps),src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/LegendSection.tsx#L24:79,TypeScript,28,13,1
"McCabe complexity of 13 for unit isPointInPolygon(__esri.Point,number[])",MEDIUM,RAW,2026-06-04,43,"isPointInPolygon(__esri.Point,number[])",src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/index.tsx#L77:113,TypeScript,25,13,2
