Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"3 parameters for unit legacyAuthUsageMonitor.ts.legacyAuthUsageMonitor(any,any,any)",LOW,RAW,2026-07-13,5,"legacyAuthUsageMonitor.ts.legacyAuthUsageMonitor(any,any,any)",backend/src/helpers/auth/legacyAuthUsageMonitor.ts#L13:44,TypeScript,28,10,3
"3 parameters for unit deleteGeometryCascade.ts.deleteGeometryCascade(PoolClient,number,Promise)",LOW,RAW,2026-07-17,1,"deleteGeometryCascade.ts.deleteGeometryCascade(PoolClient,number,Promise)",backend/src/routes/geometries/deleteGeometryCascade.ts#L25:59,TypeScript,26,4,3
"3 parameters for unit middleware.ts.RequestHandler(any,any,any)",LOW,RAW,2026-06-04,44,"middleware.ts.RequestHandler(any,any,any)",backend/src/routes/devices-updates/middleware.ts#L7:34,TypeScript,25,6,3
"3 parameters for unit mapGraphicsLayers.ts.addAndOrderMapGraphicsLayers(Map,ReturnType,any)",LOW,RAW,2026-07-14,4,"mapGraphicsLayers.ts.addAndOrderMapGraphicsLayers(Map,ReturnType,any)",src/helpers/ArcGISHelpers/mapGraphicsLayers.ts#L17:46,TypeScript,25,1,3
"4 parameters for unit toGeometryPointPayload.ts.buildGeometryPointFields(any,number,string,GeometryPointContext)",LOW,RAW,2026-07-18,0,"toGeometryPointPayload.ts.buildGeometryPointFields(any,number,string,GeometryPointContext)",src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/toGeometryPointPayload.ts#L16:44,TypeScript,24,3,4
"3 parameters for unit computeFlightPlanCentroid.ts.computeFlightPlanCentroid(FlightPlanCentroidPoint[],any,any)",LOW,RAW,2026-06-06,42,"computeFlightPlanCentroid.ts.computeFlightPlanCentroid(FlightPlanCentroidPoint[],any,any)",src/helpers/ArcGISHelpers/computeFlightPlanCentroid.ts#L12:41,TypeScript,24,6,3
"3 parameters for unit useLegendLayerSyncEffects.ts.useLegendLayerSyncEffects(Dispatch<SetStateAction<LegendLayerDefinition[]>>,string[],SyncOptions)",LOW,RAW,2026-07-18,0,"useLegendLayerSyncEffects.ts.useLegendLayerSyncEffects(Dispatch<SetStateAction<LegendLayerDefinition[]>>,string[],SyncOptions)",src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/helpers/useLegendLayerSyncEffects.ts#L13:41,TypeScript,23,5,3
"3 parameters for unit timesliderGeometryHighlightFactory.ts.createPlanGeometryHighlightGraphic(FinishedFlightPlanType,PlanGeometry,number[])",LOW,RAW,2026-07-18,0,"timesliderGeometryHighlightFactory.ts.createPlanGeometryHighlightGraphic(FinishedFlightPlanType,PlanGeometry,number[])",src/helpers/timeslider/timesliderGeometryHighlightFactory.ts#L41:66,TypeScript,21,5,3
"4 parameters for unit buildPlanBoundingBoxGraphic.ts.buildPlanBoundingBoxGraphic(PlanBoundingBoxPoint[],any,any,CreatePlanBoundingBoxGraphicOptions)",LOW,RAW,2026-07-17,1,"buildPlanBoundingBoxGraphic.ts.buildPlanBoundingBoxGraphic(PlanBoundingBoxPoint[],any,any,CreatePlanBoundingBoxGraphicOptions)",src/helpers/ArcGISHelpers/buildPlanBoundingBoxGraphic.ts#L11:37,TypeScript,21,8,4
"3 parameters for unit buildPointCoordinatePayload.ts.buildPointCoordinatePayload(FinishedPointType,string,any)",LOW,RAW,2026-07-18,0,"buildPointCoordinatePayload.ts.buildPointCoordinatePayload(FinishedPointType,string,any)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/buildPointCoordinatePayload.ts#L4:31,TypeScript,19,1,3
"3 parameters for unit buildEditPointDetailsPayload.ts.buildEditPointDetailsPayload(FinishedPointType,string,string)",LOW,RAW,2026-07-18,0,"buildEditPointDetailsPayload.ts.buildEditPointDetailsPayload(FinishedPointType,string,string)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/Form/buildEditPointDetailsPayload.ts#L4:25,TypeScript,18,1,3
"3 parameters for unit fileDownloadHelpers.ts.sendPasswordGateFailure(Parameters<RequestHandler>,string,string)",LOW,RAW,2026-07-18,0,"fileDownloadHelpers.ts.sendPasswordGateFailure(Parameters<RequestHandler>,string,string)",backend/src/routes/fileDownloadHelpers.ts#L31:55,TypeScript,18,3,3
"3 parameters for unit CreateKeycloakUserInput.setKeycloakUserPassword(Request,string,string)",LOW,RAW,2026-07-04,14,"CreateKeycloakUserInput.setKeycloakUserPassword(Request,string,string)",backend/src/routes/keycloak/management/users/createKeycloakUser.ts#L58:82,TypeScript,17,3,3
"3 parameters for unit selectedPointDetailsData.ts.buildSelectedPointDetails(EnrichedPointType,Option[],Option[])",LOW,RAW,2026-07-14,4,"selectedPointDetailsData.ts.buildSelectedPointDetails(EnrichedPointType,Option[],Option[])",src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/SelectedPointDetails/selectedPointDetailsData.ts#L5:25,TypeScript,17,7,3
"3 parameters for unit useAddToPlanStepSketch.ts.useAddToPlanStepSketch(number,Promise,void)",LOW,RAW,2026-07-18,0,"useAddToPlanStepSketch.ts.useAddToPlanStepSketch(number,Promise,void)",src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/useAddToPlanStepSketch.ts#L6:27,TypeScript,17,2,3
"3 parameters for unit planBoundingBoxGeometry.ts.createPlanBoundingBoxPolygon(PlanBoundingBoxPoint[],any,any)",LOW,RAW,2026-07-17,1,"planBoundingBoxGeometry.ts.createPlanBoundingBoxPolygon(PlanBoundingBoxPoint[],any,any)",src/helpers/ArcGISHelpers/planBoundingBoxGeometry.ts#L47:67,TypeScript,17,2,3
"3 parameters for unit PointsFilters.loadPoints(PointsFilters,Partial<PointsState>,any)",LOW,RAW,2026-06-04,44,"PointsFilters.loadPoints(PointsFilters,Partial<PointsState>,any)",src/hooks/features/usePointsStore.ts#L39:66,TypeScript,16,7,3
"4 parameters for unit reportUpload.ts.uploadErrorHandler(unknown,express.Request,express.Response,express.NextFunction)",LOW,RAW,2026-07-13,5,"reportUpload.ts.uploadErrorHandler(unknown,express.Request,express.Response,express.NextFunction)",backend/src/routes/reportUpload.ts#L83:103,TypeScript,16,4,4
"3 parameters for unit requireAuthClientHeader.ts.requireAuthClientHeader(any,any,any)",LOW,RAW,2026-07-13,5,"requireAuthClientHeader.ts.requireAuthClientHeader(any,any,any)",backend/src/routes/auth2/requireAuthClientHeader.ts#L9:26,TypeScript,16,2,3
"3 parameters for unit verifyCredentialsHandler.ts.respondVerifyError(Request,Response,unknown)",LOW,RAW,2026-07-17,1,"verifyCredentialsHandler.ts.respondVerifyError(Request,Response,unknown)",backend/src/routes/auth2/verifyCredentialsHandler.ts#L21:36,TypeScript,16,4,3
"3 parameters for unit useFilterAndSortPlans.ts.useFilterAndSortPlans(FinishedFlightPlanType[],any,string)",LOW,RAW,2026-06-04,44,"useFilterAndSortPlans.ts.useFilterAndSortPlans(FinishedFlightPlanType[],any,string)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/hooks/useFilterAndSortPlans.ts#L8:27,TypeScript,16,1,3
"3 parameters for unit pdfReportAttachmentImage.ts.drawTakenAtCaption(jsPDF,number,number)",LOW,RAW,2026-07-18,0,"pdfReportAttachmentImage.ts.drawTakenAtCaption(jsPDF,number,number)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/pdfReportAttachmentImage.ts#L21:40,TypeScript,16,2,3
"3 parameters for unit GeometryFilters.loadGeometries(GeometryFilters,Partial<GeometriesState>,any)",LOW,RAW,2026-06-04,44,"GeometryFilters.loadGeometries(GeometryFilters,Partial<GeometriesState>,any)",src/hooks/features/useGeometriesStore.ts#L29:48,TypeScript,15,5,3
"4 parameters for unit Template.mapSourceToItems(any,FlightPlanType[],any,any)",LOW,RAW,2026-07-04,14,"Template.mapSourceToItems(any,FlightPlanType[],any,any)",src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/helpers/mapSourceItems.ts#L46:65,TypeScript,15,3,4
"3 parameters for unit AttachmentUpdateInput.lockFinishedPlanAttachments(PoolClient,number,number)",LOW,RAW,2026-07-18,0,"AttachmentUpdateInput.lockFinishedPlanAttachments(PoolClient,number,number)",backend/src/helpers/queries/finished-plans/updateFinishedPointAttachmentsTx.ts#L10:29,TypeScript,15,3,3
"3 parameters for unit useImageGalleryPreload.ts.useImageGalleryPreload(boolean,AttachmentType[],number)",LOW,RAW,2026-07-18,0,"useImageGalleryPreload.ts.useImageGalleryPreload(boolean,AttachmentType[],number)",src/Components/HomePage/Body/Common/useImageGalleryPreload.ts#L5:11,TypeScript,14,5,3
"4 parameters for unit authSecurityLog.ts.logAuthSecurityEvent(string,Record<string, unknown>,any,Request)",LOW,RAW,2026-07-13,5,"authSecurityLog.ts.logAuthSecurityEvent(string,Record<string, unknown>,any,Request)",backend/src/routes/auth2/authSecurityLog.ts#L10:28,TypeScript,14,2,4
"3 parameters for unit reorderPointsAbovePath.ts.reorderPointsAbovePath(__esri.Map,FeatureLayer,__esri.GraphicsLayer|null)",LOW,RAW,2026-07-18,0,"reorderPointsAbovePath.ts.reorderPointsAbovePath(__esri.Map,FeatureLayer,__esri.GraphicsLayer|null)",src/hooks/hover-click-handlers/reorderPointsAbovePath.ts#L3:20,TypeScript,14,5,3
"3 parameters for unit applyMapClickCoordinates.ts.patchCoordsFromLonLat(number,number,void)",LOW,RAW,2026-07-18,0,"applyMapClickCoordinates.ts.patchCoordsFromLonLat(number,number,void)",src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/applyMapClickCoordinates.ts#L37:54,TypeScript,14,1,3
"3 parameters for unit requirePassword.ts.requirePassword(express.Request,express.Response,express.NextFunction)",LOW,RAW,2026-07-01,17,"requirePassword.ts.requirePassword(express.Request,express.Response,express.NextFunction)",backend/src/helpers/auth/requirePassword.ts#L21:39,TypeScript,14,4,3
"3 parameters for unit resetPasswordHelpers.ts.throwIfResetPasswordFailed(Awaited,any,any)",LOW,RAW,2026-07-18,0,"resetPasswordHelpers.ts.throwIfResetPasswordFailed(Awaited,any,any)",backend/src/routes/keycloak/management/users/resetPasswordHelpers.ts#L36:52,TypeScript,14,4,3
"3 parameters for unit applyMapClickCoordinates.ts.readFiniteLonLat(any,any,any)",LOW,RAW,2026-07-18,0,"applyMapClickCoordinates.ts.readFiniteLonLat(any,any,any)",src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/applyMapClickCoordinates.ts#L6:20,TypeScript,13,5,3
"3 parameters for unit createPointFromImportHelpers.ts.respondImportSuccess(Response,ImportSuccess,number)",LOW,RAW,2026-07-18,0,"createPointFromImportHelpers.ts.respondImportSuccess(Response,ImportSuccess,number)",backend/src/routes/points/createPointFromImportHelpers.ts#L54:70,TypeScript,13,1,3
"3 parameters for unit reportZipHelpers.ts.addProcessedItemsToZip(InstanceType,any,ProcessedItem[])",LOW,RAW,2026-07-17,1,"reportZipHelpers.ts.addProcessedItemsToZip(InstanceType,any,ProcessedItem[])",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/reportZipHelpers.ts#L34:51,TypeScript,13,5,3
"3 parameters for unit patchPlanWithUpdatedPoint.ts.patchPlanWithUpdatedPoint(FinishedFlightPlanType,FinishedPointType,any)",LOW,RAW,2026-07-18,0,"patchPlanWithUpdatedPoint.ts.patchPlanWithUpdatedPoint(FinishedFlightPlanType,FinishedPointType,any)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/patchPlanWithUpdatedPoint.ts#L7:28,TypeScript,13,1,3
"3 parameters for unit deleteGeometryCascade.ts.deleteGeometryPointChildren(PoolClient,number[],Promise)",LOW,RAW,2026-07-18,0,"deleteGeometryCascade.ts.deleteGeometryPointChildren(PoolClient,number[],Promise)",backend/src/routes/geometries/deleteGeometryCascade.ts#L3:22,TypeScript,12,2,3
"4 parameters for unit resolveSelectedPathPoint.ts.buildSelectedPathPoint(NonNullable,any,any,FinishedFlightPlanType)",LOW,RAW,2026-07-18,0,"resolveSelectedPathPoint.ts.buildSelectedPathPoint(NonNullable,any,any,FinishedFlightPlanType)",src/hooks/hover-click-handlers/resolveSelectedPathPoint.ts#L4:18,TypeScript,12,11,4
"3 parameters for unit grantHelpers.ts.attemptPasswordGrant(any,any,PasswordGrantParams)",LOW,RAW,2026-07-13,5,"grantHelpers.ts.attemptPasswordGrant(any,any,PasswordGrantParams)",backend/src/routes/auth2/grantHelpers.ts#L22:36,TypeScript,11,2,3
"3 parameters for unit AttachmentMeta.fetchOnePointAttachment(string,number,AttachmentMeta)",LOW,RAW,2026-07-18,0,"AttachmentMeta.fetchOnePointAttachment(string,number,AttachmentMeta)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/attachmentFetch.ts#L30:44,TypeScript,11,2,3
"3 parameters for unit installersHandlers.ts.handleInstallerUploadMiddleware(Request,Response,void)",LOW,RAW,2026-07-17,1,"installersHandlers.ts.handleInstallerUploadMiddleware(Request,Response,void)",backend/src/routes/installersHandlers.ts#L13:27,TypeScript,11,3,3
"4 parameters for unit AttachmentUpdateInput.applyFinishedPlanAttachmentIds(PoolClient,number,number,number[])",LOW,RAW,2026-07-18,0,"AttachmentUpdateInput.applyFinishedPlanAttachmentIds(PoolClient,number,number,number[])",backend/src/helpers/queries/finished-plans/updateFinishedPointAttachmentsTx.ts#L31:46,TypeScript,11,1,4
