Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
59 lines of code for unit dockerfile,MEDIUM,RAW,2026-06-04,44,dockerfile,backend/dockerfile#L1:86,Docker,59,-,-
56 lines of code for unit verify-regio-apis.ts.testResolveRegioFilter(),MEDIUM,RAW,2026-06-10,38,verify-regio-apis.ts.testResolveRegioFilter(),backend/scripts/verify-regio-apis.ts#L56:114,TypeScript,56,5,0
41 lines of code for unit applyDeletePointCoordinatePatch.ts.applyDeletePointCoordinatePatch(any),MEDIUM,RAW,2026-07-17,1,applyDeletePointCoordinatePatch.ts.applyDeletePointCoordinatePatch(any),src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/applyDeletePointCoordinatePatch.ts#L5:51,TypeScript,41,3,1
38 lines of code for unit LegendSection.tsx.LegendSection(LegendSectionProps),MEDIUM,RAW,2026-06-10,38,LegendSection.tsx.LegendSection(LegendSectionProps),src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/LegendSection.tsx#L75:140,TypeScript,38,3,1
37 lines of code for unit pointCoreFieldKeys.ts,MEDIUM,RAW,2026-07-18,0,pointCoreFieldKeys.ts,src/helpers/points/pointCoreFieldKeys.ts#L3:42,TypeScript,37,1,0
32 lines of code for unit LegendSectionLayout.tsx.LegendSectionLayout(LegendSectionLayoutProps),MEDIUM,RAW,2026-07-15,3,LegendSectionLayout.tsx.LegendSectionLayout(LegendSectionLayoutProps),src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/LegendSectionLayout.tsx#L75:135,TypeScript,32,2,1
30 lines of code for unit postProxyHelpers.ts.forwardArcgisPostRequest(Request),LOW,RAW,2026-07-04,14,postProxyHelpers.ts.forwardArcgisPostRequest(Request),backend/src/routes/arcgis/postProxyHelpers.ts#L60:91,TypeScript,30,6,1
"30 lines of code for unit getFinishedPlansTimeslider.ts.getFinishedPlansTimeslider(Request,Response)",LOW,RAW,2026-06-04,44,"getFinishedPlansTimeslider.ts.getFinishedPlansTimeslider(Request,Response)",backend/src/routes/timeslider/getFinishedPlansTimeslider.ts#L7:43,TypeScript,30,4,2
"30 lines of code for unit getGeometries.ts.getGeometries(Request,Response)",LOW,RAW,2026-06-04,44,"getGeometries.ts.getGeometries(Request,Response)",backend/src/routes/geometries/getGeometries.ts#L9:47,TypeScript,30,6,2
"30 lines of code for unit deletePoint.ts.deletePoint(Request,Response)",LOW,RAW,2026-06-04,44,"deletePoint.ts.deletePoint(Request,Response)",backend/src/routes/finished_plans/deletePoint.ts#L4:39,TypeScript,30,5,2
