ID,Path,Component,Lines of code,Duplication percentage,Start line,End line
e693dac9-7ed2-47cf-b948-d3c375fc612b,src/Types/keycloakUser.ts,Types,11,100,1,11
e693dac9-7ed2-47cf-b948-d3c375fc612b,backend/src/routes/keycloak/management/users/types.ts,backend,11,100,1,11
689562a4-0200-4641-961a-36bb05237e7e,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Buttons.tsx,HomePage,10,37.037037,27,37
689562a4-0200-4641-961a-36bb05237e7e,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/index.tsx,HomePage,10,33.333332,34,44
7155cc64-c53a-40e4-8581-8f05fdd7c70d,backend/src/helpers/queries/flight-plans/flightPlanFields.ts,backend,9,10.344828,3,11
7155cc64-c53a-40e4-8581-8f05fdd7c70d,src/hooks/flightPlan/pickFlightPlanPersistenceFields.ts,hooks,9,37.5,5,13
8b0a205d-522f-49af-9f47-1b171a3b7605,src/Types/devices.ts,Types,8,34.782608,10,17
8b0a205d-522f-49af-9f47-1b171a3b7605,backend/src/routes/devices-updates/types.ts,backend,8,24.242424,14,21
92bf946c-3cd8-44ed-8e21-ccb8d97e690a,backend/src/helpers/queries/points/pointCoreColumns.ts,backend,6,13.953488,4,9
92bf946c-3cd8-44ed-8e21-ccb8d97e690a,src/helpers/points/pointCoreIdentityKeys.ts,helpers,6,75,2,7
92bf946c-3cd8-44ed-8e21-ccb8d97e690a,src/Components/HomePage/Body/Left/Common/PointDetailsFieldsList.tsx,HomePage,6,31.578947,4,9
c08a36ac-e8a1-46c2-9c61-cc66660681ac,src/Types/devices.ts,Types,8,34.782608,1,8
c08a36ac-e8a1-46c2-9c61-cc66660681ac,backend/src/routes/devices-updates/types.ts,backend,8,24.242424,1,8
ea190d8c-5a8b-4637-839e-1d8576234b1c,backend/src/helpers/queries/points/pointCoreColumns.ts,backend,8,18.60465,3,10
ea190d8c-5a8b-4637-839e-1d8576234b1c,src/helpers/points/pointCoreIdentityKeys.ts,helpers,8,100,1,8
