Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,19,11,11,2,false,false,TypeScript,"src/Types/keycloakUser.ts#L1:11,backend/src/routes/keycloak/management/users/types.ts#L1:11"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Buttons.tsx#L27:37,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/index.tsx#L34:44"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,9,9,2,false,false,TypeScript,"backend/src/helpers/queries/flight-plans/flightPlanFields.ts#L3:11,src/hooks/flightPlan/pickFlightPlanPersistenceFields.ts#L5:13"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,19,8,8,2,false,false,TypeScript,"src/Types/devices.ts#L10:17,backend/src/routes/devices-updates/types.ts#L14:21"
6 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-18,0,6,12,3,false,false,TypeScript,"backend/src/helpers/queries/points/pointCoreColumns.ts#L4:9,src/helpers/points/pointCoreIdentityKeys.ts#L2:7,src/Components/HomePage/Body/Left/Common/PointDetailsFieldsList.tsx#L4:9"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,19,8,8,2,false,false,TypeScript,"src/Types/devices.ts#L1:8,backend/src/routes/devices-updates/types.ts#L1:8"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,8,8,2,false,false,TypeScript,"backend/src/helpers/queries/points/pointCoreColumns.ts#L3:10,src/helpers/points/pointCoreIdentityKeys.ts#L1:8"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/LegendSectionCore.ts#L95:102,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/LegendSectionLayoutCore.tsx#L9:16"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/buildGeometryReportTasks.ts#L15:20,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/buildPointReportTasks.ts#L14:19"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Form.tsx#L19:24,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Form.tsx#L23:28"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Form.tsx#L21:27,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/FormInputs.tsx#L21:27"
7 lines occurring 2 times,HIGH,RAW,2026-07-14,4,7,7,2,true,true,TypeScript,"backend/src/helpers/http/runReturningUpdate.ts#L75:84,backend/src/helpers/http/runReturningUpdate.ts#L104:113"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/applyPointCoordinateUpdateSuccess.ts#L19:25,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/submitPointCoordinates.ts#L18:24"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/LayerItem.tsx#L82:87,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/ParentItemRow.tsx#L8:13"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-17,1,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L36:43,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx#L51:58"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepNo/Buttons.tsx#L9:15,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepMultiplePoints/Buttons.tsx#L9:15"
7 lines occurring 2 times,HIGH,RAW,2026-07-18,0,7,7,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/useEditPointCleanup.ts#L6:16,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/useEditPointCleanup.ts#L37:47"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/Form/Buttons.tsx#L6:13,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Buttons.tsx#L6:13"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-17,1,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L63:68,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx#L47:52"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-14,4,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/FiltersSection/FilterInput.tsx#L11:16,src/Components/HomePage/Body/Left/Common/FormComponents/InputComp.tsx#L16:21"
6 lines occurring 2 times,HIGH,RAW,2026-07-13,5,6,6,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Buttons.tsx#L34:39,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Buttons.tsx#L45:50"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/submitPointCoordinates.ts#L52:58,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/useEditPointCoordinateSubmit.ts#L35:41"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,7,7,2,false,true,TypeScript,"src/Components/TimesliderItemDetailPage/sections/PlansFilterSection.tsx#L9:15,src/Components/TimesliderItemDetailPage/sections/TimesliderPlansOverlay.tsx#L13:19"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/AandachtspuntDetailsFields.tsx#L61:66,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step3/Form.tsx#L18:23"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,true,TypeScript,"src/Components/DashboardPage/EditUser/buildEditUserFormHandlers.ts#L12:17,src/Components/DashboardPage/ResetPassword/buildResetPasswordHandlers.ts#L13:18"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/handleDeletePointEmptyMapClick.ts#L7:12,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/useDeletePointMapClick.ts#L6:11"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,true,TypeScript,"src/hooks/popUpModal/mapClickHitHandler.ts#L10:15,src/hooks/popUpModal/setupClickListener.ts#L8:13"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,true,TypeScript,"backend/src/routes/finished_plans/createAttachment.ts#L10:20,backend/src/routes/template_plans/createTemplateName.ts#L10:17"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/common/hooks/syncTableTabGraphics.ts#L109:114,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphicsTypes.ts#L8:13"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,false,Angular Templates,"public/index.html#L6:11,index.html#L6:11"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/applyCoordsFromMapClick.ts#L7:18,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/applyEditPointMapClick.ts#L8:19"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,19,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/EditGeometry/ActionButtons.tsx#L5:11,src/Components/HomePage/Body/Left/Tools/EditGeometry/SingleGeometry.tsx#L8:14"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/ViewPlans/PlanInformation.tsx#L4:9,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/ViewPlans/PlanInformation.tsx#L6:11"
6 lines occurring 2 times,HIGH,RAW,2026-07-13,5,6,6,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Buttons.tsx#L22:27,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Buttons.tsx#L63:68"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,14,7,7,2,false,false,TypeScript,"src/Types/installer.ts#L1:7,backend/src/routes/installersStorage.ts#L4:10"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,14,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/Buttons.tsx#L15:21,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step2/Buttons.tsx#L17:23"
