ID,Path,Component,Lines of code,Duplication percentage,Start line,End line
4cf58500-ec38-44de-acb0-45c1e437eaa4,backend/src/helpers/queries/points/pointCoreColumns.ts,backend,13,41.935482,2,14
4cf58500-ec38-44de-acb0-45c1e437eaa4,src/helpers/points/pointCorePayloadFields.ts,helpers,13,65,2,14
eb81da7e-a77f-4a62-a23a-a2f5e58f2634,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/helpers/applyAddPointsToPlanSuccessTypes.ts,HomePage,12,63.157894,12,23
eb81da7e-a77f-4a62-a23a-a2f5e58f2634,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/helpers/submitAddPointsToPlanTypes.ts,HomePage,12,52.173912,16,27
962b942b-4b92-4669-9ba4-4996bc8416e4,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx,HomePage,11,52.38095,14,26
962b942b-4b92-4669-9ba4-4996bc8416e4,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step1/SinglePlan.tsx,HomePage,11,57.894737,19,31
e693dac9-7ed2-47cf-b948-d3c375fc612b,src/Types/keycloakUser.ts,Types,11,100,1,11
e693dac9-7ed2-47cf-b948-d3c375fc612b,backend/src/routes/keycloak/management/users/types.ts,backend,11,100,1,11
a78dde2a-6959-46bf-97d9-54e1681b41b6,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/applyDeletePointCoordinatePatch.ts,HomePage,10,28.571428,16,25
a78dde2a-6959-46bf-97d9-54e1681b41b6,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub2.tsx,HomePage,10,21.73913,41,50
120dfdad-e414-4f3a-a35a-1c034148fa8a,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/StepContentLists.tsx,HomePage,10,76.92308,9,18
120dfdad-e414-4f3a-a35a-1c034148fa8a,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/stepContentViewProps.ts,HomePage,10,66.666664,8,17
48af21c4-b566-4b56-ab5f-77f4e613555e,src/Components/HomePage/Body/Left/Common/AandachtspuntDetailsFields.tsx,HomePage,10,21.276596,9,18
48af21c4-b566-4b56-ab5f-77f4e613555e,src/hooks/zustand/useDrawingStore.ts,hooks,10,26.31579,12,21
0a3b2fff-bfbc-4f50-bc97-61895cac56d7,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/applyDeletePointCoordinatePatch.ts,HomePage,8,22.857143,18,25
0a3b2fff-bfbc-4f50-bc97-61895cac56d7,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub2.tsx,HomePage,8,17.391304,23,30
0a3b2fff-bfbc-4f50-bc97-61895cac56d7,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub2.tsx,HomePage,8,17.391304,43,50
12ba5594-3893-4c6e-841d-0a8b37202d00,backend/src/helpers/queries/geometries/geometryJson.ts,backend,8,12.903226,13,20
12ba5594-3893-4c6e-841d-0a8b37202d00,src/helpers/points/pointCoreDisplayColumns.ts,helpers,8,57.142857,2,9
12ba5594-3893-4c6e-841d-0a8b37202d00,src/helpers/points/pointExportColumns.ts,helpers,8,50,3,10
8229b722-666c-4f98-8259-2fa1bc0ba25d,backend/src/helpers/queries/geometries/geometryJson.ts,backend,6,9.67742,13,18
8229b722-666c-4f98-8259-2fa1bc0ba25d,backend/src/helpers/queries/points/pointCoreColumns.ts,backend,6,19.35484,2,7
8229b722-666c-4f98-8259-2fa1bc0ba25d,src/helpers/points/pointCoreDisplayColumns.ts,helpers,6,42.857143,2,7
8229b722-666c-4f98-8259-2fa1bc0ba25d,src/helpers/points/pointCorePayloadFields.ts,helpers,6,30,2,7
8229b722-666c-4f98-8259-2fa1bc0ba25d,src/helpers/points/pointExportColumns.ts,helpers,6,37.5,3,8
9fc24192-3a56-414a-bb4a-47613ea6c806,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerBuilders.ts,HomePage,9,28.125,16,24
9fc24192-3a56-414a-bb4a-47613ea6c806,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerBuilders.ts,HomePage,9,28.125,35,43
a6914f99-d5a6-4c05-9b95-00de8942063e,src/hooks/zustand/shared/flightPlanFormTypes.ts,hooks,9,45,2,10
a6914f99-d5a6-4c05-9b95-00de8942063e,src/hooks/flightPlan/pickFlightPlanCreateFields.ts,hooks,9,56.25,8,16
baf6769a-d548-42fe-acb7-85a3161c8f43,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/handleAddPointStepMapClick.ts,HomePage,9,32.142857,6,14
baf6769a-d548-42fe-acb7-85a3161c8f43,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/useAddPointStepMapClick.ts,HomePage,9,29.032259,7,15
c015dd9d-3760-47e6-9148-543f95845d90,src/hooks/zustand/shared/flightPlanFormTypes.ts,hooks,9,45,14,22
c015dd9d-3760-47e6-9148-543f95845d90,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/viewPlanSession.ts,HomePage,9,17.647058,21,29
e57e3a96-a2df-45cd-bc27-ee9c7d9088ad,src/helpers/points/buildPointUpdatePayload.ts,helpers,6,20,5,10
e57e3a96-a2df-45cd-bc27-ee9c7d9088ad,src/Types/finished_plans.ts,Types,6,10.526316,31,36
e57e3a96-a2df-45cd-bc27-ee9c7d9088ad,backend/src/helpers/validators/finishedPlan.ts,backend,6,9.090909,38,43
e57e3a96-a2df-45cd-bc27-ee9c7d9088ad,src/Types/index.ts,Types,6,4.316547,5,10
e57e3a96-a2df-45cd-bc27-ee9c7d9088ad,src/helpers/points/pointImportRow.ts,helpers,6,46.153847,2,7
39619ca5-0147-436c-b75b-af2cc1a99608,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx,HomePage,9,21.428572,51,59
39619ca5-0147-436c-b75b-af2cc1a99608,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/removePointSuccess.ts,HomePage,9,11.842105,40,48
6ae5c163-f43e-455f-af51-50c1e385e470,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepNo/Buttons.tsx,HomePage,9,34.615383,10,20
6ae5c163-f43e-455f-af51-50c1e385e470,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepMultiplePoints/Buttons.tsx,HomePage,9,39.130436,10,20
73eef74e-5166-45d1-b786-6bad2d36b43d,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/Buttons.tsx,HomePage,9,22.5,20,30
73eef74e-5166-45d1-b786-6bad2d36b43d,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/SelectFromSourceButtons.tsx,HomePage,9,20.454546,24,32
7eabd952-100a-441d-b3af-a9db67e8a7ce,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx,HomePage,9,18.75,41,50
7eabd952-100a-441d-b3af-a9db67e8a7ce,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/DropDown.tsx,HomePage,9,17.307692,43,52
8ec0d7bc-9405-47e0-9d02-51ab5a436232,src/Types/finished_plans.ts,Types,7,12.280702,30,36
8ec0d7bc-9405-47e0-9d02-51ab5a436232,backend/src/helpers/validators/finishedPlan.ts,backend,7,10.606061,37,43
8ec0d7bc-9405-47e0-9d02-51ab5a436232,src/Types/index.ts,Types,7,5.035971,4,10
2bb3d7f4-c2eb-406f-89a1-532048367e83,backend/src/routes/flightPlans/getAllFlightPlans.ts,backend,6,40,6,11
2bb3d7f4-c2eb-406f-89a1-532048367e83,backend/src/routes/flightPlans/getFullPreparedFlightPlans.ts,backend,6,46.153847,5,10
2bb3d7f4-c2eb-406f-89a1-532048367e83,backend/src/routes/flightPlans/getPrepreparedFlightPlans.ts,backend,6,50,5,10
2bb3d7f4-c2eb-406f-89a1-532048367e83,backend/src/routes/flightPlans/getUnPreparedPlans.ts,backend,6,46.153847,5,10
57ddd3d5-8a72-4af8-98a6-2eaa231fc201,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/helpers/buildUpdatedPlanFromForm.ts,HomePage,6,9.523809,6,11
57ddd3d5-8a72-4af8-98a6-2eaa231fc201,src/hooks/zustand/shared/flightPlanFormTypes.ts,hooks,6,30,2,7
57ddd3d5-8a72-4af8-98a6-2eaa231fc201,src/Components/HomePage/Body/Left/Common/FlightPlanForm/FlightPlanStandardFields.tsx,HomePage,6,9.375,12,17
57ddd3d5-8a72-4af8-98a6-2eaa231fc201,src/hooks/flightPlan/pickFlightPlanCreateFields.ts,hooks,6,37.5,8,13
7d78e7f2-114a-4856-a930-4e856f4e2fb8,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step2/index.tsx,HomePage,7,15.217391,29,35
7d78e7f2-114a-4856-a930-4e856f4e2fb8,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/UpdateBtn.tsx,HomePage,7,17.073172,16,22
7d78e7f2-114a-4856-a930-4e856f4e2fb8,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/useCoordinatesWatcher.ts,HomePage,7,30.434782,9,15
82679a39-37c6-4809-ae15-28d457c8bff4,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Buttons.tsx,HomePage,8,23.529411,43,53
82679a39-37c6-4809-ae15-28d457c8bff4,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/index.tsx,HomePage,8,22.857143,48,58
8b0a205d-522f-49af-9f47-1b171a3b7605,src/Types/devices.ts,Types,8,34.782608,10,17
