Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,13,13,2,false,false,TypeScript,"backend/src/helpers/queries/points/pointCoreColumns.ts#L2:14,src/helpers/points/pointCorePayloadFields.ts#L2:14"
12 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,12,12,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/helpers/applyAddPointsToPlanSuccessTypes.ts#L12:23,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/helpers/submitAddPointsToPlanTypes.ts#L16:27"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-15,3,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx#L14:26,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step1/SinglePlan.tsx#L19:31"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,19,11,11,2,false,false,TypeScript,"src/Types/keycloakUser.ts#L1:11,backend/src/routes/keycloak/management/users/types.ts#L1:11"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/applyDeletePointCoordinatePatch.ts#L16:25,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub2.tsx#L41:50"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/StepContentLists.tsx#L9:18,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/stepContentViewProps.ts#L8:17"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,14,10,10,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Common/AandachtspuntDetailsFields.tsx#L9:18,src/hooks/zustand/useDrawingStore.ts#L12:21"
8 lines occurring 3 times in 2 files,HIGH,RAW,2026-07-18,0,8,16,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/applyDeletePointCoordinatePatch.ts#L18:25,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub2.tsx#L23:30,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub2.tsx#L43:50"
8 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-18,0,8,16,3,false,false,TypeScript,"backend/src/helpers/queries/geometries/geometryJson.ts#L13:20,src/helpers/points/pointCoreDisplayColumns.ts#L2:9,src/helpers/points/pointExportColumns.ts#L3:10"
6 lines occurring 5 times in 5 files,HIGH,RAW,2026-07-18,0,6,24,5,false,false,TypeScript,"backend/src/helpers/queries/geometries/geometryJson.ts#L13:18,backend/src/helpers/queries/points/pointCoreColumns.ts#L2:7,src/helpers/points/pointCoreDisplayColumns.ts#L2:7,src/helpers/points/pointCorePayloadFields.ts#L2:7,src/helpers/points/pointExportColumns.ts#L3:8"
