Description,Severity,Status,First Seen,Issue age,File,Technology,Lines of code
Interface module with 71 lines of code,HIGH,RAW,2026-07-21,0,src/hooks/hover-click-handlers/showPlanSearchListHoverCore.ts,TypeScript,71
Interface module with 38 lines of code,HIGH,RAW,2026-07-14,7,src/api-hooks/finishedPlans/usePlanPointAttachments.ts,TypeScript,38
Interface module with 27 lines of code,HIGH,RAW,2026-07-14,7,src/api-hooks/templateFlights/useTemplateFlights.ts,TypeScript,27
Interface module with 22 lines of code,HIGH,RAW,2026-07-14,7,src/api-hooks/points/usePointLookupQueries.ts,TypeScript,22
Interface module with 21 lines of code,HIGH,RAW,2026-06-04,47,src/hooks/useLogAction.ts,TypeScript,21
Interface module with 19 lines of code,HIGH,RAW,2026-07-14,7,src/api-hooks/flightPlans/useFlightPlanLookupQueries.ts,TypeScript,19
Interface module with 17 lines of code,HIGH,RAW,2026-07-04,17,src/hooks/consts/useConstSelectOptions.ts,TypeScript,17
Interface module with 14 lines of code,HIGH,RAW,2026-07-18,3,src/hooks/flightPlan/useFlightPlanStandardSelectProps.ts,TypeScript,14
Interface module with 14 lines of code,HIGH,RAW,2026-06-04,47,src/hooks/useGetFlightTimesDistance.ts,TypeScript,14
Interface module with 13 lines of code,HIGH,RAW,2026-07-04,17,src/api-hooks/consts/useLookupQuery.ts,TypeScript,13
Interface module with 11 lines of code,HIGH,RAW,2026-06-04,47,src/helpers/refreshToken.ts,TypeScript,11
Interface module with 10 lines of code,HIGH,RAW,2026-07-14,7,src/api-hooks/emails/useEmailsList.ts,TypeScript,10
Interface module with 162 lines of code,MEDIUM,RAW,2026-07-18,3,src/Components/HomePage/Body/Left/Common/FlightPlanForm/FlightPlanStandardFields.tsx,TypeScript,162
Interface module with 150 lines of code,MEDIUM,RAW,2026-07-18,3,src/hooks/zustand/tools/useDeletePointState.ts,TypeScript,150
Interface module with 115 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/ArcGISHelpers/centerAndZoomMathCore.ts,TypeScript,115
Interface module with 82 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/points/flightPlanPointExcelCore.ts,TypeScript,82
Interface module with 78 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/ArcGISHelpers/geometryMapGraphicFactoriesCore.ts,TypeScript,78
Interface module with 74 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/ArcGISHelpers/pointMapGraphicActionsCore.ts,TypeScript,74
Interface module with 67 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/ArcGISHelpers/geometryMapGraphicActionsCore.ts,TypeScript,67
Interface module with 64 lines of code,MEDIUM,RAW,2026-07-18,3,src/hooks/points/sortPointsWithSelectionOrderCore.ts,TypeScript,64
Interface module with 61 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/ArcGISHelpers/bufferPointsOnLayerCore.ts,TypeScript,61
Interface module with 60 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/tableExports/shapefileExportCore.ts,TypeScript,60
Interface module with 56 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/tableExports/csvExportCore.ts,TypeScript,56
Interface module with 55 lines of code,MEDIUM,RAW,2026-07-18,3,src/api-hooks/mutations/useCreateDataCore.ts,TypeScript,55
Interface module with 54 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/ArcGISHelpers/planBoundingBoxGeometryCore.ts,TypeScript,54
Interface module with 53 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/ArcGISHelpers/createGeometryGraphicInternal.ts,TypeScript,53
Interface module with 52 lines of code,MEDIUM,RAW,2026-07-18,3,src/hooks/flightPlan/submitCollectedFlightPlanCreate.ts,TypeScript,52
Interface module with 51 lines of code,MEDIUM,RAW,2026-07-18,3,src/hooks/filters/useFilteredSortedPlansCore.ts,TypeScript,51
Interface module with 50 lines of code,MEDIUM,RAW,2026-07-18,3,src/hooks/zustand/shared/flightPlanFormSettersCore.ts,TypeScript,50
Interface module with 49 lines of code,MEDIUM,RAW,2026-07-18,3,src/api-hooks/mutations/useUpdateDataCore.ts,TypeScript,49
Interface module with 48 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/tableExports/xlsxExportCore.ts,TypeScript,48
Interface module with 47 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/ArcGISHelpers/planStarGraphicsCore.ts,TypeScript,47
Interface module with 45 lines of code,MEDIUM,RAW,2026-07-18,3,src/api-hooks/mutations/useDeleteDataCore.ts,TypeScript,45
Interface module with 45 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/ArcGISHelpers/bufferFlightPlansOnLayerCore.ts,TypeScript,45
Interface module with 44 lines of code,MEDIUM,RAW,2026-07-18,3,src/hooks/useTimeRangeCore.ts,TypeScript,44
Interface module with 44 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/ArcGISHelpers/buildPlanBoundingBoxGraphicCore.ts,TypeScript,44
Interface module with 43 lines of code,MEDIUM,RAW,2026-07-17,4,src/helpers/ArcGISHelpers/pointGraphicCoordinates.ts,TypeScript,43
Interface module with 43 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/ArcGISHelpers/pointMapGraphicFactoriesCore.ts,TypeScript,43
Interface module with 41 lines of code,MEDIUM,RAW,2026-07-18,3,src/hooks/layout/useResizableSidebarCore.ts,TypeScript,41
Interface module with 41 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/ArcGISHelpers/pointGraphicFactoryCore.ts,TypeScript,41
Interface module with 40 lines of code,MEDIUM,RAW,2026-07-18,3,src/hooks/points/useWizardPointsFilterHeaderCore.tsx,TypeScript,40
Interface module with 40 lines of code,MEDIUM,RAW,2026-07-18,3,src/hooks/hover-click-handlers/useDrawPathCore.ts,TypeScript,40
Interface module with 39 lines of code,MEDIUM,RAW,2026-07-18,3,src/hooks/resultTab/useResultTabStarredPointActionsCore.ts,TypeScript,39
Interface module with 38 lines of code,MEDIUM,RAW,2026-07-18,3,src/hooks/hover-click-handlers/useNearestPointClickCore.ts,TypeScript,38
Interface module with 38 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/ArcGISHelpers/finishedPlanCentroidMarkersCore.ts,TypeScript,38
Interface module with 38 lines of code,MEDIUM,RAW,2026-07-18,3,src/hooks/hover-click-handlers/useFeatureLayerPopupCore.ts,TypeScript,38
Interface module with 37 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/tableExports/geoJsonExportCore.ts,TypeScript,37
Interface module with 37 lines of code,MEDIUM,RAW,2026-07-18,3,src/hooks/viewPlan/useMapPointSelectionClickCore.ts,TypeScript,37
Interface module with 35 lines of code,MEDIUM,RAW,2026-07-18,3,src/helpers/geo/buildCoordinateSyncPatchCore.ts,TypeScript,35
