Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
McCabe complexity of 7 for unit App.tsx.App(),LOW,RAW,2026-06-04,47,App.tsx.App(),src/App.tsx#L16:65,TypeScript,30,7,0
McCabe complexity of 6 for unit mapPointerHoverHandler.ts.createMapPointerHoverHandler(any),LOW,RAW,2026-07-13,8,mapPointerHoverHandler.ts.createMapPointerHoverHandler(any),src/Components/HomePage/Body/MapViewComp/mapPointerHoverHandler.ts#L8:17,TypeScript,30,6,1
"McCabe complexity of 6 for unit getGeometries.ts.getGeometries(Request,Response)",LOW,RAW,2026-06-04,47,"getGeometries.ts.getGeometries(Request,Response)",backend/src/routes/geometries/getGeometries.ts#L9:47,TypeScript,30,6,2
McCabe complexity of 6 for unit postProxyHelpers.ts.forwardArcgisPostRequest(Request),LOW,RAW,2026-07-04,17,postProxyHelpers.ts.forwardArcgisPostRequest(Request),backend/src/routes/arcgis/postProxyHelpers.ts#L60:91,TypeScript,30,6,1
McCabe complexity of 6 for unit useDrawingToolLifecycle.ts.useDrawingToolStep2Lifecycle(any),LOW,RAW,2026-07-13,8,useDrawingToolLifecycle.ts.useDrawingToolStep2Lifecycle(any),src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/useDrawingToolLifecycle.ts#L72:111,TypeScript,29,6,1
"McCabe complexity of 6 for unit pdfReportTables.ts.addDetailTable(jsPDF,PDFPointDataType)",LOW,RAW,2026-07-04,17,"pdfReportTables.ts.addDetailTable(jsPDF,PDFPointDataType)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/pdfReportTables.ts#L89:117,TypeScript,29,6,2
McCabe complexity of 9 for unit buildFlightPlanQueryParts.ts.appendFlightPlanWhereClause(any),LOW,RAW,2026-07-17,4,buildFlightPlanQueryParts.ts.appendFlightPlanWhereClause(any),backend/src/helpers/queries/flight-plans/buildFlightPlanQueryParts.ts#L92:131,TypeScript,29,9,1
McCabe complexity of 6 for unit usePathPointHandlerClick.ts.usePathPointHandlerClick(),LOW,RAW,2026-06-04,47,usePathPointHandlerClick.ts.usePathPointHandlerClick(),src/hooks/hover-click-handlers/usePathPointHandlerClick.ts#L18:51,TypeScript,28,6,0
McCabe complexity of 6 for unit index.tsx.Step1(any),LOW,RAW,2026-06-04,47,index.tsx.Step1(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step1/index.tsx#L11:78,TypeScript,28,6,1
McCabe complexity of 7 for unit keycloakAdminTokenRequest.ts.requestAdminTokenWithRetry(any),LOW,RAW,2026-07-14,7,keycloakAdminTokenRequest.ts.requestAdminTokenWithRetry(any),backend/src/services/keycloakAdminTokenRequest.ts#L11:43,TypeScript,28,7,1
