Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
McCabe complexity of 7 for unit App.tsx.App(),LOW,RAW,2026-06-04,53,App.tsx.App(),src/App.tsx#L16:65,TypeScript,30,7,0
"McCabe complexity of 6 for unit deleteUser.ts.handleDeleteUser(Request,Response)",LOW,RAW,2026-06-04,53,"deleteUser.ts.handleDeleteUser(Request,Response)",backend/src/routes/keycloak/management/users/deleteUser.ts#L7:40,TypeScript,27,6,2
McCabe complexity of 6 for unit attachDeletePointMapClick.ts.attachDeletePointMapClick(any),LOW,RAW,2026-07-17,10,attachDeletePointMapClick.ts.attachDeletePointMapClick(any),src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/Main/attachDeletePointMapClick.ts#L5:42,TypeScript,27,6,1
McCabe complexity of 6 for unit bufferFlightPlansOnLayerCore.ts.bufferFlightPlansOnLayer(BufferFlightPlansOnLayerInput),LOW,RAW,2026-07-18,9,bufferFlightPlansOnLayerCore.ts.bufferFlightPlansOnLayer(BufferFlightPlansOnLayerInput),src/helpers/ArcGISHelpers/bufferFlightPlansOnLayerCore.ts#L20:51,TypeScript,26,6,1
McCabe complexity of 6 for unit selectFromSourceGraphics.ts.syncPinsForSelection(any),LOW,RAW,2026-07-04,23,selectFromSourceGraphics.ts.syncPinsForSelection(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/helpers/selectFromSourceGraphics.ts#L35:71,TypeScript,26,6,1
McCabe complexity of 6 for unit CurrentGeometriesList.tsx.CurrentGeometriesList(),LOW,RAW,2026-06-04,53,CurrentGeometriesList.tsx.CurrentGeometriesList(),src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/CurrentGeometriesList.tsx#L11:62,TypeScript,26,6,0
"McCabe complexity of 6 for unit middleware.ts.RequestHandler(any,any,any)",LOW,RAW,2026-06-04,53,"middleware.ts.RequestHandler(any,any,any)",backend/src/routes/devices-updates/middleware.ts#L7:34,TypeScript,25,6,3
McCabe complexity of 6 for unit useSelectFromSourceGraphicsEffects.ts.useSourcePointHover(any),LOW,RAW,2026-07-14,13,useSelectFromSourceGraphicsEffects.ts.useSourcePointHover(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/useSelectFromSourceGraphicsEffects.ts#L101:130,TypeScript,25,6,1
"McCabe complexity of 6 for unit computeFlightPlanCentroid.ts.computeFlightPlanCentroid(FlightPlanCentroidPoint[],any,any)",LOW,RAW,2026-06-06,51,"computeFlightPlanCentroid.ts.computeFlightPlanCentroid(FlightPlanCentroidPoint[],any,any)",src/helpers/ArcGISHelpers/computeFlightPlanCentroid.ts#L12:41,TypeScript,24,6,3
"McCabe complexity of 6 for unit createUser.ts.createUser(Request,Response)",LOW,RAW,2026-06-04,53,"createUser.ts.createUser(Request,Response)",backend/src/routes/users/createUser.ts#L4:30,TypeScript,24,6,2
McCabe complexity of 6 for unit processImportedRows(string[]),LOW,RAW,2026-07-04,23,processImportedRows(string[]),src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/ImportVluchtPlan.tsx#L53:67,TypeScript,24,6,1
"McCabe complexity of 6 for unit registerAgent.ts.RequestHandler(any,any)",LOW,RAW,2026-06-04,53,"registerAgent.ts.RequestHandler(any,any)",backend/src/routes/devices-updates/agent/registerAgent.ts#L23:48,TypeScript,23,6,2
McCabe complexity of 6 for unit loadImages(),LOW,RAW,2026-07-17,10,loadImages(),src/api-hooks/planImages/useEntityPlanImages.ts#L42:66,TypeScript,23,6,0
McCabe complexity of 6 for unit updateGeometryPoints.ts.updateGeometryOwnedPoints(any),LOW,RAW,2026-07-04,23,updateGeometryPoints.ts.updateGeometryOwnedPoints(any),backend/src/helpers/queries/geometries/updateGeometryPoints.ts#L10:42,TypeScript,23,6,1
McCabe complexity of 6 for unit useNearestPointClickCore.ts.useNearestPointClick(UseNearestPointClickOptions),LOW,RAW,2026-07-18,9,useNearestPointClickCore.ts.useNearestPointClick(UseNearestPointClickOptions),src/hooks/hover-click-handlers/useNearestPointClickCore.ts#L17:50,TypeScript,23,6,1
McCabe complexity of 6 for unit useWizardPointsFilterHeaderCore.tsx.useWizardPointsFilterHeader(any),LOW,RAW,2026-07-18,9,useWizardPointsFilterHeaderCore.tsx.useWizardPointsFilterHeader(any),src/hooks/points/useWizardPointsFilterHeaderCore.tsx#L3:44,TypeScript,22,6,1
McCabe complexity of 6 for unit useTimesliderSelection.ts.useTimesliderSelectedPlan(any),LOW,RAW,2026-07-04,23,useTimesliderSelection.ts.useTimesliderSelectedPlan(any),src/Components/TimesliderItemDetailPage/useTimesliderSelection.ts#L4:32,TypeScript,22,6,1
McCabe complexity of 6 for unit useTemplateFlightSelectionStepProps.ts.useTemplateFlightSelectionStepProps(any),LOW,RAW,2026-07-18,9,useTemplateFlightSelectionStepProps.ts.useTemplateFlightSelectionStepProps(any),src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/useTemplateFlightSelectionStepProps.ts#L5:27,TypeScript,22,6,1
McCabe complexity of 6 for unit computeRealmRoleDiff.ts.computeRealmRoleDiff(any),LOW,RAW,2026-07-17,10,computeRealmRoleDiff.ts.computeRealmRoleDiff(any),backend/src/routes/keycloak/management/users/computeRealmRoleDiff.ts#L3:30,TypeScript,21,6,1
"McCabe complexity of 6 for unit regioPlanAssertions.ts.assertPlanRegiosWithDb(RegioTestReporter,any)",LOW,RAW,2026-07-18,9,"regioPlanAssertions.ts.assertPlanRegiosWithDb(RegioTestReporter,any)",backend/scripts/regioPlanAssertions.ts#L26:52,TypeScript,21,6,2
McCabe complexity of 6 for unit useTableLayout.ts.useTableLayout(UseTableLayoutInput),LOW,RAW,2026-07-04,23,useTableLayout.ts.useTableLayout(UseTableLayoutInput),src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useTableLayout.ts#L8:29,TypeScript,21,6,1
"McCabe complexity of 6 for unit findFotoMarkerAttachmentIndex.ts.findFotoMarkerAttachmentIndex(__esri.HitTestResult,AttachmentType[])",LOW,RAW,2026-07-18,9,"findFotoMarkerAttachmentIndex.ts.findFotoMarkerAttachmentIndex(__esri.HitTestResult,AttachmentType[])",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/findFotoMarkerAttachmentIndex.ts#L3:26,TypeScript,21,6,2
McCabe complexity of 6 for unit keycloakUserApi.ts.createKeycloakUser(any),LOW,RAW,2026-07-04,23,keycloakUserApi.ts.createKeycloakUser(any),src/Components/DashboardPage/shared/keycloakUserApi.ts#L47:72,TypeScript,20,6,1
McCabe complexity of 6 for unit exportFlightPath(),LOW,RAW,2026-06-04,53,exportFlightPath(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/VliegrouteExporteren/index.tsx#L37:59,TypeScript,20,6,0
McCabe complexity of 6 for unit submitCreateUser.ts.submitCreateUser(any),LOW,RAW,2026-07-18,9,submitCreateUser.ts.submitCreateUser(any),src/Components/DashboardPage/AddUser/submitCreateUser.ts#L20:43,TypeScript,20,6,1
"McCabe complexity of 6 for unit entityDeleteHelpers.ts.removePointIdsFromFlightPlans(PoolClient,number[])",LOW,RAW,2026-07-01,26,"entityDeleteHelpers.ts.removePointIdsFromFlightPlans(PoolClient,number[])",backend/src/helpers/entities/entityDeleteHelpers.ts#L72:98,TypeScript,20,6,2
McCabe complexity of 6 for unit uploadZip(),LOW,RAW,2026-06-04,53,uploadZip(),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step3/hooks/useUploadZip.ts#L21:41,TypeScript,20,6,0
McCabe complexity of 6 for unit selectGeometryFromMapClick.ts.selectGeometryFromMapClick(any),LOW,RAW,2026-07-17,10,selectGeometryFromMapClick.ts.selectGeometryFromMapClick(any),src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/selectGeometryFromMapClick.ts#L4:31,TypeScript,19,6,1
