Description,Severity,Status,First Seen,Issue age,File,Technology,Lines of code
Interface module with 74 lines of code,HIGH,RAW,2026-07-30,0,src/helpers/ArcGISHelpers/pointMapGraphicActionsCore.ts,TypeScript,74
Interface module with 35 lines of code,HIGH,RAW,2026-07-30,0,src/Components/HomePage/Body/Common/EditPoint/editPointMapClickCoords.ts,TypeScript,35
Interface module with 35 lines of code,HIGH,RAW,2026-07-18,12,src/helpers/geo/buildCoordinateSyncPatchCore.ts,TypeScript,35
Interface module with 32 lines of code,HIGH,RAW,2026-07-30,0,src/Components/Voorbereiding/common/wizardFilterStepSelection.ts,TypeScript,32
Interface module with 31 lines of code,HIGH,RAW,2026-07-30,0,src/Components/Voorbereiding/EnrichedAddPoint/Steps/Step2/syncEnrichedCoordsForPreview.ts,TypeScript,31
Interface module with 24 lines of code,HIGH,RAW,2026-07-30,0,src/Components/HomePage/hooks/wizard/useWizardButtons.ts,TypeScript,24
Interface module with 22 lines of code,HIGH,RAW,2026-07-14,16,src/api-hooks/points/usePointLookupQueries.ts,TypeScript,22
Interface module with 21 lines of code,HIGH,RAW,2026-06-04,56,src/hooks/useLogAction.ts,TypeScript,21
Interface module with 19 lines of code,HIGH,RAW,2026-07-14,16,src/api-hooks/flightPlans/useFlightPlanLookupQueries.ts,TypeScript,19
Interface module with 17 lines of code,HIGH,RAW,2026-07-30,0,src/Components/HomePage/hooks/consts/useConstSelectOptions.ts,TypeScript,17
Interface module with 15 lines of code,HIGH,RAW,2026-07-30,0,src/Components/Voorbereiding/EnrichedAddPoint/Steps/Step2/useCoordinatesWatcher.ts,TypeScript,15
Interface module with 14 lines of code,HIGH,RAW,2026-07-30,0,src/Components/Voorbereiding/EnrichedAddPoint/helpers/createNewPoint.ts,TypeScript,14
Interface module with 14 lines of code,HIGH,RAW,2026-07-30,0,src/Components/HomePage/hooks/map/useGetFlightTimesDistance.ts,TypeScript,14
Interface module with 13 lines of code,HIGH,RAW,2026-07-17,13,src/helpers/arcgis/attachmentDisplayUrl.ts,TypeScript,13
Interface module with 11 lines of code,HIGH,RAW,2026-07-29,1,src/helpers/http/refreshToken.ts,TypeScript,11
Interface module with 9 lines of code,HIGH,RAW,2026-07-18,12,src/helpers/geo/transformWgs84ToRd.ts,TypeScript,9
Interface module with 116 lines of code,MEDIUM,RAW,2026-07-30,0,src/helpers/ArcGISHelpers/centerAndZoomMathCore.ts,TypeScript,116
Interface module with 84 lines of code,MEDIUM,RAW,2026-07-30,0,src/helpers/ArcGISHelpers/geometryMapGraphicActionsCore.ts,TypeScript,84
Interface module with 82 lines of code,MEDIUM,RAW,2026-07-30,0,src/Components/HomePage/helpers/points/flightPlanPointExcelCore.ts,TypeScript,82
Interface module with 78 lines of code,MEDIUM,RAW,2026-07-30,0,src/helpers/ArcGISHelpers/geometryMapGraphicFactoriesCore.ts,TypeScript,78
Interface module with 66 lines of code,MEDIUM,RAW,2026-07-30,0,src/helpers/ArcGISHelpers/createGeometryGraphicInternal.ts,TypeScript,66
Interface module with 63 lines of code,MEDIUM,RAW,2026-07-30,0,src/helpers/ArcGISHelpers/bufferFlightPlansOnLayerCore.ts,TypeScript,63
Interface module with 61 lines of code,MEDIUM,RAW,2026-07-30,0,src/helpers/ArcGISHelpers/bufferPointsOnLayerCore.ts,TypeScript,61
Interface module with 59 lines of code,MEDIUM,RAW,2026-07-30,0,src/Components/HomePage/hooks/zustand/tools/deletePointFormFields.ts,TypeScript,59
Interface module with 56 lines of code,MEDIUM,RAW,2026-07-30,0,src/Components/HomePage/hooks/points/useWizardPointsFilterHeaderCore.tsx,TypeScript,56
Interface module with 55 lines of code,MEDIUM,RAW,2026-07-30,0,src/helpers/ArcGISHelpers/buildPlanBoundingBoxGraphicCore.ts,TypeScript,55
Interface module with 55 lines of code,MEDIUM,RAW,2026-07-18,12,src/api-hooks/mutations/useCreateDataCore.ts,TypeScript,55
Interface module with 54 lines of code,MEDIUM,RAW,2026-07-30,0,src/helpers/ArcGISHelpers/planBoundingBoxGeometryCore.ts,TypeScript,54
