Description,Severity,Status,First Seen,Issue age,Type,Length,Source component,Target component
Very high communication density on src/Components/HomePage,HIGH,RAW,2026-06-04,61,COMMUNICATION_DENSITY,-,-,-
Very high communication density on src/hooks,HIGH,RAW,2026-06-04,61,COMMUNICATION_DENSITY,-,-,-
Very high communication density on src/api-hooks,HIGH,ACCEPTED,2026-06-04,61,COMMUNICATION_DENSITY,-,-,-
Very high communication density on src/helpers/ArcGISHelpers,HIGH,ACCEPTED,2026-07-29,6,COMMUNICATION_DENSITY,-,-,-
High communication density on src/Components/Nabewerking/VluchtenZoeken,MEDIUM,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
High communication density on src/Components/Voorbereiding/FlightPlan,MEDIUM,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
High communication density on src/helpers/http,MEDIUM,ACCEPTED,2026-07-29,6,COMMUNICATION_DENSITY,-,-,-
High communication density on src/helpers/geo,MEDIUM,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
High communication density on src/Components/Nabewerking/CreateReport,MEDIUM,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
High communication density on src/Components/Voorbereiding/EnrichedAddPoint,MEDIUM,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
High communication density on src/Components/Voorbereiding/ViewPlan,MEDIUM,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
High communication density on src/helpers/arcgis,MEDIUM,ACCEPTED,2026-07-29,6,COMMUNICATION_DENSITY,-,-,-
High communication density on src/Components/Voorbereiding/TemplateFlight,MEDIUM,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
High communication density on src/Components/Voorbereiding/SelectedPoint/EditPointDetails,MEDIUM,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
High communication density on src/Components/HomePageTools/AandachtspuntenVerwijderen,MEDIUM,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
Transitive dependency between src/Components/Nabewerking/VluchtenZoeken and src/hooks,LOW,RAW,2026-07-30,5,LAYER_BYPASSING_DEPENDENCY,-,src/Components/Nabewerking/VluchtenZoeken,src/hooks
Transitive dependency between src/Components/Nabewerking/CreateReport and src/hooks,LOW,RAW,2026-07-30,5,LAYER_BYPASSING_DEPENDENCY,-,src/Components/Nabewerking/CreateReport,src/hooks
Transitive dependency between src/Components/Voorbereiding/ReuseFlightPlan and src/hooks,LOW,RAW,2026-07-30,5,LAYER_BYPASSING_DEPENDENCY,-,src/Components/Voorbereiding/ReuseFlightPlan,src/hooks
Transitive dependency between src/Components/Voorbereiding/SelectedPoint/EditPointDetails and src/hooks,LOW,RAW,2026-07-30,5,LAYER_BYPASSING_DEPENDENCY,-,src/Components/Voorbereiding/SelectedPoint/EditPointDetails,src/hooks
Moderate communication density on src/Components/Voorbereiding/DrawingTool,LOW,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
Transitive dependency between src/Components/Voorbereiding/RemoveFlightPlan and src/hooks,LOW,RAW,2026-07-30,5,LAYER_BYPASSING_DEPENDENCY,-,src/Components/Voorbereiding/RemoveFlightPlan,src/hooks
Moderate communication density on src/Components/Voorbereiding/ReuseFlightPlan,LOW,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
Moderate communication density on src/Components/TimesliderItemDetailPage,LOW,ACCEPTED,2026-06-04,61,COMMUNICATION_DENSITY,-,-,-
Transitive dependency between src/Components/Nabewerking/ChangeFlightPlanStatus and src/hooks,LOW,RAW,2026-07-30,5,LAYER_BYPASSING_DEPENDENCY,-,src/Components/Nabewerking/ChangeFlightPlanStatus,src/hooks
Transitive dependency between src/Components/HomePageTools/EditGeometry and src/hooks,LOW,RAW,2026-07-30,5,LAYER_BYPASSING_DEPENDENCY,-,src/Components/HomePageTools/EditGeometry,src/hooks
Moderate communication density on src/Components/HomePageTools/EditGeometry,LOW,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
Moderate communication density on src/Components/Voorbereiding/AddPointsVluchtPlan,LOW,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
Moderate communication density on src/Components/Voorbereiding/SelectedPoint/AddToPlan,LOW,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
Transitive dependency between src/Components/Nabewerking/CreateReport and src/helpers/arcgis,LOW,RAW,2026-07-30,5,LAYER_BYPASSING_DEPENDENCY,-,src/Components/Nabewerking/CreateReport,src/helpers/arcgis
Moderate communication density on src/Components/Voorbereiding/common,LOW,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
Transitive dependency between src/Components/Voorbereiding/DrawingTool and src/helpers/ArcGISHelpers,LOW,RAW,2026-07-30,5,LAYER_BYPASSING_DEPENDENCY,-,src/Components/Voorbereiding/DrawingTool,src/helpers/ArcGISHelpers
Moderate communication density on src/Components/Voorbereiding/RemoveFlightPlan,LOW,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
Moderate communication density on src/Components/Nabewerking/ChangeFlightPlanStatus,LOW,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
Moderate communication density on src/Components/Voorbereiding/PrepareFlightPlan,LOW,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
Moderate communication density on src/Components/Voorbereiding/SelectedPoint/DeletePoint,LOW,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
Moderate communication density on src/Components/HomePageTools/Emailijst,LOW,RAW,2026-07-30,5,COMMUNICATION_DENSITY,-,-,-
Transitive dependency between src/Components/Voorbereiding/AddPointsVluchtPlan and src/helpers/ArcGISHelpers,LOW,RAW,2026-07-30,5,LAYER_BYPASSING_DEPENDENCY,-,src/Components/Voorbereiding/AddPointsVluchtPlan,src/helpers/ArcGISHelpers
Transitive dependency between src/Components/Nabewerking/VluchtenZoeken and src/helpers/arcgis,LOW,RAW,2026-07-30,5,LAYER_BYPASSING_DEPENDENCY,-,src/Components/Nabewerking/VluchtenZoeken,src/helpers/arcgis
