Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"4 parameters for unit middleware.ts.attachDeviceFromToken(Request,Response,string,NextFunction)",LOW,RAW,2026-07-27,8,"middleware.ts.attachDeviceFromToken(Request,Response,string,NextFunction)",backend/src/routes/devices-updates/middleware.ts#L12:36,TypeScript,19,3,4
"3 parameters for unit requireAuthClientHeader.ts.requireAuthClientHeader(any,any,any)",LOW,RAW,2026-07-13,22,"requireAuthClientHeader.ts.requireAuthClientHeader(any,any,any)",backend/src/routes/auth2/requireAuthClientHeader.ts#L9:26,TypeScript,16,2,3
"3 parameters for unit requirePassword.ts.requirePassword(express.Request,express.Response,express.NextFunction)",LOW,RAW,2026-07-01,34,"requirePassword.ts.requirePassword(express.Request,express.Response,express.NextFunction)",backend/src/helpers/auth/requirePassword.ts#L21:39,TypeScript,14,4,3
"3 parameters for unit installersHandlers.ts.handleInstallerUploadMiddleware(Request,Response,void)",LOW,RAW,2026-07-17,18,"installersHandlers.ts.handleInstallerUploadMiddleware(Request,Response,void)",backend/src/routes/installersHandlers.ts#L13:27,TypeScript,11,3,3
"3 parameters for unit requireSessionAuth.ts.RequestHandler(any,any,any)",LOW,RAW,2026-07-13,22,"requireSessionAuth.ts.RequestHandler(any,any,any)",backend/src/helpers/auth/requireSessionAuth.ts#L4:15,TypeScript,10,3,3
"3 parameters for unit legacyAuthUsageMonitor.ts.legacyAuthUsageMonitor(any,any,any)",LOW,RAW,2026-07-13,22,"legacyAuthUsageMonitor.ts.legacyAuthUsageMonitor(any,any,any)",backend/src/helpers/auth/legacyAuthUsageMonitor.ts#L41:51,TypeScript,10,5,3
"3 parameters for unit middleware.ts.RequestHandler(any,any,any)",LOW,RAW,2026-06-04,61,"middleware.ts.RequestHandler(any,any,any)",backend/src/routes/devices-updates/middleware.ts#L38:45,TypeScript,8,2,3
"3 parameters for unit installersUpload.ts.fileFilter(any,any,any)",LOW,RAW,2026-07-13,22,"installersUpload.ts.fileFilter(any,any,any)",backend/src/routes/installersUpload.ts#L25:32,TypeScript,8,3,3
"3 parameters for unit realmAdminAuth.ts.requireAdmin(any,any,any)",LOW,RAW,2026-07-13,22,"realmAdminAuth.ts.requireAdmin(any,any,any)",backend/src/helpers/auth/realmAdminAuth.ts#L20:26,TypeScript,7,2,3
"3 parameters for unit attachmentsRepo.ts.insertAttachment(Queryable,AttachmentInsertInput,any)",LOW,RAW,2026-07-28,7,"attachmentsRepo.ts.insertAttachment(Queryable,AttachmentInsertInput,any)",backend/src/helpers/repositories/attachmentsRepo.ts#L29:41,TypeScript,7,3,3
"3 parameters for unit reportUpload.ts.filename(any,any,any)",LOW,RAW,2026-06-04,61,"reportUpload.ts.filename(any,any,any)",backend/src/routes/reportUpload.ts#L19:24,TypeScript,6,4,3
"3 parameters for unit flightPlansRepo.ts.updateFlightPlanReturning(Queryable,FlightPlanBodySource,unknown)",LOW,RAW,2026-07-28,7,"flightPlansRepo.ts.updateFlightPlanReturning(Queryable,FlightPlanBodySource,unknown)",backend/src/helpers/repositories/flightPlansRepo.ts#L89:98,TypeScript,6,1,3
"3 parameters for unit reportUpload.ts.fileFilter(express.Request,Express.Multer.File,multer.FileFilterCallback)",LOW,RAW,2026-07-13,22,"reportUpload.ts.fileFilter(express.Request,Express.Multer.File,multer.FileFilterCallback)",backend/src/routes/reportUpload.ts#L27:31,TypeScript,5,4,3
"3 parameters for unit installersUpload.ts.filename(any,any,any)",LOW,RAW,2026-07-13,22,"installersUpload.ts.filename(any,any,any)",backend/src/routes/installersUpload.ts#L12:15,TypeScript,4,2,3
"3 parameters for unit FeatureDeleteAttachmentsResponse.failedDeleteDescription(NonNullable,any,any)",LOW,RAW,2026-07-27,8,"FeatureDeleteAttachmentsResponse.failedDeleteDescription(NonNullable,any,any)",src/helpers/arcgis/deleteAttachmentsResponse.ts#L45:49,TypeScript,3,2,3
