Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
59 lines of code for unit dockerfile,MEDIUM,RAW,2026-06-04,61,dockerfile,backend/dockerfile#L1:86,Docker,59,-,-
47 lines of code for unit verifyRegioApisHelpers.ts,MEDIUM,RAW,2026-07-28,7,verifyRegioApisHelpers.ts,backend/scripts/verifyRegioApisHelpers.ts#L1:25,TypeScript,47,1,0
30 lines of code for unit runCreateImageUpload.ts.runCreateImageUpload(CreateImageUploadInput),LOW,RAW,2026-07-30,5,runCreateImageUpload.ts.runCreateImageUpload(CreateImageUploadInput),src/Components/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/runCreateImageUpload.ts#L19:48,TypeScript,30,3,1
30 lines of code for unit LegendSectionCore.ts.useLegendSectionModel(LegendSectionProps),LOW,RAW,2026-07-18,17,LegendSectionCore.ts.useLegendSectionModel(LegendSectionProps),src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/LegendSectionCore.ts#L159:188,TypeScript,30,1,1
"30 lines of code for unit getFinishedPlansTimeslider.ts.getFinishedPlansTimeslider(Request,Response)",LOW,RAW,2026-06-04,61,"getFinishedPlansTimeslider.ts.getFinishedPlansTimeslider(Request,Response)",backend/src/routes/timeslider/getFinishedPlansTimeslider.ts#L7:43,TypeScript,30,4,2
30 lines of code for unit geoJsonExportCore.ts.exportPointsPlansGeoJsonZip(any),LOW,RAW,2026-07-29,6,geoJsonExportCore.ts.exportPointsPlansGeoJsonZip(any),src/Components/HomePage/helpers/tableExports/geoJsonExportCore.ts#L6:38,TypeScript,30,1,1
"30 lines of code for unit TimesliderImageViewer.tsx.buildMainImageProps(TimesliderImageViewerProps,any)",LOW,RAW,2026-07-18,17,"TimesliderImageViewer.tsx.buildMainImageProps(TimesliderImageViewerProps,any)",src/Components/TimesliderItemDetailPage/sections/TimesliderImageViewer.tsx#L58:89,TypeScript,30,2,2
30 lines of code for unit index.tsx.FlightPlans(any),LOW,RAW,2026-06-04,61,index.tsx.FlightPlans(any),src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/index.tsx#L9:46,TypeScript,30,4,1
30 lines of code for unit index.tsx.EditPointDetails(),LOW,RAW,2026-07-30,5,index.tsx.EditPointDetails(),src/Components/Voorbereiding/SelectedPoint/EditPointDetails/index.tsx#L14:84,TypeScript,30,2,0
30 lines of code for unit verifyRegioPointsGeometries.ts.runPointsRegioCheck(any),LOW,RAW,2026-07-04,31,verifyRegioPointsGeometries.ts.runPointsRegioCheck(any),backend/scripts/verifyRegioPointsGeometries.ts#L19:52,TypeScript,30,5,1
30 lines of code for unit oidcClientCache.ts.getOrCreateOidcClient(Profile),LOW,RAW,2026-07-17,18,oidcClientCache.ts.getOrCreateOidcClient(Profile),backend/src/routes/auth/oidcClientCache.ts#L65:97,TypeScript,30,4,1
30 lines of code for unit spoedReportHtml.ts,LOW,RAW,2026-06-29,36,spoedReportHtml.ts,backend/src/routes/emails/spoedReportHtml.ts#L1:81,TypeScript,30,1,0
30 lines of code for unit WizardPointsList.tsx.WizardPointsList(WizardPointsListProps),LOW,RAW,2026-07-04,31,WizardPointsList.tsx.WizardPointsList(WizardPointsListProps),src/Components/HomePage/Body/Left/Common/WizardPointsList.tsx#L38:51,TypeScript,30,3,1
30 lines of code for unit Buttons.tsx.Buttons(any),LOW,RAW,2026-07-30,5,Buttons.tsx.Buttons(any),src/Components/Voorbereiding/TemplateFlight/Steps/Step3/Buttons.tsx#L19:53,TypeScript,30,1,1
30 lines of code for unit renderDownloadPage.ts.renderDownloadPage(any),LOW,RAW,2026-07-01,34,renderDownloadPage.ts.renderDownloadPage(any),backend/src/helpers/html/renderDownloadPage.ts#L21:54,TypeScript,30,2,1
30 lines of code for unit useEditUserFormModel.ts.useEditUserFormModel(),LOW,RAW,2026-07-18,17,useEditUserFormModel.ts.useEditUserFormModel(),src/Components/DashboardPage/EditUser/useEditUserFormModel.ts#L8:37,TypeScript,30,1,0
30 lines of code for unit index.tsx.StepNo(any),LOW,RAW,2026-07-30,5,index.tsx.StepNo(any),src/Components/Voorbereiding/SelectedPoint/AddToPlan/StepNo/index.tsx#L9:86,TypeScript,30,2,1
30 lines of code for unit CoordinatesInput.tsx.CoordinatesInput(),LOW,RAW,2026-07-30,5,CoordinatesInput.tsx.CoordinatesInput(),src/Components/Voorbereiding/EnrichedAddPoint/Steps/Step2/CoordinatesInput.tsx#L6:36,TypeScript,30,1,0
30 lines of code for unit finishedPlansQuerySql.ts.buildSingleFinishedPlanCtes(),LOW,RAW,2026-07-28,7,finishedPlansQuerySql.ts.buildSingleFinishedPlanCtes(),backend/src/helpers/repositories/finishedPlansQuerySql.ts#L14:43,TypeScript,30,1,0
30 lines of code for unit index.tsx.Form(EditObservationFormProps),LOW,RAW,2026-07-30,5,index.tsx.Form(EditObservationFormProps),src/Components/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/Form/index.tsx#L15:41,TypeScript,30,4,1
30 lines of code for unit handleConfirm(),LOW,RAW,2026-07-30,5,handleConfirm(),src/Components/Voorbereiding/DrawingTool/Step1/ConfirmButton.tsx#L20:55,TypeScript,30,5,0
30 lines of code for unit fileDownload.ts,LOW,RAW,2026-06-04,61,fileDownload.ts,backend/src/routes/fileDownload.ts#L1:26,TypeScript,30,2,0
30 lines of code for unit index.tsx.Points(any),LOW,RAW,2026-06-04,61,index.tsx.Points(any),src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/index.tsx#L19:59,TypeScript,30,1,1
29 lines of code for unit Section1.tsx.Section1(any),LOW,RAW,2026-06-04,61,Section1.tsx.Section1(any),src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Overig/Section1.tsx#L5:41,TypeScript,29,1,1
29 lines of code for unit index.tsx.Left(any),LOW,RAW,2026-06-04,61,index.tsx.Left(any),src/Components/HomePage/Body/Left/index.tsx#L32:120,TypeScript,29,1,1
"29 lines of code for unit coordinateFinalize.ts.finalizeCoordinateValues(string,any)",LOW,RAW,2026-07-30,5,"coordinateFinalize.ts.finalizeCoordinateValues(string,any)",src/Components/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/coordinateFinalize.ts#L6:39,TypeScript,29,3,2
"29 lines of code for unit deletePoint.ts.deletePoint(Request,Response)",LOW,RAW,2026-06-04,61,"deletePoint.ts.deletePoint(Request,Response)",backend/src/routes/finished_plans/deletePoint.ts#L7:41,TypeScript,29,5,2
