Name,Status,Rating,Rating (Before),Lines Of Code,Lines Of Code (Before),Co-evolution ratio,Co-evolution ratio (Before)
Otg-lis,recurring,5.5,-,65594,49378,-,-
Remainder,recurring,-,-,345,275,-,-
Root files,recurring,-,-,36,36,-,-
backend,recurring,5.5,-,13695,8126,0,-
scripts,new,-,-,-,-,-,-
src/Components/Common,recurring,-,-,49,49,-,-
src/Components/DashboardPage,recurring,-,-,1320,1005,-,-
src/Components/DevicesUpdatesPage,recurring,-,-,265,234,-,-
src/Components/HomePage,recurring,5.5,-,36697,31245,0,-
src/Components/InstallationsPage,recurring,-,-,192,176,-,-
src/Components/TimesliderItemDetailPage,recurring,-,-,1467,783,-,-
src/Types,recurring,-,-,250,273,-,-
src/api-hooks,recurring,-,-,857,420,-,-
src/api,recurring,-,-,8,8,-,-
src/constants,recurring,-,-,21,45,-,-
src/helpers,recurring,5.5,-,4107,2518,0,-
src/hooks,recurring,5.5,-,6050,3756,0,-
src/lib,recurring,-,-,228,172,-,-
src/utils,recurring,-,-,7,236,-,-
public,removed,-,-,-,21,-,-
