Name,Status,Rating,Rating (Before),Lines Of Code,Lines Of Code (Before),Direct files,Direct files (Before),Subcomponents,Subcomponents (Before)
Otg-lis,recurring,3.5,4.37,65594,49378,-,-,-,-
Remainder,recurring,4.21,4.5,345,275,5,3,0,0
Root files,recurring,4.21,4.21,36,36,5,5,0,0
backend,recurring,3.35,3.69,13695,8126,9,6,8,6
scripts,new,5.5,-,-,-,1,-,0,-
src/Components/Common,recurring,5.5,5.5,49,49,2,2,0,0
src/Components/DashboardPage,recurring,4.13,5,1320,1005,3,3,7,7
src/Components/DevicesUpdatesPage,recurring,4.5,5.5,265,234,3,1,0,0
src/Components/HomePage,recurring,3.75,4.65,36697,31245,1,1,3,3
src/Components/InstallationsPage,recurring,5.5,5.5,192,176,2,1,0,0
src/Components/TimesliderItemDetailPage,recurring,2.85,4.72,1467,783,24,2,2,2
src/Types,recurring,3.93,4.07,250,273,7,6,0,0
src/api-hooks,recurring,3.98,3.84,857,420,2,1,10,7
src/api,recurring,5.5,5.5,8,8,1,1,0,0
src/constants,recurring,4.21,4.5,21,45,5,3,0,0
src/helpers,recurring,2.32,3.32,4107,2518,10,9,10,7
src/hooks,recurring,2.94,3.9,6050,3756,9,7,20,16
src/lib,recurring,3.82,4.21,228,172,8,5,2,0
src/utils,recurring,4.68,4.36,7,236,4,4,2,0
public,removed,-,5.5,-,21,-,1,-,0
