Name,Status,Rating,Rating (Before),Lines Of Code,Lines Of Code (Before),Communicating code,Communicating code (Before)
Otg-lis,recurring,3.81,3.11,65594,49378,38.51,64.48
Remainder,recurring,5.5,5.5,345,275,0,0
Root files,recurring,5.5,5.5,36,36,0,0
SQL database,recurring,-,-,-,-,-,-
backend,recurring,4.16,3.68,13695,8126,10.56,37.37
scripts,new,5.5,-,-,-,0,-
src/Components/Common,recurring,5.5,5.5,49,49,0,0
src/Components/DashboardPage,recurring,5.46,5.46,1320,1005,0,0
src/Components/DevicesUpdatesPage,recurring,4.27,0.5,265,234,16.98,100
src/Components/HomePage,recurring,3.6,2.85,36697,31245,50.07,74.45
src/Components/InstallationsPage,recurring,5.5,5.5,192,176,0,0
src/Components/TimesliderItemDetailPage,recurring,4.17,3.62,1467,783,22.15,50.57
src/Types,recurring,5.5,5.5,250,273,0,0
src/api-hooks,recurring,3.21,2.78,857,420,65.11,78.33
src/api,recurring,0.5,0.5,8,8,100,100
src/constants,recurring,5.5,5.5,21,45,0,0
src/helpers,recurring,3.73,3.16,4107,2518,44.07,65.53
src/hooks,recurring,3.72,3.02,6050,3756,44.12,68.82
src/lib,recurring,4.4,3.47,228,172,10.53,57.56
src/utils,recurring,5.5,0.5,7,236,0,100
public,removed,-,5.5,-,21,-,0
