Name,Status,Rating,Rating (Before),Lines Of Code,Lines Of Code (Before),Cohesion,Cohesion (Before)
Otg-lis,recurring,4.01,3.57,65594,49378,-,-
Remainder,recurring,5.5,5.5,345,275,100,100
Root files,recurring,5.5,5.5,36,36,100,100
SQL database,recurring,-,-,-,-,-,-
backend,recurring,4.26,4.07,13695,8126,96.12,91.73
scripts,new,5.5,-,-,-,100,-
src/Components/Common,recurring,5.5,5.5,49,49,100,100
src/Components/DashboardPage,recurring,5.47,5.48,1320,1005,100,100
src/Components/DevicesUpdatesPage,recurring,4.38,3.66,265,234,95,75
src/Components/HomePage,recurring,4,3.56,36697,31245,84.64,73.08
src/Components/InstallationsPage,recurring,5.5,5.5,192,176,100,100
src/Components/TimesliderItemDetailPage,recurring,4.38,3.72,1467,783,94.93,76.67
src/Types,recurring,5.5,5.5,250,273,100,100
src/api-hooks,recurring,3.19,3.3,857,420,61.02,64.46
src/api,recurring,1.85,1.65,8,8,18.75,12.5
src/constants,recurring,5.5,5.5,21,45,100,100
src/helpers,recurring,3.55,2.69,4107,2518,71.87,44.69
src/hooks,recurring,3.29,2.34,6050,3756,63.1,33.02
src/lib,recurring,4.17,3.79,228,172,89.13,78.57
src/utils,recurring,5.5,1.69,7,236,100,13.85
public,removed,-,5.5,-,21,-,100
