Name,Status,Rating,Rating (Before),Lines Of Code,Lines Of Code (Before),External dependencies,External dependencies (Before),Incoming dependencies,Incoming dependencies (Before),Outgoing dependencies,Outgoing dependencies (Before)
Otg-lis,recurring,3.32,3.36,65594,49378,-,-,0,0,0,0
Remainder,recurring,5.5,5.5,345,275,0,0,0,0,0,0
Root files,recurring,5.5,5.5,36,36,0,0,0,0,0,0
backend,recurring,4.32,4.39,13695,8126,5,5,5,5,0,0
scripts,new,5.5,-,-,-,0,-,0,0,0,0
src/Components/Common,recurring,5.5,5.5,49,49,0,0,0,0,0,0
src/Components/DashboardPage,recurring,5.49,5.5,1320,1005,0,0,0,0,0,0
src/Components/DevicesUpdatesPage,recurring,5.5,5.5,265,234,1,1,0,0,1,1
src/Components/HomePage,recurring,2.91,3.02,36697,31245,687,648,0,5,687,643
src/Components/InstallationsPage,recurring,5.5,5.5,192,176,0,0,0,0,0,0
src/Components/TimesliderItemDetailPage,recurring,4.48,4.48,1467,783,7,7,0,0,7,7
src/Types,recurring,5.5,5.5,250,273,0,0,0,0,0,0
src/api-hooks,recurring,3.41,3.78,857,420,99,59,81,34,18,25
src/api,recurring,4.39,4.28,8,8,13,21,13,21,0,0
src/constants,recurring,5.5,5.5,21,45,0,0,0,0,0,0
src/helpers,recurring,2.92,3.08,4107,2518,211,177,207,174,4,3
src/hooks,recurring,2.55,2.53,6050,3756,500,501,453,444,47,57
src/lib,recurring,4.5,5,228,172,5,3,5,3,0,0
src/utils,recurring,5.5,3.81,7,236,0,56,0,53,0,3
public,removed,-,5.5,-,21,-,0,0,0,0,0
