Source,Target,Type,Description,Status,Count,Count (Before),Undesirable
backend/scripts/runAdditionalFlightPlanRegioChecks.ts,flightplans,Data access,Embedded SQL query,new,1,,
backend/src/helpers/entities/entityDeleteHelpers.ts,flightplans,Data access,Embedded SQL query,new,2,,
backend/src/helpers/entities/entityDeleteHelpers.ts,geometries,Data access,Embedded SQL query,new,1,,
backend/src/helpers/entities/entityDeleteHelpers.ts,points,Data access,Embedded SQL query,new,1,,
backend/src/helpers/finished-plans/createFinishedPlanDb.ts,attachments,Data access,Embedded SQL query,new,1,,
backend/src/helpers/finished-plans/createFinishedPlanDb.ts,finished_plans,Data access,Embedded SQL query,new,2,,
backend/src/helpers/finished-plans/createFinishedPlanDb.ts,finished_plans_path,Data access,Embedded SQL query,new,1,,
backend/src/helpers/finished-plans/createFinishedPlanDb.ts,flightplans,Data access,Embedded SQL query,new,2,,
backend/src/helpers/finished-plans/createFinishedPlanDb.ts,points,Data access,Embedded SQL query,new,2,,
backend/src/helpers/points/createPointFromImportDb.ts,points,Data access,Embedded SQL query,new,2,,
backend/src/helpers/queries/finished-plans/fetchAttachmentsForPlanPoint.ts,attachments,Data access,Embedded SQL query,new,1,,
backend/src/helpers/queries/finished-plans/fetchAttachmentsForPlanPoint.ts,finished_plans,Data access,Embedded SQL query,new,1,,
backend/src/helpers/queries/finished-plans/singleFinishedPlanCtes.ts,finished_plans,Data access,Embedded SQL query,new,1,,
backend/src/helpers/queries/finished-plans/updateFinishedPointAttachmentsTx.ts,attachments,Data access,Embedded SQL query,new,1,,
backend/src/helpers/queries/finished-plans/updateFinishedPointAttachmentsTx.ts,finished_plans,Data access,Embedded SQL query,new,2,,
backend/src/helpers/queries/flight-plans/deleteFinishedFlightPlan.ts,attachments,Data access,Embedded SQL query,new,1,,
backend/src/helpers/queries/flight-plans/deleteFinishedFlightPlan.ts,finished_plans,Data access,Embedded SQL query,new,2,,
backend/src/helpers/queries/flight-plans/deleteFinishedFlightPlan.ts,finished_plans_path,Data access,Embedded SQL query,new,1,,
backend/src/helpers/queries/flight-plans/deleteFinishedFlightPlan.ts,flightplans,Data access,Embedded SQL query,new,1,,
backend/src/helpers/queries/flight-plans/flightPlanFieldSql.ts,flightplans,Data access,Embedded SQL query,new,2,,
backend/src/helpers/queries/geometries/createGeometryInsert.ts,geometries,Data access,Embedded SQL query,new,1,,
backend/src/helpers/queries/geometries/geometryRouteHelpers.ts,geometries,Data access,Embedded SQL query,new,1,,
