Name,Status,Rating,Rating (Before),Lines Of Code,Lines Of Code (Before)
Otg-lis,recurring,3.5,0.83,65594,49378
Remainder,recurring,-,-,345,275
Root files,recurring,-,-,36,36
SQL database,recurring,3.5,0.83,-,-
backend,recurring,-,-,13695,8126
scripts,new,-,-,-,-
src/Components/Common,recurring,-,-,49,49
src/Components/DashboardPage,recurring,-,-,1320,1005
src/Components/DevicesUpdatesPage,recurring,-,-,265,234
src/Components/HomePage,recurring,-,-,36697,31245
src/Components/InstallationsPage,recurring,-,-,192,176
src/Components/TimesliderItemDetailPage,recurring,-,-,1467,783
src/Types,recurring,-,-,250,273
src/api-hooks,recurring,-,-,857,420
src/api,recurring,-,-,8,8
src/constants,recurring,-,-,21,45
src/helpers,recurring,-,-,4107,2518
src/hooks,recurring,-,-,6050,3756
src/lib,recurring,-,-,228,172
src/utils,recurring,-,-,7,236
public,removed,-,-,-,21
