Source,Target,Type,Description,Status,Count,Count (Before),Undesirable
src/Components/DevicesUpdatesPage/devicesUpdatesApi.ts,/devices/:id/reset,Interface call,URI reference,new,1,,
src/helpers/arcgis/attachmentDisplayUrl.ts,/api/arcgis/proxy,Interface call,URI reference,new,1,,
src/helpers/arcgis/deleteAttachmentsRequest.ts,/api/arcgis/proxy,Interface call,URI reference,new,1,,
src/helpers/refreshToken.ts,/api/arcgis/proxy,Interface call,interface_rest_call_to_endpoint,recurring,1,1,
src/helpers/tokens/configureArcGisProxy.ts,/api/arcgis/proxy,Interface call,interface_rest_call_to_endpoint,new,1,,
src/Components/DevicesUpdatesPage/index.tsx,/devices/:id/reset,Interface call,URI reference,removed,0,1,
src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/attachmentDisplayUrl.ts,/api/arcgis/proxy,Interface call,URI reference,removed,0,1,
src/helpers/arcgis/deleteArcgisAttachment.ts,/api/arcgis/proxy,Interface call,URI reference,removed,0,1,
src/helpers/tokens/ArcGISUserToken.ts,/api/arcgis/proxy,Interface call,interface_rest_call_to_endpoint,removed,0,1,
src/Components/TimesliderItemDetailPage/sections/MainImageSection.tsx,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/attachmentDisplayUrl.ts,Code call,typescript.call,removed,0,1,
src/Components/TimesliderItemDetailPage/useTimesliderImagePageData.ts,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/attachmentDisplayUrl.ts,Code call,typescript.call,removed,0,1,
src/Components/TimesliderItemDetailPage/useTimesliderImagePageData.ts,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/pointPlanImagesToAttachments.ts,Code call,typescript.call,removed,0,1,
src/Components/TimesliderItemDetailPage/useTimesliderImagePageData.ts,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/useGeometryPlanImages.ts,Code call,typescript.call,removed,0,1,
src/Components/TimesliderItemDetailPage/useTimesliderImagePageData.ts,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/usePointPlanImages.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Bottom/ClickedPointFunctions.tsx,src/api-hooks/mutations/useDeleteDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PlansList.tsx,src/api-hooks/mutations/useDeleteDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlanDetails/DropDown.tsx,src/api-hooks/mutations/useDeleteDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/AddPoint/Step2/Buttons.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Common/SearchedResultsTab/index.tsx,src/api-hooks/flightPlans/useFlightPlanLookupQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Common/SearchedResultsTab/index.tsx,src/api-hooks/points/usePointLookupQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Nabewerking/ChangeFlightPlanStatus/ConfirmModal.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Nabewerking/ChangeFlightPlanStatus/index.tsx,src/api-hooks/flightPlans/useRegionalFlightPlanQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/index.tsx,src/api-hooks/finishedPlans/useFinishedPlanQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Nabewerking/CreateReport/index.tsx,src/api-hooks/finishedPlans/useFinishedPlanQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/index.tsx,src/api-hooks/finishedPlans/useFinishedPlanQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/ChangePoint/index.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/DeletePoint/index.tsx,src/api-hooks/mutations/useDeleteDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/useEditPointCoordinateSubmit.ts,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/Form/index.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/useCreateImageBtnModel.ts,src/api-hooks/mutations/useCreateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/useCreateImageBtnModel.ts,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/useFotoPanelModel.ts,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/index.tsx,src/api-hooks/finishedPlans/useFinishedPlanQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/AddToPlan/StepNo/Buttons.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/AddToPlan/StepNo/index.tsx,src/api-hooks/flightPlans/useRegionalFlightPlanQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/DeletePoint/index.tsx,src/api-hooks/mutations/useDeleteDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/useDeletePointDetailsSubmit.ts,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/Main/Buttons.tsx,src/api-hooks/mutations/useDeleteDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/ViewPlans/index.tsx,src/api-hooks/flightPlans/useFlightPlanLookupQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/useEditFormController.ts,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/EditGeometry/useEditGeometryMutations.ts,src/api-hooks/mutations/useDeleteDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/EditGeometry/useEditGeometryMutations.ts,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/Emailijst/AddEmail/index.tsx,src/api-hooks/mutations/useCreateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/Emailijst/DeleteEmail/index.tsx,src/api-hooks/mutations/useDeleteDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/Emailijst/EditEmail/index.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/Emailijst/index.tsx,src/api-hooks/emails/useEmailsList.ts,Code call,typescript.call,recurring,1,1,
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step1/index.tsx,src/api-hooks/flightPlans/useRegionalFlightPlanQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step3/Buttons.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
