Name,Architecture,Structure,Evolution,Communication,Data access,Knowledge,Code breakdown,Component coupling,Component adjacency,Component cohesion,Communication centralization,Data coupling,Bounded evolution,Knowledge awareness,Component freshness,Team stability
Otg-lis,3.98,3.49,4.25,3.72,3.37,5.4,3.5,3.32,2.9,4.01,3.81,3.5,5.5,5.43,5.36,-
CONTAINER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Remainder,5.28,5.21,5.15,5.5,5.5,5.08,4.21,5.5,5.5,5.5,5.5,-,-,5.5,4.69,-
Root files,5.2,5.21,5.15,5.5,5.5,4.67,4.21,5.5,5.5,5.5,5.5,-,-,5.5,3.96,-
SQL database,3.5,-,-,3.5,3.5,-,-,-,-,-,-,3.5,-,-,-,-
backend,4.47,3.99,4.5,4.44,4.13,5.45,3.35,4.32,3.92,4.26,4.16,-,5.5,5.46,5.44,-
scripts,3.02,5.5,3.02,5.5,5.5,0.5,5.5,5.5,5.5,5.5,5.5,-,-,0.5,-,-
src/Components/Common,3.02,5.5,3.02,5.5,5.5,0.5,5.5,5.5,5.5,5.5,5.5,-,-,0.5,0.5,-
src/Components/DashboardPage,5.34,5.18,5.11,5.48,5.48,5.48,4.13,5.49,5.49,5.47,5.46,-,-,5.49,5.48,-
src/Components/DevicesUpdatesPage,2.78,4.8,2.71,5.06,5.06,0.5,4.5,5.5,5.5,4.38,4.27,-,-,0.5,0.5,-
src/Components/HomePage,3.82,3.35,4.2,3.52,3.04,5.42,3.75,2.91,2.66,4,3.6,-,5.5,5.47,5.37,-
src/Components/InstallationsPage,3.02,5.5,3.02,5.5,5.5,0.5,5.5,5.5,5.5,5.5,5.5,-,-,0.5,0.5,-
src/Components/TimesliderItemDetailPage,4.39,3.94,4.19,4.24,4.24,5.5,2.85,4.48,4.08,4.38,4.17,-,-,5.5,5.49,-
src/Types,5.21,5.14,5.06,5.5,5.5,4.87,3.93,5.5,5.5,5.5,5.5,-,-,5.5,4.32,-
src/api-hooks,3.47,3.06,3.93,2.77,2.77,5.49,3.98,3.41,1.93,3.19,3.21,-,-,5.49,5.49,-
src/api,1.61,2.43,2.17,2.03,2.03,0.5,5.5,4.39,3.79,1.85,0.5,-,-,0.5,0.5,-
src/constants,5.37,5.21,5.15,5.5,5.5,5.5,4.21,5.5,5.5,5.5,5.5,-,-,5.5,5.5,-
src/helpers,3.49,2.8,3.74,3.27,2.75,5.5,2.32,2.92,1.91,3.55,3.73,-,5.5,5.5,5.5,-
src/hooks,3.3,2.67,3.75,2.96,2.41,5.48,2.94,2.55,1.48,3.29,3.72,-,5.5,5.49,5.48,-
src/lib,4.56,4.22,4.46,4.37,4.37,5.5,3.82,4.5,4.22,4.17,4.4,-,-,5.5,5.5,-
src/utils,5.25,5.33,5.28,5.5,5.5,4.68,4.68,5.5,5.5,5.5,5.5,-,-,5.5,3.98,-
public,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
