Name,Status,Rating,Rating (Before),Lines Of Code,Lines Of Code (Before),Churn,Churn (Before),Total authors,Total authors (Before),Team stability,Team stability (Before)
Otg-lis,recurring,-,-,65594,49378,36893,13260,1,1,-,-
Remainder,recurring,-,-,345,275,101,7,1,1,-,-
Root files,recurring,-,-,36,36,5,12,1,1,-,-
backend,recurring,-,-,13695,8126,7941,5154,1,1,-,-
scripts,new,-,-,-,-,0,-,0,-,-,-
src/Components/Common,recurring,-,-,49,49,0,0,0,0,-,-
src/Components/DashboardPage,recurring,-,-,1320,1005,760,0,1,0,-,-
src/Components/DevicesUpdatesPage,recurring,-,-,265,234,0,316,0,1,-,-
src/Components/HomePage,recurring,-,-,36697,31245,18757,4876,1,1,-,-
src/Components/InstallationsPage,recurring,-,-,192,176,0,1,0,1,-,-
src/Components/TimesliderItemDetailPage,recurring,-,-,1467,783,1051,0,1,0,-,-
src/Types,recurring,-,-,250,273,52,66,1,1,-,-
src/api-hooks,recurring,-,-,857,420,481,477,1,1,-,-
src/api,recurring,-,-,8,8,0,9,0,1,-,-
src/constants,recurring,-,-,21,45,17,4,1,1,-,-
src/helpers,recurring,-,-,4107,2518,3536,851,1,1,-,-
src/hooks,recurring,-,-,6050,3756,4038,1114,1,1,-,-
src/lib,recurring,-,-,228,172,153,217,1,1,-,-
src/utils,recurring,-,-,7,236,1,156,1,1,-,-
public,removed,-,-,-,21,-,0,-,0,-,-
