Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,22,11,11,2,false,false,TypeScript,"src/Types/keycloakUser.ts#L1:11,backend/src/routes/keycloak/management/users/types.ts#L1:11"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,3,9,9,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/pointCoordinateUpdateContext.ts#L23:31,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/useEditPointCoordinateSubmit.ts#L27:35"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,3,9,9,2,false,false,TypeScript,"backend/src/helpers/queries/flight-plans/flightPlanFields.ts#L3:11,src/hooks/flightPlan/pickFlightPlanPersistenceFields.ts#L5:13"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,22,8,8,2,false,false,TypeScript,"src/Types/devices.ts#L10:17,backend/src/routes/devices-updates/types.ts#L14:21"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,22,8,8,2,false,false,TypeScript,"src/Types/devices.ts#L1:8,backend/src/routes/devices-updates/types.ts#L1:8"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,3,8,8,2,false,false,TypeScript,"backend/src/helpers/queries/points/pointCoreColumns.ts#L3:10,src/helpers/points/pointCoreIdentityKeys.ts#L1:8"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,3,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/index.tsx#L19:26,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/hooks/useFilterAndSortPlans.ts#L15:22"
8 lines occurring 2 times,HIGH,RAW,2026-07-18,3,8,8,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/legendSectionLayoutProps.ts#L7:14,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/legendSectionLayoutProps.ts#L22:29"
6 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-21,0,6,12,3,false,false,TypeScript,"backend/src/helpers/queries/points/pointCoreColumns.ts#L4:9,src/helpers/points/pointCoreIdentityKeys.ts#L2:7,src/Components/HomePage/Body/Left/Common/PointDetailsFieldsList.tsx#L4:9"
6 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-21,0,6,12,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/Buttons.tsx#L35:40,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step2/Buttons.tsx#L37:42,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/Buttons.tsx#L47:52"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,3,6,6,2,false,true,TypeScript,"backend/src/routes/geometries/createGeometryHelpers.ts#L49:54,backend/src/routes/finished_plans/updateFinishedPointAttachmentsHelpers.ts#L68:73"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,3,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/Buttons.tsx#L16:22,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step2/Buttons.tsx#L18:24"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,3,6,6,2,false,false,Angular Templates,"index.html#L6:11,public/index.html#L6:11"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,3,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L97:103,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/List.tsx#L47:53"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-21,0,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/handleDeletePointEmptyMapClick.ts#L7:12,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/useDeletePointMapClick.ts#L6:11"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,3,7,7,2,false,true,TypeScript,"src/Components/DashboardPage/EditUser/buildEditUserFormHandlers.ts#L13:19,src/Components/DashboardPage/ResetPassword/buildResetPasswordHandlers.ts#L14:20"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,3,6,6,2,false,false,TypeScript,"backend/src/helpers/queries/geometries/createGeometryInsert.ts#L4:9,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/pickDrawingGeometryFormFields.ts#L3:8"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,17,7,7,2,false,false,TypeScript,"src/Types/installer.ts#L1:7,backend/src/routes/installersStorage.ts#L4:10"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,3,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/ViewPlans/PlanInformation.tsx#L5:10,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/ViewPlans/PlanInformation.tsx#L7:12"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-21,0,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepNo/Buttons.tsx#L8:14,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepMultiplePoints/Buttons.tsx#L8:14"
