ID,Path,Component,Lines of code,Duplication percentage,Start line,End line
a59c794c-e965-422d-82ec-13d7b0ff0130,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/Foto/index.tsx,HomePage,72,38.91892,99,209
a59c794c-e965-422d-82ec-13d7b0ff0130,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Foto/index.tsx,HomePage,72,37.5,103,213
1268a488-e056-40c8-b1e6-585bd2c35a21,backend/src/routes/finished_plans/createFinishedPlan.ts,backend,12,5.633803,118,129
1268a488-e056-40c8-b1e6-585bd2c35a21,backend/src/routes/geometries/createGeometry.ts,backend,12,12.631579,62,73
1268a488-e056-40c8-b1e6-585bd2c35a21,backend/src/routes/points/createPoint.ts,backend,12,16.90141,6,17
1268a488-e056-40c8-b1e6-585bd2c35a21,backend/src/routes/points/createPoint.ts,backend,12,16.90141,33,44
1268a488-e056-40c8-b1e6-585bd2c35a21,backend/src/routes/points/createPoint.ts,backend,12,16.90141,54,65
1268a488-e056-40c8-b1e6-585bd2c35a21,backend/src/routes/points/editPoint.ts,backend,12,17.142857,6,17
1268a488-e056-40c8-b1e6-585bd2c35a21,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/index.tsx,HomePage,12,17.142857,26,37
ef303d09-272a-446e-a530-27896da78330,backend/src/routes/flightPlans/getPrepreparedFlightPlans.ts,backend,17,29.310345,28,45
ef303d09-272a-446e-a530-27896da78330,backend/src/routes/points/getPrePreparedPlanPoints.ts,backend,17,44.736843,14,31
ef303d09-272a-446e-a530-27896da78330,backend/src/routes/flightPlans/getSearchedFlightPlans.ts,backend,17,28.333334,34,51
ef303d09-272a-446e-a530-27896da78330,backend/src/routes/points/getSearchedPoints.ts,backend,17,44.736843,14,31
986b59a5-f597-46f1-906f-93ed5356b044,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/Foto/useUploadAttachmentForPoint.ts,HomePage,47,100,4,82
