Description,Severity,Status,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
72 lines occurring 2 times in 2 files,HIGH,RAW,2,72,72,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/Foto/index.tsx#L99:209,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Foto/index.tsx#L103:213"
12 lines occurring 7 times in 5 files,HIGH,RAW,1,12,72,7,false,false,TypeScript,"backend/src/routes/finished_plans/createFinishedPlan.ts#L118:129,backend/src/routes/geometries/createGeometry.ts#L62:73,backend/src/routes/points/createPoint.ts#L6:17,backend/src/routes/points/createPoint.ts#L33:44,backend/src/routes/points/createPoint.ts#L54:65,backend/src/routes/points/editPoint.ts#L6:17,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/index.tsx#L26:37"
17 lines occurring 4 times in 4 files,HIGH,RAW,1,17,51,4,false,true,TypeScript,"backend/src/routes/flightPlans/getPrepreparedFlightPlans.ts#L28:45,backend/src/routes/points/getPrePreparedPlanPoints.ts#L14:31,backend/src/routes/flightPlans/getSearchedFlightPlans.ts#L34:51,backend/src/routes/points/getSearchedPoints.ts#L14:31"
47 lines occurring 2 times in 2 files,HIGH,RAW,2,47,47,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/Foto/useUploadAttachmentForPoint.ts#L4:82,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Foto/useUploadAttachmentForPoint.ts#L4:82"
44 lines occurring 2 times in 2 files,HIGH,RAW,2,44,44,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/SingleGeometry.tsx#L23:90,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/hooks/useGeometryHandlers.ts#L15:81"
43 lines occurring 2 times in 2 files,HIGH,RAW,2,43,43,2,false,false,TypeScript,"backend/src/Types/finished_plans.ts#L1:46,src/Types/finished_plans.ts#L1:46"
21 lines occurring 3 times in 3 files,HIGH,RAW,1,21,42,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/ClickedPlan.tsx#L18:48,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlanDetails/DropDown.tsx#L36:66,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PlansList.tsx#L36:66"
14 lines occurring 4 times in 4 files,HIGH,RAW,1,14,42,4,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx#L81:100,src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L98:117,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/List.tsx#L121:140,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts#L171:190"
40 lines occurring 2 times,HIGH,RAW,2,40,40,2,true,true,TypeScript,"src/hooks/zustand/useReuseFlightPlan.ts#L69:127,src/hooks/zustand/useReuseFlightPlan.ts#L131:189"
10 lines occurring 5 times in 4 files,HIGH,RAW,1,10,40,5,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Buttons.tsx#L45:54,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/index.tsx#L20:29,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/index.tsx#L27:36,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/index.tsx#L79:88,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step1/index.tsx#L113:122"
9 lines occurring 10 times in 7 files,HIGH,RAW,1,9,81,10,false,false,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L103:116,src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L146:159,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step1/SinglePlan.tsx#L51:64,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/SinglePlan.tsx#L70:83,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx#L92:105,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/SinglePlan.tsx#L129:142,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx#L148:161,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts#L176:189,src/hooks/hover-click-handlers/usePlanClick.ts#L28:41,src/hooks/hover-click-handlers/usePlanHover.ts#L22:35"
18 lines occurring 3 times in 2 files,HIGH,RAW,2,18,36,3,false,true,TypeScript,"src/hooks/zustand/nabewerking/useFinishedPlansState.ts#L103:128,src/hooks/zustand/useReuseFlightPlan.ts#L102:127,src/hooks/zustand/useReuseFlightPlan.ts#L164:189"
12 lines occurring 4 times in 4 files,HIGH,RAW,1,12,36,4,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Buttons.tsx#L41:54,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/index.tsx#L16:29,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/index.tsx#L23:36,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step1/index.tsx#L109:122"
36 lines occurring 2 times,HIGH,RAW,2,36,36,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/flightPlanStates.ts#L63:115,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/flightPlanStates.ts#L119:171"
35 lines occurring 2 times in 2 files,HIGH,RAW,2,35,35,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/Foto/index.tsx#L214:270,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Foto/index.tsx#L218:274"
34 lines occurring 2 times,HIGH,RAW,2,34,34,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/PointsBuffer.tsx#L66:115,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/PointsBuffer.tsx#L145:195"
8 lines occurring 14 times in 10 files,HIGH,RAW,1,8,104,14,false,false,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx#L86:96,src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L103:113,src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L146:156,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/List.tsx#L60:70,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/List.tsx#L126:136,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L49:59,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step1/SinglePlan.tsx#L51:61,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/SinglePlan.tsx#L70:80,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx#L92:102,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/SinglePlan.tsx#L129:139,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx#L148:158,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts#L176:186,src/hooks/hover-click-handlers/usePlanClick.ts#L28:38,src/hooks/hover-click-handlers/usePlanHover.ts#L22:32"
33 lines occurring 2 times in 2 files,HIGH,RAW,2,33,33,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/PointsList.tsx#L28:84,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/PointsList.tsx#L41:97"
11 lines occurring 4 times in 4 files,HIGH,RAW,1,11,33,4,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/PointsTable/index.tsx#L90:105,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/index.tsx#L122:137,src/Components/HomePage/Body/Left/Common/ResultTab/PointsList.tsx#L120:135,src/Components/HomePage/Body/Left/Common/ResultTab/PointsListEdit.tsx#L55:70"
16 lines occurring 3 times in 2 files,HIGH,RAW,2,16,32,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/SinglePlan.tsx#L62:84,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx#L84:106,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/SinglePlan.tsx#L121:143"
32 lines occurring 2 times in 2 files,HIGH,RAW,2,32,32,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/Foto/index.tsx#L38:97,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Foto/index.tsx#L42:101"
16 lines occurring 3 times in 3 files,HIGH,RAW,1,16,32,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/index.tsx#L122:143,src/Components/HomePage/Body/Left/Common/ResultTab/PointsList.tsx#L120:141,src/Components/HomePage/Body/Left/Common/ResultTab/PointsListEdit.tsx#L55:76"
