Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
McCabe complexity of 46 for unit index.tsx.EditPointCoordinates(any),HIGH,RAW,2026-06-04,25,index.tsx.EditPointCoordinates(any),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/index.tsx#L18:240,TypeScript,225,46,1
"McCabe complexity of 26 for unit generatePdfReport.ts.generatePdfReport(PDFPointDataType,ImageData,ImageData,any,any,string)",HIGH,RAW,2026-06-04,25,"generatePdfReport.ts.generatePdfReport(PDFPointDataType,ImageData,ImageData,any,any,string)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/generatePdfReport.ts#L34:72,TypeScript,205,26,6
McCabe complexity of 54 for unit index.tsx.SelectFromSource(any),HIGH,RAW,2026-06-04,25,index.tsx.SelectFromSource(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx#L42:332,TypeScript,200,54,1
"McCabe complexity of 72 for unit createFinishedPlan.ts.createFinishedPlan(Request,Response)",HIGH,RAW,2026-06-04,25,"createFinishedPlan.ts.createFinishedPlan(Request,Response)",backend/src/routes/finished_plans/createFinishedPlan.ts#L14:214,TypeScript,174,72,2
"McCabe complexity of 37 for unit createPointFromImport.ts.createPointFromImport(Request,Response)",HIGH,RAW,2026-06-04,25,"createPointFromImport.ts.createPointFromImport(Request,Response)",backend/src/routes/points/createPointFromImport.ts#L7:39,TypeScript,166,37,2
McCabe complexity of 37 for unit MapComp.tsx.MapComp(any),HIGH,RAW,2026-06-04,25,MapComp.tsx.MapComp(any),src/Components/HomePage/Body/MapViewComp/MapComp.tsx#L17:94,TypeScript,153,37,1
McCabe complexity of 39 for unit onload(any),HIGH,RAW,2026-06-04,25,onload(any),src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/ImportVluchtPlan.tsx#L65:229,TypeScript,140,39,1
McCabe complexity of 46 for unit useTimesliderImagePageData.ts.useTimesliderImagePageData(),HIGH,RAW,2026-06-04,25,useTimesliderImagePageData.ts.useTimesliderImagePageData(),src/Components/TimesliderItemDetailPage/useTimesliderImagePageData.ts#L61:245,TypeScript,96,46,0
McCabe complexity of 29 for unit GeometriesList.tsx.GeometriesList(any),HIGH,RAW,2026-06-04,25,GeometriesList.tsx.GeometriesList(any),src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/GeometriesList.tsx#L113:192,TypeScript,94,29,1
McCabe complexity of 45 for unit index.tsx.TimesliderItemDetailPage(),HIGH,RAW,2026-06-04,25,index.tsx.TimesliderItemDetailPage(),src/Components/TimesliderItemDetailPage/index.tsx#L12:41,TypeScript,73,45,0
