Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
385 lines of code for unit nnederlandLayers.tsx,HIGH,RAW,2026-06-10,20,nnederlandLayers.tsx,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayers.tsx#L1:427,TypeScript,385,1,0
225 lines of code for unit index.tsx.EditPointCoordinates(any),HIGH,RAW,2026-06-04,26,index.tsx.EditPointCoordinates(any),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/index.tsx#L18:240,TypeScript,225,46,1
"205 lines of code for unit generatePdfReport.ts.generatePdfReport(PDFPointDataType,ImageData,ImageData,any,any,string)",HIGH,RAW,2026-06-04,26,"generatePdfReport.ts.generatePdfReport(PDFPointDataType,ImageData,ImageData,any,any,string)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/generatePdfReport.ts#L34:72,TypeScript,205,26,6
200 lines of code for unit index.tsx.SelectFromSource(any),HIGH,RAW,2026-06-04,26,index.tsx.SelectFromSource(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx#L42:332,TypeScript,200,54,1
187 lines of code for unit verify-regio-apis.ts.testDatabaseQueries(),HIGH,RAW,2026-06-10,20,verify-regio-apis.ts.testDatabaseQueries(),backend/scripts/verify-regio-apis.ts#L222:441,TypeScript,187,13,0
153 lines of code for unit MapComp.tsx.MapComp(any),HIGH,RAW,2026-06-04,26,MapComp.tsx.MapComp(any),src/Components/HomePage/Body/MapViewComp/MapComp.tsx#L17:94,TypeScript,153,37,1
147 lines of code for unit constants.ts,HIGH,RAW,2026-06-04,26,constants.ts,src/Components/HomePage/Head/constants.ts#L1:201,TypeScript,147,1,0
140 lines of code for unit onload(any),HIGH,RAW,2026-06-04,26,onload(any),src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/ImportVluchtPlan.tsx#L65:229,TypeScript,140,39,1
132 lines of code for unit handleSubmit(),HIGH,RAW,2026-06-04,26,handleSubmit(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/index.tsx#L241:401,TypeScript,132,12,0
119 lines of code for unit Step2Sub1.tsx.Step2Sub1(any),HIGH,RAW,2026-06-04,26,Step2Sub1.tsx.Step2Sub1(any),src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L11:168,TypeScript,119,14,1
110 lines of code for unit processGeometry.ts.processGeometry(ProcessGeometryParams),HIGH,RAW,2026-06-04,26,processGeometry.ts.processGeometry(ProcessGeometryParams),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/processGeometry.ts#L14:36,TypeScript,110,16,1
"108 lines of code for unit updateGeometry.ts.updateGeometry(Request,Response)",HIGH,RAW,2026-06-04,26,"updateGeometry.ts.updateGeometry(Request,Response)",backend/src/routes/geometries/updateGeometry.ts#L11:135,TypeScript,108,12,2
105 lines of code for unit processPoint.ts.processPoint(ProcessPointParams),HIGH,RAW,2026-06-04,26,processPoint.ts.processPoint(ProcessPointParams),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/processPoint.ts#L11:128,TypeScript,105,12,1
104 lines of code for unit StepContent.tsx.StepContent(StepContentProps),HIGH,RAW,2026-06-04,26,StepContent.tsx.StepContent(StepContentProps),src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/StepContent.tsx#L28:198,TypeScript,104,14,1
"98 lines of code for unit useImageMarkersOnMap.ts.useImageMarkersOnMap(FinishedPointType|null,AttachmentType[],MapView|null|undefined,GraphicsLayer|null|undefined)",HIGH,RAW,2026-06-06,24,"useImageMarkersOnMap.ts.useImageMarkersOnMap(FinishedPointType|null,AttachmentType[],MapView|null|undefined,GraphicsLayer|null|undefined)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/useImageMarkersOnMap.ts#L10:129,TypeScript,98,10,4
97 lines of code for unit HeadButtonsTimeslider.tsx.HeadButtonsTimeslider(),HIGH,RAW,2026-06-04,26,HeadButtonsTimeslider.tsx.HeadButtonsTimeslider(),src/Components/HomePage/Head/HeadButtonsTimeslider.tsx#L100:179,TypeScript,97,11,0
96 lines of code for unit useTimesliderImagePageData.ts.useTimesliderImagePageData(),HIGH,RAW,2026-06-04,26,useTimesliderImagePageData.ts.useTimesliderImagePageData(),src/Components/TimesliderItemDetailPage/useTimesliderImagePageData.ts#L61:245,TypeScript,96,46,0
94 lines of code for unit GeometriesList.tsx.GeometriesList(any),HIGH,RAW,2026-06-04,26,GeometriesList.tsx.GeometriesList(any),src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/GeometriesList.tsx#L113:192,TypeScript,94,29,1
91 lines of code for unit Step2Sub1.tsx.Step2Sub1(any),HIGH,RAW,2026-06-04,26,Step2Sub1.tsx.Step2Sub1(any),src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L9:151,TypeScript,91,8,1
"90 lines of code for unit deleteFlightPlan.ts.deleteFlightPlan(Request,Response)",HIGH,RAW,2026-06-04,26,"deleteFlightPlan.ts.deleteFlightPlan(Request,Response)",backend/src/routes/flightPlans/deleteFlightPlan.ts#L5:122,TypeScript,90,14,2
"90 lines of code for unit flightPlansYellowHighlights.ts.drawSelectedPlansYellowHighlights(__esri.GraphicsLayer,FinishedFlightPlanType[],number[])",HIGH,RAW,2026-06-04,26,"flightPlansYellowHighlights.ts.drawSelectedPlansYellowHighlights(__esri.GraphicsLayer,FinishedFlightPlanType[],number[])",src/helpers/timeslider/flightPlansYellowHighlights.ts#L32:136,TypeScript,90,14,3
88 lines of code for unit index.tsx.PointsView(PointsViewProps),HIGH,RAW,2026-06-04,26,index.tsx.PointsView(PointsViewProps),src/Components/HomePage/Body/Bottom/PointsView/index.tsx#L31:207,TypeScript,88,3,1
