ID,Path,Component,Lines of code,Duplication percentage,Start line,End line
5699a906-4836-4bf1-9898-eb56c4835d53,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx,HomePage,10,21.276596,24,33
5699a906-4836-4bf1-9898-eb56c4835d53,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx,HomePage,10,10.3092785,43,52
5699a906-4836-4bf1-9898-eb56c4835d53,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx,HomePage,10,21.276596,44,53
5699a906-4836-4bf1-9898-eb56c4835d53,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/Buttons.tsx,HomePage,10,16.666666,57,66
5699a906-4836-4bf1-9898-eb56c4835d53,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Buttons.tsx,HomePage,10,12.658228,58,67
5699a906-4836-4bf1-9898-eb56c4835d53,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx,HomePage,10,10.3092785,89,98
5699a906-4836-4bf1-9898-eb56c4835d53,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx,HomePage,10,18.867924,94,103
cda04093-2339-4dd1-951c-9bff72ba3495,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx,HomePage,9,14.754098,18,26
cda04093-2339-4dd1-951c-9bff72ba3495,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/Buttons.tsx,HomePage,9,15,24,32
cda04093-2339-4dd1-951c-9bff72ba3495,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx,HomePage,9,19.148935,25,33
cda04093-2339-4dd1-951c-9bff72ba3495,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Buttons.tsx,HomePage,9,11.3924055,29,37
cda04093-2339-4dd1-951c-9bff72ba3495,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx,HomePage,9,14.754098,38,46
cda04093-2339-4dd1-951c-9bff72ba3495,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx,HomePage,9,9.278351,44,52
