Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"6 parameters for unit mapImage.ts.getStaticMapImage(number,number,number,number,number,string)",MEDIUM,RAW,2026-06-04,30,"mapImage.ts.getStaticMapImage(number,number,number,number,number,string)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/mapImage.ts#L37:76,TypeScript,29,2,6
"5 parameters for unit bufferGraphics.ts.bufferPointsOnLayer(EnrichedPointType[],number,any,GraphicsLayer,MapView)",MEDIUM,RAW,2026-06-29,5,"bufferGraphics.ts.bufferPointsOnLayer(EnrichedPointType[],number,any,GraphicsLayer,MapView)",src/helpers/ArcGISHelpers/bufferGraphics.ts#L23:53,TypeScript,23,1,5
"5 parameters for unit useDrawingToolLifecycle.ts.useDrawingToolStep1Lifecycle(MapView|null,string,SketchViewModel|null,void,void)",MEDIUM,RAW,2026-06-10,24,"useDrawingToolLifecycle.ts.useDrawingToolStep1Lifecycle(MapView|null,string,SketchViewModel|null,void,void)",src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/useDrawingToolLifecycle.ts#L36:64,TypeScript,22,2,5
"5 parameters for unit columnDragHandlers.ts.handleDrop(string,string|null,string[],void,void)",MEDIUM,RAW,2026-06-04,30,"columnDragHandlers.ts.handleDrop(string,string|null,string[],void,void)",src/Components/HomePage/Body/Bottom/PointsView/common/functions/columnDragHandlers.ts#L11:26,TypeScript,10,3,5
"5 parameters for unit useFotoMapClickHandler.ts.useFotoMapClickHandler(MapView|null|undefined,GraphicsLayer|null|undefined,AttachmentType[],void,void)",MEDIUM,RAW,2026-06-06,28,"useFotoMapClickHandler.ts.useFotoMapClickHandler(MapView|null|undefined,GraphicsLayer|null|undefined,AttachmentType[],void,void)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/useFotoMapClickHandler.ts#L6:15,TypeScript,9,4,5
"5 parameters for unit attachmentUploadHelpers.ts.buildAttachmentFromUploadResponse(number,number,string,number,number)",MEDIUM,RAW,2026-06-06,28,"attachmentUploadHelpers.ts.buildAttachmentFromUploadResponse(number,number,string,number,number)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/attachmentUploadHelpers.ts#L20:34,TypeScript,9,1,5
"4 parameters for unit useImageMarkersOnMap.ts.useImageMarkersOnMap(FinishedPointType|null,AttachmentType[],MapView|null|undefined,GraphicsLayer|null|undefined)",LOW,RAW,2026-06-06,28,"useImageMarkersOnMap.ts.useImageMarkersOnMap(FinishedPointType|null,AttachmentType[],MapView|null|undefined,GraphicsLayer|null|undefined)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/useImageMarkersOnMap.ts#L10:129,TypeScript,98,10,4
"3 parameters for unit flightPlansYellowHighlights.ts.drawSelectedPlansYellowHighlights(__esri.GraphicsLayer,FinishedFlightPlanType[],number[])",LOW,RAW,2026-06-04,30,"flightPlansYellowHighlights.ts.drawSelectedPlansYellowHighlights(__esri.GraphicsLayer,FinishedFlightPlanType[],number[])",src/helpers/timeslider/flightPlansYellowHighlights.ts#L32:136,TypeScript,90,14,3
"3 parameters for unit updateGeometryPoints.ts.updateGeometryOwnedPoints(PoolClient,number,PointPayload[])",LOW,RAW,2026-07-04,0,"updateGeometryPoints.ts.updateGeometryOwnedPoints(PoolClient,number,PointPayload[])",backend/src/helpers/queries/geometries/updateGeometryPoints.ts#L6:63,TypeScript,48,6,3
"3 parameters for unit navigateToLocation.ts.navigateToLocation(string|null|undefined,MapView|null|undefined,GraphicsLayer|null|undefined)",LOW,RAW,2026-06-06,28,"navigateToLocation.ts.navigateToLocation(string|null|undefined,MapView|null|undefined,GraphicsLayer|null|undefined)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/navigateToLocation.ts#L7:60,TypeScript,42,7,3
"4 parameters for unit selectedPlansPointsList.ts.drawHoverPin(__esri.GraphicsLayer,number,number,number)",LOW,RAW,2026-06-04,30,"selectedPlansPointsList.ts.drawHoverPin(__esri.GraphicsLayer,number,number,number)",src/helpers/timeslider/selectedPlansPointsList.ts#L115:161,TypeScript,39,1,4
