WorkPackageID,Category,Status,Severity,Description,File,Unit,LOC,Complexity,Parameters,FanIn
MAINT-04,Unit size,RAW,HIGH,385 lines of code for unit nnederlandLayers.tsx,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayers.tsx,nnederlandLayers.tsx,385,1,0,
MAINT-02,Unit size,RAW,HIGH,225 lines of code for unit index.tsx.EditPointCoordinates(any),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/index.tsx,index.tsx.EditPointCoordinates(any),225,46,1,
MAINT-02,Unit size,RAW,HIGH,"205 lines of code for unit generatePdfReport.ts.generatePdfReport(PDFPointDataType,ImageData,ImageData,any,any,string)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/generatePdfReport.ts,"generatePdfReport.ts.generatePdfReport(PDFPointDataType,ImageData,ImageData,any,any,string)",205,26,6,
MAINT-03,Unit size,RAW,HIGH,200 lines of code for unit index.tsx.SelectFromSource(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx,index.tsx.SelectFromSource(any),200,54,1,
MAINT-01,Unit size,RAW,HIGH,187 lines of code for unit verify-regio-apis.ts.testDatabaseQueries(),backend/scripts/verify-regio-apis.ts,verify-regio-apis.ts.testDatabaseQueries(),187,13,0,
MAINT-01,Unit size,RAW,HIGH,"174 lines of code for unit createFinishedPlan.ts.createFinishedPlan(Request,Response)",backend/src/routes/finished_plans/createFinishedPlan.ts,"createFinishedPlan.ts.createFinishedPlan(Request,Response)",174,72,2,
MAINT-01,Unit size,RAW,HIGH,"166 lines of code for unit createPointFromImport.ts.createPointFromImport(Request,Response)",backend/src/routes/points/createPointFromImport.ts,"createPointFromImport.ts.createPointFromImport(Request,Response)",166,37,2,
MAINT-04,Unit size,RAW,HIGH,153 lines of code for unit MapComp.tsx.MapComp(any),src/Components/HomePage/Body/MapViewComp/MapComp.tsx,MapComp.tsx.MapComp(any),153,37,1,
MAINT-04,Unit size,RAW,HIGH,147 lines of code for unit constants.ts,src/Components/HomePage/Head/constants.ts,constants.ts,147,1,0,
MAINT-03,Unit size,RAW,HIGH,140 lines of code for unit onload(any),src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/ImportVluchtPlan.tsx,onload(any),140,39,1,
MAINT-02,Unit size,RAW,HIGH,132 lines of code for unit handleSubmit(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/index.tsx,handleSubmit(),132,12,0,
MAINT-08,Unit size,RAW,HIGH,119 lines of code for unit Step2Sub1.tsx.Step2Sub1(any),src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub1.tsx,Step2Sub1.tsx.Step2Sub1(any),119,14,1,
MAINT-02,Unit size,RAW,HIGH,110 lines of code for unit processGeometry.ts.processGeometry(ProcessGeometryParams),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/processGeometry.ts,processGeometry.ts.processGeometry(ProcessGeometryParams),110,16,1,
MAINT-01,Unit size,RAW,HIGH,"108 lines of code for unit updateGeometry.ts.updateGeometry(Request,Response)",backend/src/routes/geometries/updateGeometry.ts,"updateGeometry.ts.updateGeometry(Request,Response)",108,12,2,
MAINT-02,Unit size,RAW,HIGH,105 lines of code for unit processPoint.ts.processPoint(ProcessPointParams),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/processPoint.ts,processPoint.ts.processPoint(ProcessPointParams),105,12,1,
MAINT-03,Unit size,RAW,HIGH,104 lines of code for unit StepContent.tsx.StepContent(StepContentProps),src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/StepContent.tsx,StepContent.tsx.StepContent(StepContentProps),104,14,1,
MAINT-02,Unit size,RAW,HIGH,"98 lines of code for unit useImageMarkersOnMap.ts.useImageMarkersOnMap(FinishedPointType|null,AttachmentType[],MapView|null|undefined,GraphicsLayer|nu",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/useImageMarkersOnMap.ts,"useImageMarkersOnMap.ts.useImageMarkersOnMap(FinishedPointType|null,AttachmentType[],MapView|null|undefined,GraphicsLayer|null|undefined)",98,10,4,
MAINT-07,Unit size,RAW,HIGH,97 lines of code for unit HeadButtonsTimeslider.tsx.HeadButtonsTimeslider(),src/Components/HomePage/Head/HeadButtonsTimeslider.tsx,HeadButtonsTimeslider.tsx.HeadButtonsTimeslider(),97,11,0,
MAINT-07,Unit size,RAW,HIGH,96 lines of code for unit useTimesliderImagePageData.ts.useTimesliderImagePageData(),src/Components/TimesliderItemDetailPage/useTimesliderImagePageData.ts,useTimesliderImagePageData.ts.useTimesliderImagePageData(),96,46,0,
MAINT-03,Unit size,RAW,HIGH,94 lines of code for unit GeometriesList.tsx.GeometriesList(any),src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/GeometriesList.tsx,GeometriesList.tsx.GeometriesList(any),94,29,1,
MAINT-03,Unit size,RAW,HIGH,91 lines of code for unit Step2Sub1.tsx.Step2Sub1(any),src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/Step2Sub1.tsx,Step2Sub1.tsx.Step2Sub1(any),91,8,1,
MAINT-01,Unit size,RAW,HIGH,"90 lines of code for unit deleteFlightPlan.ts.deleteFlightPlan(Request,Response)",backend/src/routes/flightPlans/deleteFlightPlan.ts,"deleteFlightPlan.ts.deleteFlightPlan(Request,Response)",90,14,2,
MAINT-07,Unit size,RAW,HIGH,"90 lines of code for unit flightPlansYellowHighlights.ts.drawSelectedPlansYellowHighlights(__esri.GraphicsLayer,FinishedFlightPlanType[],number[])",src/helpers/timeslider/flightPlansYellowHighlights.ts,"flightPlansYellowHighlights.ts.drawSelectedPlansYellowHighlights(__esri.GraphicsLayer,FinishedFlightPlanType[],number[])",90,14,3,
MAINT-08,Unit size,RAW,HIGH,88 lines of code for unit index.tsx.PointsView(PointsViewProps),src/Components/HomePage/Body/Bottom/PointsView/index.tsx,index.tsx.PointsView(PointsViewProps),88,3,1,
MAINT-03,Unit size,RAW,HIGH,88 lines of code for unit index.tsx.AddPointToPlan(),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/index.tsx,index.tsx.AddPointToPlan(),88,13,0,
MAINT-02,Unit size,RAW,HIGH,87 lines of code for unit handleUpdate(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Form/index.tsx,handleUpdate(),87,10,0,
MAINT-05,Unit size,RAW,HIGH,86 lines of code for unit createMapView.ts.createMapView(RefObject<HTMLDivElement>),src/helpers/ArcGISHelpers/createMapView.ts,createMapView.ts.createMapView(RefObject<HTMLDivElement>),86,3,1,
MAINT-03,Unit size,RAW,HIGH,84 lines of code for unit removePoint(string),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/RemovePoint.tsx,removePoint(string),84,3,1,
MAINT-08,Unit size,RAW,HIGH,84 lines of code for unit usePopupController.ts.usePopupController(void),src/hooks/popUpModal/usePopupController.ts,usePopupController.ts.usePopupController(void),84,14,1,
MAINT-08,Unit size,RAW,HIGH,83 lines of code for unit useRenderGeometries.ts.useRenderGeometries(),src/hooks/features/useRenderGeometries.ts,useRenderGeometries.ts.useRenderGeometries(),83,17,0,
MAINT-03,Unit size,RAW,HIGH,81 lines of code for unit handleSubmit(),src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Buttons.tsx,handleSubmit(),81,13,0,
MAINT-01,Unit size,RAW,HIGH,"81 lines of code for unit getPoints.ts.getPoints(Request,Response)",backend/src/routes/points/getPoints.ts,"getPoints.ts.getPoints(Request,Response)",81,21,2,
MAINT-01,Unit size,RAW,HIGH,"80 lines of code for unit createUser.ts.createUser(any,Request)",backend/src/routes/keycloak/management/users/createUser.ts,"createUser.ts.createUser(any,Request)",80,13,2,
MAINT-02,Unit size,RAW,HIGH,"75 lines of code for unit useRenderGeometries.ts.useRenderGeometries(FinishedFlightPlanType|null,number[])",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/hooks/useRenderGeometries.ts,"useRenderGeometries.ts.useRenderGeometries(FinishedFlightPlanType|null,number[])",75,15,2,
MAINT-08,Unit size,RAW,HIGH,75 lines of code for unit updateLabels(),src/hooks/hover-click-handlers/useFeatureLayerLabels.ts,updateLabels(),75,23,0,
MAINT-08,Unit size,RAW,HIGH,74 lines of code for unit useFeatureLayerPopup.ts.useFeatureLayerPopup(),src/hooks/hover-click-handlers/useFeatureLayerPopup.ts,useFeatureLayerPopup.ts.useFeatureLayerPopup(),74,22,0,
MAINT-02,Unit size,RAW,HIGH,74 lines of code for unit handleStep2(),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/index.ts,handleStep2(),74,14,0,
MAINT-01,Unit size,RAW,HIGH,"74 lines of code for unit postProxyHandler.ts.arcgisPostProxyHandler(Request,Response)",backend/src/routes/arcgis/postProxyHandler.ts,"postProxyHandler.ts.arcgisPostProxyHandler(Request,Response)",74,22,2,
