WorkPackageID,Category,Status,Severity,Description,File,Unit,LOC,Complexity,Parameters,FanIn,WorkPackageName,Phase
MAINT-01,Unit size,RAW,HIGH,"174 lines of code for unit createFinishedPlan.ts.createFinishedPlan(Request,Response)",backend/src/routes/finished_plans/createFinishedPlan.ts,"createFinishedPlan.ts.createFinishedPlan(Request,Response)",174,72,2,,Backend routes and services,5 - Maintainability
MAINT-01,Unit complexity,RAW,HIGH,"McCabe complexity of 72 for unit createFinishedPlan.ts.createFinishedPlan(Request,Response)",backend/src/routes/finished_plans/createFinishedPlan.ts,"createFinishedPlan.ts.createFinishedPlan(Request,Response)",174,72,2,,Backend routes and services,5 - Maintainability
MAINT-03,Unit size,RAW,HIGH,200 lines of code for unit index.tsx.SelectFromSource(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx,index.tsx.SelectFromSource(any),200,54,1,,Voorbereiding wizards,5 - Maintainability
MAINT-03,Unit complexity,RAW,HIGH,McCabe complexity of 54 for unit index.tsx.SelectFromSource(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx,index.tsx.SelectFromSource(any),200,54,1,,Voorbereiding wizards,5 - Maintainability
MAINT-02,Unit size,RAW,HIGH,225 lines of code for unit index.tsx.EditPointCoordinates(any),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/index.tsx,index.tsx.EditPointCoordinates(any),225,46,1,,Nabewerking flows,5 - Maintainability
MAINT-02,Unit complexity,RAW,HIGH,McCabe complexity of 46 for unit index.tsx.EditPointCoordinates(any),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/index.tsx,index.tsx.EditPointCoordinates(any),225,46,1,,Nabewerking flows,5 - Maintainability
MAINT-07,Unit size,RAW,HIGH,96 lines of code for unit useTimesliderImagePageData.ts.useTimesliderImagePageData(),src/Components/TimesliderItemDetailPage/useTimesliderImagePageData.ts,useTimesliderImagePageData.ts.useTimesliderImagePageData(),96,46,0,,Timeslider feature,5 - Maintainability
MAINT-07,Unit complexity,RAW,HIGH,McCabe complexity of 46 for unit useTimesliderImagePageData.ts.useTimesliderImagePageData(),src/Components/TimesliderItemDetailPage/useTimesliderImagePageData.ts,useTimesliderImagePageData.ts.useTimesliderImagePageData(),96,46,0,,Timeslider feature,5 - Maintainability
MAINT-07,Unit size,RAW,HIGH,73 lines of code for unit index.tsx.TimesliderItemDetailPage(),src/Components/TimesliderItemDetailPage/index.tsx,index.tsx.TimesliderItemDetailPage(),73,45,0,,Timeslider feature,5 - Maintainability
MAINT-07,Unit complexity,RAW,HIGH,McCabe complexity of 45 for unit index.tsx.TimesliderItemDetailPage(),src/Components/TimesliderItemDetailPage/index.tsx,index.tsx.TimesliderItemDetailPage(),73,45,0,,Timeslider feature,5 - Maintainability
