WorkPackageID,Status,Severity,Description,Occurrences,RedundantLOC,Locations
DUP-01,RAW,HIGH,10 lines occurring 7 times in 5 files,7,60,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L24:33,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L43:52,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L44:53,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/Buttons.tsx#L57:66"
DUP-01,RAW,HIGH,9 lines occurring 12 times in 7 files,12,99,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx#L18:26,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/Buttons.tsx#L24:32,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L25:33,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Buttons.tsx#L29:3"
DUP-01,RAW,HIGH,11 lines occurring 4 times in 4 files,4,33,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L43:53,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/Buttons.tsx#L56:66,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L88:98,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx#L93:103"
DUP-01,RAW,HIGH,12 lines occurring 3 times in 2 files,3,24,"src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/index.tsx#L39:50,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step1.tsx#L50:61,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step1.tsx#L79:90"
DUP-01,RAW,HIGH,12 lines occurring 3 times in 3 files,3,24,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L42:53,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L87:98,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx#L92:103"
DUP-01,RAW,HIGH,12 lines occurring 3 times in 2 files,3,24,"src/Components/HomePage/Body/Bottom/PointsView/index.tsx#L84:95,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts#L27:38,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts#L88:99"
DUP-01,RAW,HIGH,22 lines occurring 2 times in 2 files,2,22,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx#L144:177,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/GroupFunctions.tsx#L209:242"
DUP-02,RAW,HIGH,21 lines occurring 2 times in 2 files,2,21,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/FormElements.tsx#L14:35,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/FormInputs.tsx#L13:34"
DUP-01,RAW,HIGH,10 lines occurring 3 times in 3 files,3,20,"src/Components/HomePage/Body/Left/Common/AandachtspuntDetailsFields.tsx#L39:48,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Form.tsx#L9:18,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Form.tsx#L9:18"
DUP-01,RAW,HIGH,20 lines occurring 2 times in 2 files,2,20,"src/Components/HomePage/Body/Bottom/PlansView/Details/index.tsx#L26:76,src/hooks/useGetFlightTimesDistance.ts#L8:69"
