ID,Path,Component,Lines of code,Duplication percentage,Start line,End line
550ec4f7-3664-4a50-93da-69bc59e05ee9,src/Components/HomePage/Body/Bottom/PointsView/index.tsx,HomePage,29,59.183674,17,45
550ec4f7-3664-4a50-93da-69bc59e05ee9,src/Components/HomePage/Body/Bottom/PointsView/usePointsViewController.ts,HomePage,29,27.619047,115,143
88caf934-600b-4b2d-b674-ee706fda1427,src/Components/HomePage/Body/Left/Common/AandachtspuntDetailsFields.tsx,HomePage,10,21.276596,39,48
88caf934-600b-4b2d-b674-ee706fda1427,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Form.tsx,HomePage,10,35.714287,9,18
88caf934-600b-4b2d-b674-ee706fda1427,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Form.tsx,HomePage,10,35.714287,9,18
fb3d87a1-f7e7-4f89-9eab-5c6f1f809518,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/useAddPointToPlanMapEffects.ts,HomePage,10,17.241379,26,39
fb3d87a1-f7e7-4f89-9eab-5c6f1f809518,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/useSelectFromSourceMapEffects.ts,HomePage,10,13.513514,57,70
fb3d87a1-f7e7-4f89-9eab-5c6f1f809518,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/useStepContentMapSync.ts,HomePage,10,27.777779,25,38
7a2da5b2-b82b-44f2-8f6f-dedec30e4cb0,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/templateFlightStates.ts,HomePage,18,47.36842,5,32
7a2da5b2-b82b-44f2-8f6f-dedec30e4cb0,src/hooks/zustand/voorbereiding/useFlightPlanState.ts,hooks,18,39.130436,13,32
a643a014-1b4b-4590-928b-74823b5a6a30,src/hooks/zustand/useEnrichedPointState.ts,hooks,17,17.34694,73,95
a643a014-1b4b-4590-928b-74823b5a6a30,src/hooks/zustand/useEnrichedPointState.ts,hooks,17,17.34694,122,144
a69a498a-d56e-42b5-8e64-8468bd4dd4b2,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/Buttons.tsx,HomePage,16,40,41,56
a69a498a-d56e-42b5-8e64-8468bd4dd4b2,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/helpers/submitAddPointsToPlan.ts,HomePage,16,17.582418,39,54
0faa85fb-81c8-4fe0-b54e-941e26aa3108,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub1.tsx,HomePage,16,28.571428,7,24
0faa85fb-81c8-4fe0-b54e-941e26aa3108,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/Step2Sub1.tsx,HomePage,16,34.782608,7,24
dd334bd0-50e3-42a5-8360-c3800a4d5be3,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Buttons.tsx,HomePage,15,30.612246,36,50
dd334bd0-50e3-42a5-8360-c3800a4d5be3,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step3/Buttons.tsx,HomePage,15,20.833334,46,60
c03c688e-78d5-457e-a275-8b8e483489a1,src/hooks/zustand/useEnrichedPointState.ts,hooks,14,14.285714,51,70
c03c688e-78d5-457e-a275-8b8e483489a1,src/hooks/zustand/useEnrichedPointState.ts,hooks,14,14.285714,99,118
c23a25bd-07f0-441f-aeb5-493356f26d93,backend/src/helpers/http/runReturningUpdate.ts,backend,14,20.289856,41,57
c23a25bd-07f0-441f-aeb5-493356f26d93,backend/src/helpers/http/runReturningUpdate.ts,backend,14,20.289856,87,103
fb8ed086-b01d-4228-87a6-638655482805,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Form.tsx,HomePage,14,50,5,18
fb8ed086-b01d-4228-87a6-638655482805,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Form.tsx,HomePage,14,50,5,18
d69cb879-6c5b-4ab2-95ab-4577e829f2bb,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx,HomePage,9,14.5161295,18,26
