Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
29 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,29,29,2,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/index.tsx#L17:45,src/Components/HomePage/Body/Bottom/PointsView/usePointsViewController.ts#L115:143"
10 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-04,10,10,20,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/AandachtspuntDetailsFields.tsx#L39:48,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Form.tsx#L9:18,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Form.tsx#L9:18"
10 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-13,1,10,20,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/useAddPointToPlanMapEffects.ts#L26:39,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/useSelectFromSourceMapEffects.ts#L57:70,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/useStepContentMapSync.ts#L25:38"
18 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,10,18,18,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/templateFlightStates.ts#L5:32,src/hooks/zustand/voorbereiding/useFlightPlanState.ts#L13:32"
17 lines occurring 2 times,HIGH,RAW,2026-06-04,40,17,17,2,true,true,TypeScript,"src/hooks/zustand/useEnrichedPointState.ts#L73:95,src/hooks/zustand/useEnrichedPointState.ts#L122:144"
16 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,16,16,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/Buttons.tsx#L41:56,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/helpers/submitAddPointsToPlan.ts#L39:54"
16 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,10,16,16,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L7:24,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L7:24"
15 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,15,15,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Buttons.tsx#L36:50,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step3/Buttons.tsx#L46:60"
14 lines occurring 2 times,HIGH,RAW,2026-06-04,40,14,14,2,true,true,TypeScript,"src/hooks/zustand/useEnrichedPointState.ts#L51:70,src/hooks/zustand/useEnrichedPointState.ts#L99:118"
14 lines occurring 2 times,HIGH,RAW,2026-07-01,13,14,14,2,true,true,TypeScript,"backend/src/helpers/http/runReturningUpdate.ts#L41:57,backend/src/helpers/http/runReturningUpdate.ts#L87:103"
14 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,34,14,14,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Form.tsx#L5:18,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Form.tsx#L5:18"
9 lines occurring 4 times in 2 files,HIGH,RAW,2026-07-13,1,9,27,4,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx#L18:26,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Buttons.tsx#L29:37,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx#L38:46,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Buttons.tsx#L59:67"
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/useAddPointToPlanMapEffects.ts#L26:42,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/useStepContentMapSync.ts#L25:41"
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,34,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Form.tsx#L21:33,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Form.tsx#L21:33"
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,10,13,13,2,false,true,TypeScript,"backend/src/helpers/queries/geometries/formatPlanGeometries.ts#L120:132,backend/src/routes/geometries/getGeometries.ts#L12:24"
12 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,12,12,2,false,false,TypeScript,"src/helpers/points/buildPointUpdatePayload.ts#L42:53,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Form/updateGeometryPointsComment.ts#L8:19"
12 lines occurring 2 times,HIGH,RAW,2026-07-13,1,12,12,2,true,true,TypeScript,"src/helpers/tableExports/pointsPlansTableExport.ts#L225:237,src/helpers/tableExports/pointsPlansTableExport.ts#L262:274"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step2/index.tsx#L68:78,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/useCoordinatesWatcher.ts#L17:27"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-06,38,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx#L15:27,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step1/SinglePlan.tsx#L20:32"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,40,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/Filter.tsx#L21:32,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/Filter.tsx#L28:39"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,15,11,11,2,false,false,TypeScript,"src/Types/keycloakUser.ts#L1:11,backend/src/routes/keycloak/management/users/types.ts#L1:11"
