Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"5 parameters for unit geometryGraphicBuilders.ts.pointsToCoordinates(GeometryPoint[],any,GeometryPoint,any,any)",MEDIUM,RAW,2026-07-04,10,"geometryGraphicBuilders.ts.pointsToCoordinates(GeometryPoint[],any,GeometryPoint,any,any)",src/helpers/ArcGISHelpers/geometryGraphicBuilders.ts#L12:15,TypeScript,4,1,5
"3 parameters for unit legacyAuthUsageMonitor.ts.legacyAuthUsageMonitor(any,any,any)",LOW,RAW,2026-07-13,1,"legacyAuthUsageMonitor.ts.legacyAuthUsageMonitor(any,any,any)",backend/src/helpers/auth/legacyAuthUsageMonitor.ts#L13:44,TypeScript,28,10,3
"3 parameters for unit middleware.ts.RequestHandler(any,any,any)",LOW,RAW,2026-06-04,40,"middleware.ts.RequestHandler(any,any,any)",backend/src/routes/devices-updates/middleware.ts#L7:34,TypeScript,25,6,3
"3 parameters for unit computeFlightPlanCentroid.ts.computeFlightPlanCentroid(FlightPlanCentroidPoint[],any,any)",LOW,RAW,2026-06-06,38,"computeFlightPlanCentroid.ts.computeFlightPlanCentroid(FlightPlanCentroidPoint[],any,any)",src/helpers/ArcGISHelpers/computeFlightPlanCentroid.ts#L12:41,TypeScript,24,6,3
"3 parameters for unit useFilterAndSortPlans.ts.useFilterAndSortPlans(FinishedFlightPlanType[],any,string)",LOW,RAW,2026-06-04,40,"useFilterAndSortPlans.ts.useFilterAndSortPlans(FinishedFlightPlanType[],any,string)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/hooks/useFilterAndSortPlans.ts#L10:38,TypeScript,23,3,3
"4 parameters for unit authSecurityLog.ts.logAuthSecurityEvent(string,Record<string, unknown>,any,Request)",LOW,RAW,2026-07-13,1,"authSecurityLog.ts.logAuthSecurityEvent(string,Record<string, unknown>,any,Request)",backend/src/routes/auth2/authSecurityLog.ts#L28:54,TypeScript,20,4,4
"4 parameters for unit MapLoginErrorContext.logMapLoginErrorClassifierDebug(unknown,MapLoginErrorContext,string,string)",LOW,RAW,2026-07-13,1,"MapLoginErrorContext.logMapLoginErrorClassifierDebug(unknown,MapLoginErrorContext,string,string)",backend/src/routes/auth2/mapLoginError.ts#L47:71,TypeScript,18,12,4
"4 parameters for unit createPlanBoundingBoxGraphic.ts.createPlanBoundingBoxGraphic(PlanBoundingBoxPoint[],any,any,CreatePlanBoundingBoxGraphicOptions)",LOW,RAW,2026-06-06,38,"createPlanBoundingBoxGraphic.ts.createPlanBoundingBoxGraphic(PlanBoundingBoxPoint[],any,any,CreatePlanBoundingBoxGraphicOptions)",src/helpers/ArcGISHelpers/createPlanBoundingBoxGraphic.ts#L136:158,TypeScript,17,8,4
"3 parameters for unit CreateKeycloakUserInput.setKeycloakUserPassword(Request,string,string)",LOW,RAW,2026-07-04,10,"CreateKeycloakUserInput.setKeycloakUserPassword(Request,string,string)",backend/src/routes/keycloak/management/users/createKeycloakUser.ts#L58:82,TypeScript,17,3,3
"3 parameters for unit createPlanBoundingBoxGraphic.ts.createPlanBoundingBoxPolygon(PlanBoundingBoxPoint[],any,any)",LOW,RAW,2026-06-06,38,"createPlanBoundingBoxGraphic.ts.createPlanBoundingBoxPolygon(PlanBoundingBoxPoint[],any,any)",src/helpers/ArcGISHelpers/createPlanBoundingBoxGraphic.ts#L111:131,TypeScript,17,2,3
"3 parameters for unit PointsFilters.loadPoints(PointsFilters,Partial<PointsState>,any)",LOW,RAW,2026-06-04,40,"PointsFilters.loadPoints(PointsFilters,Partial<PointsState>,any)",src/hooks/features/usePointsStore.ts#L39:66,TypeScript,16,7,3
"4 parameters for unit reportUpload.ts.uploadErrorHandler(unknown,express.Request,express.Response,express.NextFunction)",LOW,RAW,2026-07-13,1,"reportUpload.ts.uploadErrorHandler(unknown,express.Request,express.Response,express.NextFunction)",backend/src/routes/reportUpload.ts#L83:103,TypeScript,16,4,4
"3 parameters for unit requireAuthClientHeader.ts.requireAuthClientHeader(any,any,any)",LOW,RAW,2026-07-13,1,"requireAuthClientHeader.ts.requireAuthClientHeader(any,any,any)",backend/src/routes/auth2/requireAuthClientHeader.ts#L9:26,TypeScript,16,2,3
"3 parameters for unit GeometryFilters.loadGeometries(GeometryFilters,Partial<GeometriesState>,any)",LOW,RAW,2026-06-04,40,"GeometryFilters.loadGeometries(GeometryFilters,Partial<GeometriesState>,any)",src/hooks/features/useGeometriesStore.ts#L29:48,TypeScript,15,5,3
"4 parameters for unit Template.mapSourceToItems(any,FlightPlanType[],any,any)",LOW,RAW,2026-07-04,10,"Template.mapSourceToItems(any,FlightPlanType[],any,any)",src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/helpers/mapSourceItems.ts#L46:65,TypeScript,15,3,4
"3 parameters for unit requirePassword.ts.requirePassword(express.Request,express.Response,express.NextFunction)",LOW,RAW,2026-07-01,13,"requirePassword.ts.requirePassword(express.Request,express.Response,express.NextFunction)",backend/src/helpers/auth/requirePassword.ts#L21:39,TypeScript,14,4,3
"3 parameters for unit grantHelpers.ts.attemptPasswordGrant(any,any,PasswordGrantParams)",LOW,RAW,2026-07-13,1,"grantHelpers.ts.attemptPasswordGrant(any,any,PasswordGrantParams)",backend/src/routes/auth2/grantHelpers.ts#L15:29,TypeScript,11,2,3
"3 parameters for unit createPlanBoundingBoxGraphic.ts.getValidPlanPoints(PlanBoundingBoxPoint[],any,any)",LOW,RAW,2026-06-06,38,"createPlanBoundingBoxGraphic.ts.getValidPlanPoints(PlanBoundingBoxPoint[],any,any)",src/helpers/ArcGISHelpers/createPlanBoundingBoxGraphic.ts#L76:88,TypeScript,10,5,3
"3 parameters for unit requireSessionAuth.ts.RequestHandler(any,any,any)",LOW,RAW,2026-07-13,1,"requireSessionAuth.ts.RequestHandler(any,any,any)",backend/src/helpers/auth/requireSessionAuth.ts#L4:15,TypeScript,10,3,3
"3 parameters for unit createPlanBoundingBoxGraphic.ts.getPlanBoundingBoxExtents(PlanBoundingBoxPoint[],any,any)",LOW,RAW,2026-06-06,38,"createPlanBoundingBoxGraphic.ts.getPlanBoundingBoxExtents(PlanBoundingBoxPoint[],any,any)",src/helpers/ArcGISHelpers/createPlanBoundingBoxGraphic.ts#L93:105,TypeScript,10,2,3
"4 parameters for unit filterValidAttachments.ts.filterValidAttachments(any,any,any,any)",LOW,RAW,2026-06-06,38,"filterValidAttachments.ts.filterValidAttachments(any,any,any,any)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/filterValidAttachments.ts#L3:13,TypeScript,9,6,4
"3 parameters for unit installersUpload.ts.fileFilter(any,any,any)",LOW,RAW,2026-07-13,1,"installersUpload.ts.fileFilter(any,any,any)",backend/src/routes/installersUpload.ts#L20:27,TypeScript,8,3,3
"3 parameters for unit flightPlanMapActions.ts.zoomMapToFlightPlan(MapView|null|undefined,FlightPlanType,any)",LOW,RAW,2026-07-13,1,"flightPlanMapActions.ts.zoomMapToFlightPlan(MapView|null|undefined,FlightPlanType,any)",src/helpers/ArcGISHelpers/flightPlanMapActions.ts#L10:20,TypeScript,7,3,3
"3 parameters for unit realmAdminAuth.ts.requireAdmin(any,any,any)",LOW,RAW,2026-07-13,1,"realmAdminAuth.ts.requireAdmin(any,any,any)",backend/src/helpers/auth/realmAdminAuth.ts#L20:26,TypeScript,7,2,3
"3 parameters for unit WizardPointsListProps.togglePointInList(number,number[],void)",LOW,RAW,2026-07-04,10,"WizardPointsListProps.togglePointInList(number,number[],void)",src/Components/HomePage/Body/Left/Common/WizardPointsList.tsx#L24:34,TypeScript,7,2,3
"3 parameters for unit reportUpload.ts.filename(any,any,any)",LOW,RAW,2026-06-04,40,"reportUpload.ts.filename(any,any,any)",backend/src/routes/reportUpload.ts#L18:23,TypeScript,6,4,3
"3 parameters for unit withLog(string,void,unknown)",LOW,RAW,2026-06-10,34,"withLog(string,void,unknown)",src/hooks/wizard/useWizardButtons.ts#L20:26,TypeScript,6,1,3
"3 parameters for unit CreateKeycloakUserInput.assertKeycloakResponseOk(Response,string,string)",LOW,RAW,2026-07-04,10,"CreateKeycloakUserInput.assertKeycloakResponseOk(Response,string,string)",backend/src/routes/keycloak/management/users/createKeycloakUser.ts#L21:31,TypeScript,6,3,3
"3 parameters for unit ImportPointsWriter.constructor(PoolClient,NormalizedImportRow[],unknown[])",LOW,RAW,2026-07-01,13,"ImportPointsWriter.constructor(PoolClient,NormalizedImportRow[],unknown[])",backend/src/helpers/points/createPointFromImportDb.ts#L78:86,TypeScript,5,1,3
"4 parameters for unit useWizardCleanup.ts.runWizardCleanup(Array,any,any,any)",LOW,RAW,2026-06-10,34,"useWizardCleanup.ts.runWizardCleanup(Array,any,any,any)",src/hooks/wizard/useWizardCleanup.ts#L1:7,TypeScript,5,2,4
"3 parameters for unit reportUpload.ts.fileFilter(express.Request,Express.Multer.File,multer.FileFilterCallback)",LOW,RAW,2026-07-13,1,"reportUpload.ts.fileFilter(express.Request,Express.Multer.File,multer.FileFilterCallback)",backend/src/routes/reportUpload.ts#L26:30,TypeScript,5,4,3
"3 parameters for unit helpers.ts.getUserRolesForRequest(string,any,any)",LOW,RAW,2026-06-29,15,"helpers.ts.getUserRolesForRequest(string,any,any)",backend/src/routes/keycloak/management/users/helpers.ts#L53:56,TypeScript,4,1,3
"3 parameters for unit installersUpload.ts.filename(any,any,any)",LOW,RAW,2026-07-13,1,"installersUpload.ts.filename(any,any,any)",backend/src/routes/installersUpload.ts#L11:14,TypeScript,4,2,3
"4 parameters for unit bufferGraphics.ts.addBufferedGraphics(GraphicsLayer,__esri.Geometry|__esri.Geometry,SimpleFillSymbol,number)",LOW,RAW,2026-07-04,10,"bufferGraphics.ts.addBufferedGraphics(GraphicsLayer,__esri.Geometry|__esri.Geometry,SimpleFillSymbol,number)",src/helpers/ArcGISHelpers/bufferGraphics.ts#L40:45,TypeScript,4,2,4
"3 parameters for unit useResizableSidebar.ts.getResizeDelta(ResizeHandleSide,number,number)",LOW,RAW,2026-06-10,34,"useResizableSidebar.ts.getResizeDelta(ResizeHandleSide,number,number)",src/hooks/layout/useResizableSidebar.ts#L15:21,TypeScript,3,2,3
"3 parameters for unit FlightPlanColumnPreset.flightPlanExtraColumns(string,any,any)",LOW,RAW,2026-07-01,13,"FlightPlanColumnPreset.flightPlanExtraColumns(string,any,any)",backend/src/helpers/queries/flight-plans/flightPlanColumns.ts#L19:24,TypeScript,3,1,3
"3 parameters for unit useResizableSidebar.ts.clamp(number,number,number)",LOW,RAW,2026-06-10,34,"useResizableSidebar.ts.clamp(number,number,number)",src/hooks/layout/useResizableSidebar.ts#L11:13,TypeScript,3,1,3
"3 parameters for unit clamp(number,number,number)",LOW,RAW,2026-06-04,40,"clamp(number,number,number)",src/Components/HomePage/Body/MapViewComp/index.tsx#L59:60,TypeScript,2,1,3
