Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,23,11,11,2,false,false,TypeScript,"src/Types/keycloakUser.ts#L1:11,backend/src/routes/keycloak/management/users/types.ts#L1:11"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-22,0,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step2/Buttons.tsx#L17:28,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/Buttons.tsx#L19:30"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-22,0,9,9,2,false,false,TypeScript,"backend/src/helpers/queries/flight-plans/flightPlanFieldNormalize.ts#L3:11,src/hooks/flightPlan/pickFlightPlanPersistenceFields.ts#L5:13"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,23,8,8,2,false,false,TypeScript,"src/Types/devices.ts#L10:17,backend/src/routes/devices-updates/types.ts#L14:21"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,23,8,8,2,false,false,TypeScript,"src/Types/devices.ts#L1:8,backend/src/routes/devices-updates/types.ts#L1:8"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,4,8,8,2,false,false,TypeScript,"backend/src/helpers/queries/points/pointCoreColumns.ts#L3:10,src/helpers/points/pointCoreIdentityKeys.ts#L1:8"
8 lines occurring 2 times,HIGH,RAW,2026-07-22,0,8,8,2,true,true,TypeScript,"backend/src/helpers/queries/flight-plans/appendFlightPlanWhereClause.ts#L9:16,backend/src/helpers/queries/flight-plans/appendFlightPlanWhereClause.ts#L49:56"
6 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-22,0,6,12,3,false,false,TypeScript,"backend/src/helpers/queries/points/pointCoreColumns.ts#L4:9,src/helpers/points/pointCoreIdentityKeys.ts#L2:7,src/Components/HomePage/Body/Left/Common/PointDetailsFieldsList.tsx#L4:9"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-22,0,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/ViewPlans/PlanInformation.tsx#L6:11,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/ViewPlans/PlanInformation.tsx#L8:13"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,4,6,6,2,false,false,TypeScript,"backend/src/helpers/queries/geometries/createGeometryInsert.ts#L4:9,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/pickDrawingGeometryFormFields.ts#L3:8"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,18,7,7,2,false,false,TypeScript,"src/Types/installer.ts#L1:7,backend/src/routes/installersStorage.ts#L4:10"
6 lines occurring 2 times,HIGH,RAW,2026-07-22,0,6,6,2,true,true,TypeScript,"src/Components/TimesliderItemDetailPage/useTimesliderItemImages.ts#L33:38,src/Components/TimesliderItemDetailPage/useTimesliderItemImages.ts#L46:51"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-22,0,6,6,2,false,false,Angular Templates,"index.html#L6:11,public/index.html#L6:11"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-22,0,6,6,2,false,true,TypeScript,"src/Components/DashboardPage/EditUser/buildEditUserFormHandlers.ts#L12:17,src/Components/DashboardPage/ResetPassword/buildResetPasswordHandlers.ts#L13:18"
