Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"5 parameters for unit geometryHerhalen.ts.compareGeometriesForSelection(Geometry,Geometry,Set<number>,Map<number, number>,Map<number, number>)",MEDIUM,RAW,2026-07-22,0,"geometryHerhalen.ts.compareGeometriesForSelection(Geometry,Geometry,Set<number>,Map<number, number>,Map<number, number>)",src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/geometryHerhalen.ts#L44:56,TypeScript,7,7,5
"3 parameters for unit middleware.ts.RequestHandler(any,any,any)",LOW,RAW,2026-06-04,48,"middleware.ts.RequestHandler(any,any,any)",backend/src/routes/devices-updates/middleware.ts#L7:34,TypeScript,25,6,3
"3 parameters for unit mapGraphicsLayers.ts.addAndOrderMapGraphicsLayers(Map,ReturnType,any)",LOW,RAW,2026-07-14,8,"mapGraphicsLayers.ts.addAndOrderMapGraphicsLayers(Map,ReturnType,any)",src/helpers/ArcGISHelpers/mapGraphicsLayers.ts#L17:46,TypeScript,25,1,3
"3 parameters for unit computeFlightPlanCentroid.ts.computeFlightPlanCentroid(FlightPlanCentroidPoint[],any,any)",LOW,RAW,2026-06-06,46,"computeFlightPlanCentroid.ts.computeFlightPlanCentroid(FlightPlanCentroidPoint[],any,any)",src/helpers/ArcGISHelpers/computeFlightPlanCentroid.ts#L12:41,TypeScript,24,6,3
"3 parameters for unit useLegendLayerSyncEffects.ts.useLegendLayerSyncEffects(Dispatch<SetStateAction<LegendLayerDefinition[]>>,string[],SyncOptions)",LOW,RAW,2026-07-18,4,"useLegendLayerSyncEffects.ts.useLegendLayerSyncEffects(Dispatch<SetStateAction<LegendLayerDefinition[]>>,string[],SyncOptions)",src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/helpers/useLegendLayerSyncEffects.ts#L13:41,TypeScript,23,5,3
"3 parameters for unit planBoundingBoxGeometryCore.ts.createPlanBoundingBoxPolygon(PlanBoundingBoxPoint[],any,any)",LOW,RAW,2026-07-18,4,"planBoundingBoxGeometryCore.ts.createPlanBoundingBoxPolygon(PlanBoundingBoxPoint[],any,any)",src/helpers/ArcGISHelpers/planBoundingBoxGeometryCore.ts#L47:67,TypeScript,17,2,3
"3 parameters for unit requireAuthClientHeader.ts.requireAuthClientHeader(any,any,any)",LOW,RAW,2026-07-13,9,"requireAuthClientHeader.ts.requireAuthClientHeader(any,any,any)",backend/src/routes/auth2/requireAuthClientHeader.ts#L9:26,TypeScript,16,2,3
"3 parameters for unit pdfReportAttachmentImage.ts.drawTakenAtCaption(jsPDF,number,number)",LOW,RAW,2026-07-18,4,"pdfReportAttachmentImage.ts.drawTakenAtCaption(jsPDF,number,number)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/pdfReportAttachmentImage.ts#L21:40,TypeScript,16,2,3
"3 parameters for unit FinishedPlanWriter.insertAttachmentRow(number,FinishedPlanPoint,FinishedPlanAttachment)",LOW,RAW,2026-07-22,0,"FinishedPlanWriter.insertAttachmentRow(number,FinishedPlanPoint,FinishedPlanAttachment)",backend/src/helpers/finished-plans/createFinishedPlanDb.ts#L192:210,TypeScript,15,6,3
"3 parameters for unit GeometryFilters.loadGeometries(GeometryFilters,Partial<GeometriesState>,any)",LOW,RAW,2026-06-04,48,"GeometryFilters.loadGeometries(GeometryFilters,Partial<GeometriesState>,any)",src/hooks/features/useGeometriesStore.ts#L29:48,TypeScript,15,5,3
"4 parameters for unit Template.mapSourceToItems(any,FlightPlanType[],any,any)",LOW,RAW,2026-07-04,18,"Template.mapSourceToItems(any,FlightPlanType[],any,any)",src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/helpers/mapSourceItems.ts#L46:65,TypeScript,15,3,4
"3 parameters for unit useImageGalleryPreload.ts.useImageGalleryPreload(boolean,AttachmentType[],number)",LOW,RAW,2026-07-18,4,"useImageGalleryPreload.ts.useImageGalleryPreload(boolean,AttachmentType[],number)",src/Components/HomePage/Body/Common/useImageGalleryPreload.ts#L5:11,TypeScript,14,5,3
"3 parameters for unit applyMapClickCoordinates.ts.patchCoordsFromLonLat(number,number,void)",LOW,RAW,2026-07-18,4,"applyMapClickCoordinates.ts.patchCoordsFromLonLat(number,number,void)",src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/applyMapClickCoordinates.ts#L37:54,TypeScript,14,1,3
"3 parameters for unit requirePassword.ts.requirePassword(express.Request,express.Response,express.NextFunction)",LOW,RAW,2026-07-01,21,"requirePassword.ts.requirePassword(express.Request,express.Response,express.NextFunction)",backend/src/helpers/auth/requirePassword.ts#L21:39,TypeScript,14,4,3
"3 parameters for unit resetPasswordHelpers.ts.throwIfResetPasswordFailed(Awaited,any,any)",LOW,RAW,2026-07-18,4,"resetPasswordHelpers.ts.throwIfResetPasswordFailed(Awaited,any,any)",backend/src/routes/keycloak/management/users/resetPasswordHelpers.ts#L36:52,TypeScript,14,4,3
"3 parameters for unit applyMapClickCoordinates.ts.readFiniteLonLat(any,any,any)",LOW,RAW,2026-07-18,4,"applyMapClickCoordinates.ts.readFiniteLonLat(any,any,any)",src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/applyMapClickCoordinates.ts#L6:20,TypeScript,13,5,3
"3 parameters for unit reportZipHelpers.ts.addProcessedItemsToZip(InstanceType,any,ProcessedItem[])",LOW,RAW,2026-07-17,5,"reportZipHelpers.ts.addProcessedItemsToZip(InstanceType,any,ProcessedItem[])",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/reportZipHelpers.ts#L34:51,TypeScript,13,5,3
"3 parameters for unit PointsFilters.loadPoints(PointsFilters,Partial<PointsState>,any)",LOW,RAW,2026-06-04,48,"PointsFilters.loadPoints(PointsFilters,Partial<PointsState>,any)",src/hooks/features/usePointsStore.ts#L66:79,TypeScript,11,2,3
