ID,Path,Component,Lines of code,Duplication percentage,Start line,End line
dccadda6-9f79-430a-860a-25065273cbbf,src/helpers/points/pointColumnKeys.ts,helpers,13,20.63492,34,46
dccadda6-9f79-430a-860a-25065273cbbf,backend/src/helpers/queries/points/pointCoreColumns.ts,backend,13,41.935482,2,14
952f84d2-9b08-41ab-91f0-908a609bbd08,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx,HomePage,11,26.190475,35,45
952f84d2-9b08-41ab-91f0-908a609bbd08,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/RemovePoint.tsx,HomePage,11,14.285714,52,62
962b942b-4b92-4669-9ba4-4996bc8416e4,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx,HomePage,11,52.38095,14,26
962b942b-4b92-4669-9ba4-4996bc8416e4,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step1/SinglePlan.tsx,HomePage,11,57.894737,19,31
e693dac9-7ed2-47cf-b948-d3c375fc612b,src/Types/keycloakUser.ts,Types,11,100,1,11
e693dac9-7ed2-47cf-b948-d3c375fc612b,backend/src/routes/keycloak/management/users/types.ts,backend,11,100,1,11
b9eb3c55-e676-4ec4-8aae-79831277f85e,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub1.tsx,HomePage,10,20,8,17
b9eb3c55-e676-4ec4-8aae-79831277f85e,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/Step2Sub1.tsx,HomePage,10,25,8,17
48af21c4-b566-4b56-ab5f-77f4e613555e,src/Components/HomePage/Body/Left/Common/AandachtspuntDetailsFields.tsx,HomePage,10,21.276596,9,18
48af21c4-b566-4b56-ab5f-77f4e613555e,src/hooks/zustand/useDrawingStore.ts,hooks,10,26.31579,12,21
b779a4b5-e788-44f2-90d5-88f865d814e8,backend/src/helpers/queries/geometries/geometryJson.ts,backend,8,12.903226,13,20
b779a4b5-e788-44f2-90d5-88f865d814e8,src/helpers/points/pointColumnKeys.ts,helpers,8,12.698413,2,9
b779a4b5-e788-44f2-90d5-88f865d814e8,src/helpers/points/pointColumnKeys.ts,helpers,8,12.698413,18,25
