Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-14,2,13,13,2,false,false,TypeScript,"src/helpers/points/pointColumnKeys.ts#L34:46,backend/src/helpers/queries/points/pointCoreColumns.ts#L2:14"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-14,2,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx#L35:45,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/RemovePoint.tsx#L52:62"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-15,1,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx#L14:26,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step1/SinglePlan.tsx#L19:31"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,17,11,11,2,false,false,TypeScript,"src/Types/keycloakUser.ts#L1:11,backend/src/routes/keycloak/management/users/types.ts#L1:11"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-14,2,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L8:17,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L8:17"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,12,10,10,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Common/AandachtspuntDetailsFields.tsx#L9:18,src/hooks/zustand/useDrawingStore.ts#L12:21"
8 lines occurring 3 times in 2 files,HIGH,RAW,2026-07-15,1,8,16,3,false,false,TypeScript,"backend/src/helpers/queries/geometries/geometryJson.ts#L13:20,src/helpers/points/pointColumnKeys.ts#L2:9,src/helpers/points/pointColumnKeys.ts#L18:25"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-14,2,9,9,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx#L51:59,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/RemovePoint.tsx#L31:39"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-15,1,9,9,2,false,true,TypeScript,"backend/src/routes/template_plans/createTemplateFlightPlan.ts#L44:53,backend/src/routes/template_plans/createTemplateName.ts#L23:32"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-15,1,9,9,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step1/Buttons.tsx#L22:30,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Form.tsx#L22:30"
9 lines occurring 2 times,HIGH,RAW,2026-07-04,12,9,9,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerBuilders.ts#L20:28,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerBuilders.ts#L39:47"
6 lines occurring 5 times in 3 files,HIGH,RAW,2026-07-15,1,6,24,5,false,false,TypeScript,"backend/src/helpers/queries/geometries/geometryJson.ts#L13:18,src/helpers/points/pointColumnKeys.ts#L2:7,src/helpers/points/pointColumnKeys.ts#L18:23,src/helpers/points/pointColumnKeys.ts#L34:39,backend/src/helpers/queries/points/pointCoreColumns.ts#L2:7"
