Description,Severity,Status,First Seen,Issue age,File,Technology,Lines of code,Fan-in
Fan-in of 98 for module with 21 lines of code,HIGH,RAW,2026-06-04,40,src/hooks/useLogAction.ts,TypeScript,21,98
Fan-in of 123 for module with 5 lines of code,HIGH,RAW,2026-06-04,40,src/hooks/useContent.ts,TypeScript,5,123
Fan-in of 24 for module with 69 lines of code,MEDIUM,RAW,2026-07-04,10,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerIcons.tsx,TypeScript,69,24
Fan-in of 34 for module with 61 lines of code,MEDIUM,RAW,2026-07-04,10,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerBuilders.ts,TypeScript,61,34
Fan-in of 27 for module with 53 lines of code,MEDIUM,RAW,2026-06-04,40,src/utils/useUpdateData.ts,TypeScript,53,27
Fan-in of 26 for module with 47 lines of code,MEDIUM,RAW,2026-07-13,1,backend/src/routes/auth2/authSecurityLog.ts,TypeScript,47,26
Fan-in of 33 for module with 41 lines of code,MEDIUM,RAW,2026-07-04,10,src/hooks/wizard/useWizardButtons.ts,TypeScript,41,33
Fan-in of 34 for module with 41 lines of code,MEDIUM,RAW,2026-07-01,13,backend/src/helpers/http/routeResponses.ts,TypeScript,41,34
Fan-in of 23 for module with 27 lines of code,MEDIUM,RAW,2026-06-04,40,src/helpers/ArcGISHelpers/getTransformedCoordinates.ts,TypeScript,27,23
Fan-in of 29 for module with 17 lines of code,MEDIUM,RAW,2026-07-04,10,src/hooks/consts/useConstSelectOptions.ts,TypeScript,17,29
Fan-in of 24 for module with 11 lines of code,MEDIUM,RAW,2026-06-04,40,src/hooks/features/useResetFeatures.ts,TypeScript,11,24
Fan-in of 24 for module with 9 lines of code,MEDIUM,RAW,2026-06-04,40,src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/coords.ts,TypeScript,9,24
Fan-in of 24 for module with 7 lines of code,MEDIUM,RAW,2026-06-04,40,src/helpers/ArcGISHelpers/validateMapView.ts,TypeScript,7,24
Fan-in of 23 for module with 3 lines of code,MEDIUM,RAW,2026-06-04,40,src/helpers/classNames.ts,TypeScript,3,23
Fan-in of 18 for module with 262 lines of code,LOW,RAW,2026-07-13,1,src/helpers/tableExports/pointsPlansTableExport.ts,TypeScript,262,18
Fan-in of 11 for module with 195 lines of code,LOW,RAW,2026-06-30,14,backend/src/helpers/queries/finished-plans/buildFinishedPlanQuery.ts,TypeScript,195,11
Fan-in of 14 for module with 131 lines of code,LOW,RAW,2026-06-29,15,backend/src/routes/keycloak/management/users/keycloakAdminClient.ts,TypeScript,131,14
Fan-in of 12 for module with 130 lines of code,LOW,RAW,2026-06-06,38,src/helpers/ArcGISHelpers/createPlanBoundingBoxGraphic.ts,TypeScript,130,12
Fan-in of 13 for module with 122 lines of code,LOW,RAW,2026-06-10,34,src/helpers/ArcGISHelpers/createPointMapGraphics.ts,TypeScript,122,13
Fan-in of 18 for module with 103 lines of code,LOW,RAW,2026-06-29,15,src/hooks/zustand/shared/flightPlanFormFields.ts,TypeScript,103,18
Fan-in of 11 for module with 86 lines of code,LOW,RAW,2026-06-04,40,src/helpers/ArcGISHelpers/createPointGraphic.ts,TypeScript,86,11
Fan-in of 13 for module with 59 lines of code,LOW,RAW,2026-06-04,40,src/utils/useCreateData.ts,TypeScript,59,13
Fan-in of 16 for module with 57 lines of code,LOW,RAW,2026-07-01,13,backend/src/helpers/queries/shared/resolveRegioFilter.ts,TypeScript,57,16
Fan-in of 12 for module with 51 lines of code,LOW,RAW,2026-07-13,1,src/hooks/zustand/shared/planWizardCore.ts,TypeScript,51,12
Fan-in of 14 for module with 31 lines of code,LOW,RAW,2026-06-10,34,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/drawingToolMapCleanup.ts,TypeScript,31,14
Fan-in of 14 for module with 20 lines of code,LOW,RAW,2026-07-01,13,backend/src/helpers/http/validateBody.ts,TypeScript,20,14
Fan-in of 11 for module with 12 lines of code,LOW,RAW,2026-06-04,40,src/hooks/handleCancel/useHandleCancel.ts,TypeScript,12,11
Fan-in of 13 for module with 8 lines of code,LOW,RAW,2026-06-04,40,src/api/fetchApi.ts,TypeScript,8,13
Fan-in of 11 for module with 7 lines of code,LOW,RAW,2026-07-04,10,src/hooks/wizard/useWizardCleanup.ts,TypeScript,7,11
