Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"5 parameters for unit validateSpoedReportRequest.ts.readSpoedUploads(Record<string, Express.Multer.File[]>,any,any,any,any)",MEDIUM,RAW,2026-07-27,0,"validateSpoedReportRequest.ts.readSpoedUploads(Record<string, Express.Multer.File[]>,any,any,any,any)",backend/src/routes/emails/validateSpoedReportRequest.ts#L58:66,TypeScript,7,1,5
"3 parameters for unit middleware.ts.RequestHandler(any,any,any)",LOW,RAW,2026-06-04,53,"middleware.ts.RequestHandler(any,any,any)",backend/src/routes/devices-updates/middleware.ts#L7:34,TypeScript,25,6,3
"3 parameters for unit computeFlightPlanCentroid.ts.computeFlightPlanCentroid(FlightPlanCentroidPoint[],any,any)",LOW,RAW,2026-06-06,51,"computeFlightPlanCentroid.ts.computeFlightPlanCentroid(FlightPlanCentroidPoint[],any,any)",src/helpers/ArcGISHelpers/computeFlightPlanCentroid.ts#L12:41,TypeScript,24,6,3
"3 parameters for unit planBoundingBoxGeometryCore.ts.createPlanBoundingBoxPolygon(PlanBoundingBoxPoint[],any,any)",LOW,RAW,2026-07-18,9,"planBoundingBoxGeometryCore.ts.createPlanBoundingBoxPolygon(PlanBoundingBoxPoint[],any,any)",src/helpers/ArcGISHelpers/planBoundingBoxGeometryCore.ts#L47:67,TypeScript,17,2,3
"3 parameters for unit requireAuthClientHeader.ts.requireAuthClientHeader(any,any,any)",LOW,RAW,2026-07-13,14,"requireAuthClientHeader.ts.requireAuthClientHeader(any,any,any)",backend/src/routes/auth2/requireAuthClientHeader.ts#L9:26,TypeScript,16,2,3
"4 parameters for unit Template.mapSourceToItems(any,FlightPlanType[],any,any)",LOW,RAW,2026-07-04,23,"Template.mapSourceToItems(any,FlightPlanType[],any,any)",src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/helpers/mapSourceItems.ts#L46:65,TypeScript,15,3,4
"3 parameters for unit requirePassword.ts.requirePassword(express.Request,express.Response,express.NextFunction)",LOW,RAW,2026-07-01,26,"requirePassword.ts.requirePassword(express.Request,express.Response,express.NextFunction)",backend/src/helpers/auth/requirePassword.ts#L21:39,TypeScript,14,4,3
"3 parameters for unit resetPasswordHelpers.ts.throwIfResetPasswordFailed(Awaited,any,any)",LOW,RAW,2026-07-18,9,"resetPasswordHelpers.ts.throwIfResetPasswordFailed(Awaited,any,any)",backend/src/routes/keycloak/management/users/resetPasswordHelpers.ts#L36:52,TypeScript,14,4,3
"3 parameters for unit applyMapClickCoordinates.ts.readFiniteLonLat(any,any,any)",LOW,RAW,2026-07-18,9,"applyMapClickCoordinates.ts.readFiniteLonLat(any,any,any)",src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/applyMapClickCoordinates.ts#L6:20,TypeScript,13,5,3
"4 parameters for unit usePointGraphicsEffects.ts.runPointGraphicClick(any,__esri.ViewClickEvent,ReturnType,any)",LOW,RAW,2026-07-27,0,"usePointGraphicsEffects.ts.runPointGraphicClick(any,__esri.ViewClickEvent,ReturnType,any)",src/hooks/features/usePointGraphicsEffects.ts#L96:114,TypeScript,11,3,4
