Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
83 lines of code for unit nnederlandLayerSpecsPart3.ts,HIGH,RAW,2026-07-13,4,nnederlandLayerSpecsPart3.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart3.ts#L1:88,TypeScript,83,1,0
79 lines of code for unit nnederlandLayerSpecsPart2.ts,HIGH,RAW,2026-07-13,4,nnederlandLayerSpecsPart2.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart2.ts#L1:84,TypeScript,79,1,0
78 lines of code for unit nnederlandLayerSpecsPart1.ts,HIGH,RAW,2026-07-13,4,nnederlandLayerSpecsPart1.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart1.ts#L1:83,TypeScript,78,1,0
63 lines of code for unit voorbereidingTabs.ts,HIGH,RAW,2026-07-04,13,voorbereidingTabs.ts,src/Components/HomePage/Head/headTabDefinitions/voorbereidingTabs.ts#L1:74,TypeScript,63,1,0
60 lines of code for unit EditPointCoordinateValues.useEditPointCoordinateInputs(FinishedPointType|null),MEDIUM,RAW,2026-07-04,13,EditPointCoordinateValues.useEditPointCoordinateInputs(FinishedPointType|null),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/useEditPointCoordinateInputs.ts#L15:87,TypeScript,60,13,1
59 lines of code for unit dockerfile,MEDIUM,RAW,2026-06-04,43,dockerfile,backend/dockerfile#L1:86,Docker,59,-,-
58 lines of code for unit onSuccess(any),MEDIUM,RAW,2026-07-13,4,onSuccess(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/RemovePoint.tsx#L48:115,TypeScript,58,1,1
58 lines of code for unit arcgisTokenConfig.ts.resolveArcgisTokenConfig(ArcgisTokenConfig),MEDIUM,RAW,2026-06-30,17,arcgisTokenConfig.ts.resolveArcgisTokenConfig(ArcgisTokenConfig),backend/src/services/arcgisTokenConfig.ts#L7:71,TypeScript,58,12,1
58 lines of code for unit handleStep2(),MEDIUM,RAW,2026-06-04,43,handleStep2(),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/index.ts#L46:111,TypeScript,58,5,0
57 lines of code for unit queryKeys.ts,MEDIUM,RAW,2026-06-04,43,queryKeys.ts,src/lib/queryKeys.ts#L1:63,TypeScript,57,1,0
"57 lines of code for unit attachments.ts.safeFetchPointAttachments(string,FinishedPointType)",MEDIUM,RAW,2026-06-04,43,"attachments.ts.safeFetchPointAttachments(string,FinishedPointType)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/attachments.ts#L51:121,TypeScript,57,11,2
57 lines of code for unit buildFlightPlanQuery.ts.buildFlightPlanQuery(BuildFlightPlanQueryOptions),MEDIUM,RAW,2026-06-30,17,buildFlightPlanQuery.ts.buildFlightPlanQuery(BuildFlightPlanQueryOptions),backend/src/helpers/queries/flight-plans/buildFlightPlanQuery.ts#L26:89,TypeScript,57,9,1
56 lines of code for unit useTimesliderImagePageData.ts.useTimesliderImagePageData(),MEDIUM,RAW,2026-06-04,43,useTimesliderImagePageData.ts.useTimesliderImagePageData(),src/Components/TimesliderItemDetailPage/useTimesliderImagePageData.ts#L11:73,TypeScript,56,1,0
56 lines of code for unit setupClickListener.ts.setupClickListener(SetupClickListenerInput),MEDIUM,RAW,2026-07-04,13,setupClickListener.ts.setupClickListener(SetupClickListenerInput),src/hooks/popUpModal/setupClickListener.ts#L15:81,TypeScript,56,11,1
56 lines of code for unit verify-regio-apis.ts.testResolveRegioFilter(),MEDIUM,RAW,2026-06-10,37,verify-regio-apis.ts.testResolveRegioFilter(),backend/scripts/verify-regio-apis.ts#L56:114,TypeScript,56,5,0
55 lines of code for unit installers.ts,MEDIUM,RAW,2026-06-04,43,installers.ts,backend/src/routes/installers.ts#L1:79,TypeScript,55,6,0
55 lines of code for unit index.tsx.Main(),MEDIUM,RAW,2026-06-04,43,index.tsx.Main(),src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/Main/index.tsx#L13:98,TypeScript,55,8,0
54 lines of code for unit createSessionMiddleware.ts.createSessionMiddleware(),MEDIUM,RAW,2026-07-13,4,createSessionMiddleware.ts.createSessionMiddleware(),backend/src/helpers/session/createSessionMiddleware.ts#L32:89,TypeScript,54,5,0
54 lines of code for unit exportFlightPath(),MEDIUM,RAW,2026-06-04,43,exportFlightPath(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/VliegrouteExporteren/index.tsx#L37:100,TypeScript,54,6,0
54 lines of code for unit index.tsx.MapViewComp(any),MEDIUM,RAW,2026-06-04,43,index.tsx.MapViewComp(any),src/Components/HomePage/Body/MapViewComp/index.tsx#L22:58,TypeScript,54,6,1
53 lines of code for unit Form.tsx.Form(),MEDIUM,RAW,2026-06-04,43,Form.tsx.Form(),src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Form.tsx#L10:76,TypeScript,53,2,0
52 lines of code for unit arcgisTokenFetch.ts.fetchArcgisAdminTokenOnce(ResolvedArcgisTokenConfig),MEDIUM,RAW,2026-07-04,13,arcgisTokenFetch.ts.fetchArcgisAdminTokenOnce(ResolvedArcgisTokenConfig),backend/src/services/arcgisTokenFetch.ts#L85:143,TypeScript,52,8,1
52 lines of code for unit index.tsx.TimesliderItemDetailPage(),MEDIUM,RAW,2026-06-04,43,index.tsx.TimesliderItemDetailPage(),src/Components/TimesliderItemDetailPage/index.tsx#L12:108,TypeScript,52,16,0
"52 lines of code for unit createPointFromImport.ts.createPointFromImport(Request,Response)",MEDIUM,RAW,2026-06-04,43,"createPointFromImport.ts.createPointFromImport(Request,Response)",backend/src/routes/points/createPointFromImport.ts#L12:70,TypeScript,52,7,2
51 lines of code for unit initPolygonDrawer(),MEDIUM,RAW,2026-06-04,43,initPolygonDrawer(),src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/index.tsx#L115:180,TypeScript,51,10,0
"51 lines of code for unit deleteGeometry.ts.deleteGeometry(Request,Response)",MEDIUM,RAW,2026-06-04,43,"deleteGeometry.ts.deleteGeometry(Request,Response)",backend/src/routes/geometries/deleteGeometry.ts#L10:71,TypeScript,51,8,2
50 lines of code for unit timesliderPlanImages.ts.fetchTimesliderPlanImages(FetchTimesliderPlanImagesInput),MEDIUM,RAW,2026-07-01,16,timesliderPlanImages.ts.fetchTimesliderPlanImages(FetchTimesliderPlanImagesInput),backend/src/helpers/queries/timeslider/timesliderPlanImages.ts#L92:150,TypeScript,50,5,1
50 lines of code for unit getRedisClient.ts.getRedisClient(),MEDIUM,RAW,2026-07-13,4,getRedisClient.ts.getRedisClient(),backend/src/helpers/redis/getRedisClient.ts#L36:89,TypeScript,50,6,0
50 lines of code for unit usePointsViewController.ts.usePointsViewController(number),MEDIUM,RAW,2026-07-13,4,usePointsViewController.ts.usePointsViewController(number),src/Components/HomePage/Body/Bottom/PointsView/usePointsViewController.ts#L11:65,TypeScript,50,1,1
49 lines of code for unit overigLayerSpecs.tsx.createOverigLayerSpecs(),MEDIUM,RAW,2026-07-14,3,overigLayerSpecs.tsx.createOverigLayerSpecs(),src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Overig/overigLayerSpecs.tsx#L7:55,TypeScript,49,1,0
49 lines of code for unit handleCopyLink(),MEDIUM,RAW,2026-06-04,43,handleCopyLink(),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step3/hooks/useCopyLink.ts#L18:74,TypeScript,49,10,0
49 lines of code for unit Step2Sub1.tsx.Step2Sub1(EditPointMapStepProps),MEDIUM,RAW,2026-07-14,3,Step2Sub1.tsx.Step2Sub1(EditPointMapStepProps),src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L8:25,TypeScript,49,1,1
49 lines of code for unit Form.tsx.Form(),MEDIUM,RAW,2026-06-04,43,Form.tsx.Form(),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Form.tsx#L12:83,TypeScript,49,3,0
48 lines of code for unit useTimesliderRange.ts.useTimesliderRange(string|undefined),MEDIUM,RAW,2026-07-04,13,useTimesliderRange.ts.useTimesliderRange(string|undefined),src/Components/HomePage/Head/timeslider/useTimesliderRange.ts#L20:76,TypeScript,48,1,1
48 lines of code for unit handleUpdate(),MEDIUM,RAW,2026-06-04,43,handleUpdate(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Form/index.tsx#L43:98,TypeScript,48,8,0
48 lines of code for unit buildFinishedPlanQuery.ts.buildFinishedPlansWithPointsQuery(BuildFinishedPlansQueryOptions),MEDIUM,RAW,2026-06-30,17,buildFinishedPlanQuery.ts.buildFinishedPlansWithPointsQuery(BuildFinishedPlansQueryOptions),backend/src/helpers/queries/finished-plans/buildFinishedPlanQuery.ts#L27:84,TypeScript,48,4,1
"48 lines of code for unit uploadAttachmentForPoint(number,any)",MEDIUM,RAW,2026-06-06,41,"uploadAttachmentForPoint(number,any)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/useUploadAttachmentForPoint.ts#L12:81,TypeScript,48,5,2
"47 lines of code for unit useLegendLayers.ts.useLegendLayers(LegendLayerDefinition[],UseLegendLayersOptions)",MEDIUM,RAW,2026-06-10,37,"useLegendLayers.ts.useLegendLayers(LegendLayerDefinition[],UseLegendLayersOptions)",src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/helpers/useLegendLayers.ts#L37:96,TypeScript,47,6,2
"46 lines of code for unit loginUser.ts.loginUser(Request,Response)",MEDIUM,RAW,2026-06-04,43,"loginUser.ts.loginUser(Request,Response)",backend/src/routes/auth/loginUser.ts#L15:67,TypeScript,46,7,2
46 lines of code for unit Data.tsx.Data(any),MEDIUM,RAW,2026-06-04,43,Data.tsx.Data(any),src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/Data.tsx#L7:78,TypeScript,46,7,1
"46 lines of code for unit getSingleGeometry.ts.getSingleGeometry(Request,Response)",MEDIUM,RAW,2026-06-04,43,"getSingleGeometry.ts.getSingleGeometry(Request,Response)",backend/src/routes/geometries/getSingleGeometry.ts#L4:60,TypeScript,46,5,2
46 lines of code for unit BasemapsList.tsx.BasemapsList(any),MEDIUM,RAW,2026-06-04,43,BasemapsList.tsx.BasemapsList(any),src/Components/HomePage/Body/Left/Common/KaartLegend/BasemapsList.tsx#L12:53,TypeScript,46,3,1
46 lines of code for unit swagger.ts,MEDIUM,RAW,2026-06-04,43,swagger.ts,backend/src/routes/swagger.ts#L1:52,TypeScript,46,2,0
"45 lines of code for unit sendEmail.ts.RequestHandler(any,any)",MEDIUM,RAW,2026-06-04,43,"sendEmail.ts.RequestHandler(any,any)",backend/src/routes/emails/sendEmail.ts#L21:75,TypeScript,45,8,2
45 lines of code for unit useEnrichedAddPointMapClick.ts.useEnrichedAddPointMapClick(any),MEDIUM,RAW,2026-07-04,13,useEnrichedAddPointMapClick.ts.useEnrichedAddPointMapClick(any),src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/useEnrichedAddPointMapClick.ts#L12:78,TypeScript,45,9,1
45 lines of code for unit Step1.tsx.Step1(any),MEDIUM,RAW,2026-06-10,37,Step1.tsx.Step1(any),src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/Step1.tsx#L6:63,TypeScript,45,3,1
45 lines of code for unit buildGeometryPointsFromDrawn.ts.buildGeometryPointsFromDrawn(any),MEDIUM,RAW,2026-07-04,13,buildGeometryPointsFromDrawn.ts.buildGeometryPointsFromDrawn(any),src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/buildGeometryPointsFromDrawn.ts#L50:109,TypeScript,45,4,1
"45 lines of code for unit getFlightPlansByPoint.ts.getFlightPlansByPoint(Request,Response)",MEDIUM,RAW,2026-06-04,43,"getFlightPlansByPoint.ts.getFlightPlansByPoint(Request,Response)",backend/src/routes/points/getFlightPlansByPoint.ts#L4:55,TypeScript,45,4,2
44 lines of code for unit useSelectFromSourceData.ts.useSelectFromSourceData(Source),MEDIUM,RAW,2026-07-13,4,useSelectFromSourceData.ts.useSelectFromSourceData(Source),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/useSelectFromSourceData.ts#L16:65,TypeScript,44,6,1
44 lines of code for unit reportZipHelpers.ts.preloadReportAttachments(any),MEDIUM,RAW,2026-07-04,13,reportZipHelpers.ts.preloadReportAttachments(any),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/reportZipHelpers.ts#L13:64,TypeScript,44,6,1
44 lines of code for unit SelectedTab.tsx.SelectedTab(),MEDIUM,RAW,2026-06-04,43,SelectedTab.tsx.SelectedTab(),src/Components/HomePage/Body/Left/Common/BottomTabs/SelectedTab.tsx#L14:67,TypeScript,44,3,0
44 lines of code for unit useEditPointMapEffects.ts.useEditPointMapClick(any),MEDIUM,RAW,2026-07-04,13,useEditPointMapEffects.ts.useEditPointMapClick(any),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/useEditPointMapEffects.ts#L11:68,TypeScript,44,5,1
44 lines of code for unit index.tsx.RemoveFlightPlan(),MEDIUM,RAW,2026-06-04,43,index.tsx.RemoveFlightPlan(),src/Components/HomePage/Body/Left/Voorbereiding/RemoveFlightPlan/index.tsx#L17:39,TypeScript,44,7,0
44 lines of code for unit buildPathFeatureLayer.ts.buildPathFeatureLayer(any),MEDIUM,RAW,2026-07-04,13,buildPathFeatureLayer.ts.buildPathFeatureLayer(any),src/hooks/hover-click-handlers/buildPathFeatureLayer.ts#L8:55,TypeScript,44,1,1
44 lines of code for unit pointColumnKeys.ts,MEDIUM,RAW,2026-06-29,18,pointColumnKeys.ts,src/helpers/points/pointColumnKeys.ts#L1:46,TypeScript,44,1,0
43 lines of code for unit index.tsx.Waarnemingen(any),MEDIUM,RAW,2026-06-04,43,index.tsx.Waarnemingen(any),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/index.tsx#L15:134,TypeScript,43,5,1
43 lines of code for unit useEditPointCoordinates.ts.useEditPointCoordinates(void),MEDIUM,RAW,2026-07-04,13,useEditPointCoordinates.ts.useEditPointCoordinates(void),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/useEditPointCoordinates.ts#L8:54,TypeScript,43,1,1
"43 lines of code for unit selectedPlansPointsList.ts.drawGeometryHoverSkyBlue(__esri.GraphicsLayer,FinishedGeometryType)",MEDIUM,RAW,2026-06-04,43,"selectedPlansPointsList.ts.drawGeometryHoverSkyBlue(__esri.GraphicsLayer,FinishedGeometryType)",src/helpers/timeslider/selectedPlansPointsList.ts#L168:217,TypeScript,43,6,2
43 lines of code for unit mapViewState.ts,MEDIUM,RAW,2026-06-04,43,mapViewState.ts,src/helpers/ZustandStates/mapViewState.ts#L1:114,TypeScript,43,1,0
42 lines of code for unit geometryGraphicSymbols.ts,MEDIUM,RAW,2026-07-17,0,geometryGraphicSymbols.ts,src/helpers/ArcGISHelpers/geometryGraphicSymbols.ts#L1:49,TypeScript,42,1,0
42 lines of code for unit regionCoordintaes.ts,MEDIUM,RAW,2026-06-04,43,regionCoordintaes.ts,src/constants/regionCoordintaes.ts#L1:42,TypeScript,42,1,0
42 lines of code for unit NotLoggedInWarning.tsx.NotLoggedInWarning(),MEDIUM,RAW,2026-06-04,43,NotLoggedInWarning.tsx.NotLoggedInWarning(),src/Components/HomePage/Body/Common/NotLoggedInWarning.tsx#L12:23,TypeScript,42,6,0
"42 lines of code for unit deletePoint.ts.deletePoint(Request,Response)",MEDIUM,RAW,2026-06-04,43,"deletePoint.ts.deletePoint(Request,Response)",backend/src/routes/points/deletePoint.ts#L10:59,TypeScript,42,6,2
"41 lines of code for unit timesliderHighlightGraphics.ts.addPlanGeometryHighlights(__esri.GraphicsLayer,FinishedFlightPlanType)",MEDIUM,RAW,2026-07-13,4,"timesliderHighlightGraphics.ts.addPlanGeometryHighlights(__esri.GraphicsLayer,FinishedFlightPlanType)",src/helpers/timeslider/timesliderHighlightGraphics.ts#L63:110,TypeScript,41,8,2
41 lines of code for unit useViewPlanStepMap.ts.useViewPlanStepMap(any),MEDIUM,RAW,2026-07-15,2,useViewPlanStepMap.ts.useViewPlanStepMap(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/useViewPlanStepMap.ts#L24:71,TypeScript,41,10,1
"41 lines of code for unit updateGeometry.ts.updateGeometry(Request,Response)",MEDIUM,RAW,2026-06-04,43,"updateGeometry.ts.updateGeometry(Request,Response)",backend/src/routes/geometries/updateGeometry.ts#L5:51,TypeScript,41,5,2
41 lines of code for unit index.tsx.EditForm(any),MEDIUM,RAW,2026-06-04,43,index.tsx.EditForm(any),src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/index.tsx#L25:82,TypeScript,41,3,1
41 lines of code for unit handleSubmit(React.FormEvent),MEDIUM,RAW,2026-06-04,43,handleSubmit(React.FormEvent),src/Components/DashboardPage/ResetPassword/index.tsx#L22:72,TypeScript,41,7,1
"41 lines of code for unit createTemplateFlightPlan.ts.createTemplateFlightPlan(Request,Response)",MEDIUM,RAW,2026-06-04,43,"createTemplateFlightPlan.ts.createTemplateFlightPlan(Request,Response)",backend/src/routes/template_plans/createTemplateFlightPlan.ts#L9:56,TypeScript,41,5,2
"41 lines of code for unit updateFinishedPointAttachments.ts.updateFinishedPointAttachments(Request,Response)",MEDIUM,RAW,2026-06-04,43,"updateFinishedPointAttachments.ts.updateFinishedPointAttachments(Request,Response)",backend/src/routes/finished_plans/updateFinishedPointAttachments.ts#L13:62,TypeScript,41,6,2
"40 lines of code for unit createFinishedPlan.ts.createFinishedPlan(Request,Response)",MEDIUM,RAW,2026-06-04,43,"createFinishedPlan.ts.createFinishedPlan(Request,Response)",backend/src/routes/finished_plans/createFinishedPlan.ts#L29:73,TypeScript,40,5,2
40 lines of code for unit index.tsx.AddPointStep(),MEDIUM,RAW,2026-06-04,43,index.tsx.AddPointStep(),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/index.tsx#L16:56,TypeScript,40,1,0
40 lines of code for unit authRateLimit.ts.createAuth2RateLimiters(),MEDIUM,RAW,2026-07-13,4,authRateLimit.ts.createAuth2RateLimiters(),backend/src/routes/auth2/authRateLimit.ts#L81:99,TypeScript,40,4,0
40 lines of code for unit useRenderPlanGeometries.ts.useRenderPlanGeometries(),MEDIUM,RAW,2026-06-04,43,useRenderPlanGeometries.ts.useRenderPlanGeometries(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/hooks/useRenderPlanGeometries.ts#L15:62,TypeScript,40,15,0
40 lines of code for unit updateFinishedPointAttachmentsTx.ts,MEDIUM,RAW,2026-07-04,13,updateFinishedPointAttachmentsTx.ts,backend/src/helpers/queries/finished-plans/updateFinishedPointAttachmentsTx.ts#L1:59,TypeScript,40,4,0
"39 lines of code for unit verifyCredentialsHandler.ts.RequestHandler(any,any)",MEDIUM,RAW,2026-07-13,4,"verifyCredentialsHandler.ts.RequestHandler(any,any)",backend/src/routes/auth2/verifyCredentialsHandler.ts#L11:50,TypeScript,39,8,2
39 lines of code for unit toolsTabs.ts,MEDIUM,RAW,2026-07-04,13,toolsTabs.ts,src/Components/HomePage/Head/headTabDefinitions/toolsTabs.ts#L1:47,TypeScript,39,1,0
39 lines of code for unit useMapHoverHighlight.ts.useMapHoverHighlight(),MEDIUM,RAW,2026-07-04,13,useMapHoverHighlight.ts.useMapHoverHighlight(),src/Components/HomePage/Body/MapViewComp/useMapHoverHighlight.ts#L7:51,TypeScript,39,2,0
39 lines of code for unit planBoundingBoxTypes.ts,MEDIUM,RAW,2026-07-17,0,planBoundingBoxTypes.ts,src/helpers/ArcGISHelpers/planBoundingBoxTypes.ts#L24:63,TypeScript,39,1,0
39 lines of code for unit selectedPlansPointsList.ts.drawHoverPin(any),MEDIUM,RAW,2026-07-13,4,selectedPlansPointsList.ts.drawHoverPin(any),src/helpers/timeslider/selectedPlansPointsList.ts#L120:166,TypeScript,39,1,1
39 lines of code for unit reportGenerationPipeline.ts.runReportGenerationPipeline(ReportGenerationPipelineInput),MEDIUM,RAW,2026-07-13,4,reportGenerationPipeline.ts.runReportGenerationPipeline(ReportGenerationPipelineInput),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/reportGenerationPipeline.ts#L31:76,TypeScript,39,2,1
