Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
59 lines of code for unit dockerfile,MEDIUM,RAW,2026-06-04,44,dockerfile,backend/dockerfile#L1:86,Docker,59,-,-
57 lines of code for unit queryKeys.ts,MEDIUM,RAW,2026-06-04,44,queryKeys.ts,src/lib/queryKeys.ts#L1:63,TypeScript,57,1,0
56 lines of code for unit useTimesliderImagePageData.ts.useTimesliderImagePageData(),MEDIUM,RAW,2026-06-04,44,useTimesliderImagePageData.ts.useTimesliderImagePageData(),src/Components/TimesliderItemDetailPage/useTimesliderImagePageData.ts#L11:73,TypeScript,56,1,0
56 lines of code for unit verify-regio-apis.ts.testResolveRegioFilter(),MEDIUM,RAW,2026-06-10,38,verify-regio-apis.ts.testResolveRegioFilter(),backend/scripts/verify-regio-apis.ts#L56:114,TypeScript,56,5,0
53 lines of code for unit Form.tsx.Form(),MEDIUM,RAW,2026-06-04,44,Form.tsx.Form(),src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Form.tsx#L10:76,TypeScript,53,2,0
50 lines of code for unit usePointsViewController.ts.usePointsViewController(number),MEDIUM,RAW,2026-07-13,5,usePointsViewController.ts.usePointsViewController(number),src/Components/HomePage/Body/Bottom/PointsView/usePointsViewController.ts#L11:65,TypeScript,50,1,1
49 lines of code for unit overigLayerSpecs.tsx.createOverigLayerSpecs(),MEDIUM,RAW,2026-07-14,4,overigLayerSpecs.tsx.createOverigLayerSpecs(),src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Overig/overigLayerSpecs.tsx#L7:55,TypeScript,49,1,0
49 lines of code for unit Step2Sub1.tsx.Step2Sub1(EditPointMapStepProps),MEDIUM,RAW,2026-07-14,4,Step2Sub1.tsx.Step2Sub1(EditPointMapStepProps),src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L8:25,TypeScript,49,1,1
49 lines of code for unit Form.tsx.Form(),MEDIUM,RAW,2026-06-04,44,Form.tsx.Form(),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Form.tsx#L12:83,TypeScript,49,3,0
48 lines of code for unit useTimesliderRange.ts.useTimesliderRange(string|undefined),MEDIUM,RAW,2026-07-04,14,useTimesliderRange.ts.useTimesliderRange(string|undefined),src/Components/HomePage/Head/timeslider/useTimesliderRange.ts#L20:76,TypeScript,48,1,1
46 lines of code for unit swagger.ts,MEDIUM,RAW,2026-06-04,44,swagger.ts,backend/src/routes/swagger.ts#L1:52,TypeScript,46,2,0
"44 lines of code for unit arcgisTokenConfigResolve.ts.buildArcgisTokenStringFieldSpecs(ArcgisTokenConfig|undefined,NodeJS.ProcessEnv)",MEDIUM,RAW,2026-07-17,1,"arcgisTokenConfigResolve.ts.buildArcgisTokenStringFieldSpecs(ArcgisTokenConfig|undefined,NodeJS.ProcessEnv)",backend/src/services/arcgisTokenConfigResolve.ts#L9:56,TypeScript,44,1,2
